dataset,model_family,variant_name,imbalance_strategy,calibration_type,fit_seconds,fn_cost,fp_cost,review_cost,calibration_fit_split,policy_selection_split,test_set_used_for_selection,new_features_created,validation_roc_auc,validation_pr_auc,validation_brier,validation_ece,validation_best_binary_cost,validation_best_manual_review_cost,validation_best_manual_review_rate,calibration_val_roc_auc,calibration_val_pr_auc,calibration_val_brier,calibration_val_ece
taiwan,CatBoost,catboost_class_weight_pos_2,custom class_weights positive_weight=2,sigmoid,10.169525099918246,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7861274286328926,0.5624291596550756,0.1336151682176684,0.008986170893184217,3212.0,2692.0,0.2996666666666667,0.7808348984580534,0.5411331502642336,0.1358240459702967,0.008610384410664348
taiwan,CatBoost,catboost_class_weight_pos_2,custom class_weights positive_weight=2,isotonic,10.169525099918246,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7849263457876874,0.542711981447272,0.1338123895544033,0.010330247266938878,3206.0,2715.5,0.2718333333333333,0.7848653933003105,0.5350233924696197,0.13409668734116464,2.481811052964152e-17
taiwan,CatBoost,catboost_class_weight_pos_2.5,custom class_weights positive_weight=2.5,uncalibrated,10.0487645000685,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7874009183252377,0.559918818404142,0.15364161735084853,0.1319950930635652,3179.0,2654.0,0.299,0.782293242245464,0.5417975367823685,0.15759397870011446,0.13657819526344167
taiwan,CatBoost,catboost_class_weight_pos_2.5,custom class_weights positive_weight=2.5,sigmoid,10.0487645000685,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7874009183252377,0.559918818404142,0.13363158623796298,0.008685764915774347,3176.0,2657.0,0.294,0.782293242245464,0.5417975367823685,0.13548456393315098,0.010849929282216755
taiwan,CatBoost,catboost_class_weight_pos_2.5,custom class_weights positive_weight=2.5,isotonic,10.0487645000685,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.785377719429434,0.5370794123399216,0.1341331435141464,0.008303938634924155,3193.0,2690.5,0.2708333333333333,0.7867878981211335,0.5339508373487565,0.13363415399953632,1.796402532900427e-18
taiwan,CatBoost,catboost_class_weight_pos_3,custom class_weights positive_weight=3,uncalibrated,10.210107700084336,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7858943237385929,0.5589659528960538,0.16399916413909088,0.16245875963980758,3233.0,2680.0,0.298,0.7841801285313873,0.5415939897746325,0.16728916458044346,0.16627696590484725
taiwan,CatBoost,catboost_class_weight_pos_3,custom class_weights positive_weight=3,sigmoid,10.210107700084336,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7858943237385929,0.5589659528960538,0.13392670888014394,0.00781592216550079,3228.0,2709.5,0.2941666666666667,0.7841801285313873,0.5415939897746325,0.13536643798837478,0.01022880839477094
taiwan,CatBoost,catboost_class_weight_pos_3,custom class_weights positive_weight=3,isotonic,10.210107700084336,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7848490204353409,0.5385435756420275,0.13416159451599302,0.00809584495833284,3245.0,2763.5,0.26516666666666666,0.7881781410619432,0.53508883377648,0.13377321893258373,1.722387664592083e-17
taiwan,CatBoost,catboost_class_weight_pos_4,custom class_weights positive_weight=4,uncalibrated,10.0797194999177,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7867216808193295,0.5608878997619443,0.18508483958407645,0.21392043537683822,3232.0,2682.0,0.29833333333333334,0.7816922074710213,0.5357137455481737,0.18905157987557802,0.2163144870934565
taiwan,CatBoost,catboost_class_weight_pos_4,custom class_weights positive_weight=4,sigmoid,10.0797194999177,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7867216808193295,0.5608878997619443,0.13365959703095304,0.011547903373367469,3224.0,2687.5,0.29183333333333333,0.7816922074710213,0.5357137455481737,0.13593735790427597,0.009567386604135145
taiwan,CatBoost,catboost_class_weight_pos_4,custom class_weights positive_weight=4,isotonic,10.0797194999177,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.785609292330309,0.5427196824164983,0.13394093685522657,0.010067443494431066,3235.0,2795.0,0.2673333333333333,0.7864632990200647,0.5323107548087526,0.1341324345778564,1.54120543487895e-17
taiwan,CatBoost,catboost_class_weight_pos_5,custom class_weights positive_weight=5,uncalibrated,10.296726200031117,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7856003422634573,0.5569789802969949,0.2054007438767233,0.25303473864167175,3218.0,2706.5,0.2991666666666667,0.781041665173227,0.5386647723200421,0.20853506900580132,0.2543450305464085
taiwan,CatBoost,catboost_class_weight_pos_5,custom class_weights positive_weight=5,sigmoid,10.296726200031117,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7856003422634573,0.5569789802969949,0.13393855117274817,0.011399462552664113,3221.0,2718.5,0.2945,0.781041665173227,0.5386647723200421,0.1358672277287004,0.010366971142580539
taiwan,CatBoost,catboost_class_weight_pos_5,custom class_weights positive_weight=5,isotonic,10.296726200031117,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7845523781295201,0.5359263263869761,0.13406702567700873,0.009915895336769242,3258.0,2742.5,0.27616666666666667,0.7862285303120451,0.5318627691597095,0.13376114680105308,1.0793834961633467e-18
taiwan,XGBoost,xgboost_baseline,baseline,uncalibrated,0.6896731000160798,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7870155010319991,0.5601482601548518,0.13373358233523808,0.008567951455479493,3198.0,2694.5,0.2955,0.7808158571029182,0.5412839320635879,0.136798795899578,0.01949732756539662
taiwan,XGBoost,xgboost_baseline,baseline,sigmoid,0.6896731000160798,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7870155010319991,0.5601482601548518,0.13389436478747574,0.01038787207859343,3202.0,2704.5,0.2905,0.7808158571029182,0.5412839320635879,0.13627743739050038,0.014065860369185371
taiwan,XGBoost,xgboost_baseline,baseline,isotonic,0.6896731000160798,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7855876831598929,0.5377721135143584,0.13420816877777553,0.005453805418609447,3186.0,2716.0,0.2693333333333333,0.7856118144216087,0.5308333134419947,0.13445244470163442,1.2690465962034775e-17
taiwan,XGBoost,xgboost_scale_pos_weight_1,scale_pos_weight=1,uncalibrated,0.5638508000411093,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7870155010319991,0.5601482601548518,0.13373358233523808,0.008567951455479493,3198.0,2694.5,0.2955,0.7808158571029182,0.5412839320635879,0.136798795899578,0.01949732756539662
taiwan,XGBoost,xgboost_scale_pos_weight_1,scale_pos_weight=1,sigmoid,0.5638508000411093,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7870155010319991,0.5601482601548518,0.13389436478747574,0.01038787207859343,3202.0,2704.5,0.2905,0.7808158571029182,0.5412839320635879,0.13627743739050038,0.014065860369185371
taiwan,XGBoost,xgboost_scale_pos_weight_1,scale_pos_weight=1,isotonic,0.5638508000411093,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7855876831598929,0.5377721135143584,0.13420816877777553,0.005453805418609447,3186.0,2716.0,0.2693333333333333,0.7856118144216087,0.5308333134419947,0.13445244470163442,1.2690465962034775e-17
