dataset,model,calibration_type,validation_pr_auc,validation_roc_auc,validation_brier,validation_ece,threshold_for_diagnostic,validation_precision_at_050,validation_recall_at_050,validation_specificity_at_050,validation_f1_at_050,validation_cost_at_050,test_set_used_for_selection
heloc,WOE Scorecard Logistic Regression,uncalibrated,0.7944346261731565,0.8044025668101698,0.18047270093411144,0.02530757459608493,0.5,0.7470238095238095,0.7332035053554041,0.7307286166842661,0.74004914004914,1625.0,False
heloc,WOE Scorecard Logistic Regression,sigmoid,0.7951238042055726,0.8034319415897484,0.18037410383571081,0.02050886472454462,0.5,0.7402101241642789,0.7546251217137293,0.7127771911298838,0.7473481195756991,1532.0,False
heloc,WOE Scorecard Logistic Regression,isotonic,0.7951633829936194,0.8030535622665332,0.18088154427395062,0.020796981061243554,0.5,0.7303058387395737,0.7672833495618305,0.6927138331573389,0.748338081671415,1486.0,False
