iter	Logloss
288	0.3990132395
289	0.3989354655
290	0.3988540522
291	0.3987776286
292	0.3986859767
293	0.3986130295
294	0.3985173492
295	0.3984308929
296	0.3984133123
297	0.3983484523
298	0.3983359807
299	0.3981852442
300	0.3981763941
301	0.3981013921
302	0.398081454
303	0.3980369593
304	0.398027331
305	0.3979395269
306	0.3978616486
307	0.3978451207
308	0.3977541046
309	0.3977431361
310	0.3976851527
311	0.39761365
312	0.3975248032
313	0.3974235077
314	0.3973256404
315	0.3973191401
316	0.3972297618
317	0.3971073964
318	0.3970180511
319	0.3969246038
320	0.3968613942
321	0.3968523026
322	0.3967651698
323	0.3966917013
324	0.3966726151
325	0.396610021
326	0.3964921265
327	0.3964154867
328	0.3962981364
329	0.3962134247
330	0.3961979497
331	0.3961599935
332	0.3961029282
333	0.3960322851
334	0.3959922765
335	0.3959269536
336	0.3958661702
337	0.3958483251
338	0.3957839788
339	0.3957716929
340	0.3956810582
341	0.3956160329
342	0.3955125682
343	0.3954998983
344	0.3954402669
345	0.3953687998
346	0.3953158315
347	0.3952518565
348	0.3952143809
349	0.3952033946
350	0.3951173986
351	0.39510952
352	0.3950087789
353	0.3949643885
354	0.3949336319
355	0.3949056498
356	0.3948183136
357	0.3946939926
358	0.3945912247
359	0.3944395498
360	0.3944294179
361	0.3944233144
362	0.3943226217
363	0.394236351
364	0.3941892471
365	0.3941830368
366	0.3941462682
367	0.3941107407
368	0.3940647685
369	0.3939755122
370	0.3939008687
371	0.3938355942
372	0.3937755407
373	0.3937069499
374	0.393639801
375	0.3935474675
376	0.3934195201
377	0.3933879852
378	0.3932909368
379	0.3932021764
380	0.3931550827
381	0.3930819677
382	0.3930696767
383	0.3930546595
384	0.3929629745
385	0.3929461492
386	0.3928486684
387	0.3928398692
388	0.3927252146
389	0.3926663081
390	0.3925732778
391	0.3925011342
392	0.3924513982
393	0.3923266678
394	0.3922904231
395	0.3922199402
396	0.392123586
397	0.3920896098
398	0.3920334091
399	0.3919466273
