dataset,split,model,threshold_probability,tp,fp,tn,fn,net_benefit,net_benefit_treat_all,net_benefit_treat_none,better_than_treat_all,better_than_treat_none,candidate_note,test_set_used_for_selection,best_model_at_threshold,rank_model_only_at_threshold
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.05,1297,4171,502,30,0.17957894736842106,0.18017543859649124,0.0,False,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,V2 final locked policy ranking,0.06,1286,3943,730,41,0.172386524822695,0.17145390070921987,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,4
taiwan,validation,Best CatBoost probability ranking,0.06,1286,3943,730,41,0.172386524822695,0.17145390070921987,0.0,True,True,,False,SCRE-Optimized probability ranking,4
taiwan,validation,Best Scorecard probability ranking,0.06,1311,4351,322,16,0.1722127659574468,0.17145390070921987,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.06,1292,4011,662,35,0.17266312056737587,0.17145390070921987,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,3
taiwan,validation,SCRE-Optimized probability ranking,0.06,1318,4134,539,9,0.17568794326241136,0.17145390070921987,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.06,1318,4204,469,9,0.17494326241134753,0.17145390070921987,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.06,1284,3918,755,43,0.1723191489361702,0.17145390070921987,0.0,True,True,,False,SCRE-Optimized probability ranking,6
taiwan,validation,V2 final locked policy ranking,0.07,1274,3820,853,53,0.16441218637992833,0.16254480286738351,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best CatBoost probability ranking,0.07,1274,3820,853,53,0.16441218637992833,0.16254480286738351,0.0,True,True,,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best Scorecard probability ranking,0.07,1293,4120,553,34,0.1638154121863799,0.16254480286738351,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.07,1285,3836,837,42,0.16604480286738352,0.16254480286738351,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,4
taiwan,validation,SCRE-Optimized probability ranking,0.07,1308,3926,747,19,0.16874910394265233,0.16254480286738351,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.07,1308,3976,697,19,0.16812186379928315,0.16254480286738351,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.07,1275,3677,996,52,0.1663727598566308,0.16254480286738351,0.0,True,True,,False,SCRE-Optimized probability ranking,3
taiwan,validation,V2 final locked policy ranking,0.08,1249,3512,1161,78,0.157268115942029,0.15344202898550727,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best CatBoost probability ranking,0.08,1249,3512,1161,78,0.157268115942029,0.15344202898550727,0.0,True,True,,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best Scorecard probability ranking,0.08,1266,3785,888,61,0.15614492753623188,0.15344202898550727,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.08,1265,3610,1063,62,0.1585144927536232,0.15344202898550727,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,4
taiwan,validation,SCRE-Optimized probability ranking,0.08,1292,3688,985,35,0.1618840579710145,0.15344202898550727,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.08,1294,3749,924,33,0.16133333333333333,0.15344202898550727,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.08,1255,3424,1249,72,0.15954347826086956,0.15344202898550727,0.0,True,True,,False,SCRE-Optimized probability ranking,3
taiwan,validation,V2 final locked policy ranking,0.09,1232,3284,1389,95,0.1512014652014652,0.14413919413919415,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Pareto probability ranking,5
taiwan,validation,Best CatBoost probability ranking,0.09,1232,3284,1389,95,0.1512014652014652,0.14413919413919415,0.0,True,True,,False,SCRE-Pareto probability ranking,5
taiwan,validation,Best Scorecard probability ranking,0.09,1233,3452,1221,94,0.1485989010989011,0.14413919413919415,0.0,True,True,,False,SCRE-Pareto probability ranking,7
taiwan,validation,Best literature reproduction model,0.09,1242,3366,1307,85,0.1515164835164835,0.14413919413919415,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Pareto probability ranking,4
taiwan,validation,SCRE-Optimized probability ranking,0.09,1276,3461,1212,51,0.15561721611721613,0.14413919413919415,0.0,True,True,weights renormalized over available components,False,SCRE-Pareto probability ranking,2
taiwan,validation,SCRE-Pareto probability ranking,0.09,1281,3511,1162,46,0.15562637362637363,0.14413919413919415,0.0,True,True,weights renormalized over available components,False,SCRE-Pareto probability ranking,1
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.09,1228,3148,1525,99,0.15277655677655677,0.14413919413919415,0.0,True,True,,False,SCRE-Pareto probability ranking,3
taiwan,validation,V2 final locked policy ranking,0.1,1212,3034,1639,115,0.1458148148148148,0.13462962962962965,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Pareto probability ranking,4
taiwan,validation,Best CatBoost probability ranking,0.1,1212,3034,1639,115,0.1458148148148148,0.13462962962962965,0.0,True,True,,False,SCRE-Pareto probability ranking,4
taiwan,validation,Best Scorecard probability ranking,0.1,1203,3131,1542,124,0.14251851851851852,0.13462962962962965,0.0,True,True,,False,SCRE-Pareto probability ranking,7
taiwan,validation,Best literature reproduction model,0.1,1214,3096,1577,113,0.145,0.13462962962962965,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Pareto probability ranking,6
taiwan,validation,SCRE-Optimized probability ranking,0.1,1257,3202,1471,70,0.1502037037037037,0.13462962962962965,0.0,True,True,weights renormalized over available components,False,SCRE-Pareto probability ranking,2
taiwan,validation,SCRE-Pareto probability ranking,0.1,1260,3225,1448,67,0.15027777777777776,0.13462962962962965,0.0,True,True,weights renormalized over available components,False,SCRE-Pareto probability ranking,1
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.1,1197,2861,1812,130,0.14651851851851852,0.13462962962962965,0.0,True,True,,False,SCRE-Pareto probability ranking,3
taiwan,validation,V2 final locked policy ranking,0.11,1181,2715,1958,146,0.1409063670411985,0.12490636704119852,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Pareto probability ranking,5
