severity,area,check,status,evidence,recommendation
INFO,Metric consistency,heloc:Research framework:SCRE-Optimized_accuracy,PASS,"calc=0.590886075949367, observed=0.590886075949367",
INFO,Metric consistency,heloc:Research framework:SCRE-Optimized_f1,PASS,"calc=0.7132718239886444, observed=0.7132718239886444",
INFO,Metric consistency,heloc:Research framework:SCRE-Optimized_binary_cost,PASS,"calc=900.0, observed=900.0",
INFO,Capacity consistency,taiwan_capacity_formula,PASS,bad_count=0; sample=[],
INFO,Capacity consistency,heloc_capacity_formula,PASS,bad_count=0; sample=[],
INFO,Decision curve consistency,taiwan_net_benefit_formula,PASS,bad_count=0; sample=[],
INFO,Decision curve consistency,heloc_net_benefit_formula,PASS,bad_count=0; sample=[],
INFO,Claim control,overclaim_scan,PASS,found=[],
INFO,Claim control,automatic_rejection_caveat,PASS,automatic rejection is explicitly rejected/caveated,
INFO,DNN overfitting,taiwan_deep_pr_auc_drop,PASS,max_validation_minus_test_pr_auc=-0.0010052776731812596,
INFO,DNN overfitting,heloc_deep_pr_auc_drop,PASS,max_validation_minus_test_pr_auc=0.01122747033181215,
INFO,Outcome,taiwan_new_vs_v2,PARTIAL,"XGBoost recall improves vs V2 (+0.0219), but precision/specificity/review-adjusted cost worsen",
INFO,Outcome,heloc_new_vs_v2,NO_CHANGE,HELOC operational policy remains V2 Scorecard; SCRE improves capture@20 only,
