dataset,model_family,config_name,rank,term,importance,coefficient,reason_code
taiwan,Scorecard,scorecard_woe_balanced,40,BILL_AMT5,0.016787828262769366,-0.016787828262769366,WOE scorecard coefficient for BILL_AMT5
heloc,Scorecard,scorecard_woe_unweighted,1,MSinceMostRecentInqexcl7days,0.6929869296182032,0.6929869296182032,WOE scorecard coefficient for MSinceMostRecentInqexcl7days
heloc,Scorecard,scorecard_woe_unweighted,2,AverageMInFile,0.6290680098441237,0.6290680098441237,WOE scorecard coefficient for AverageMInFile
heloc,Scorecard,scorecard_woe_unweighted,3,NumSatisfactoryTrades,0.6063862731078211,0.6063862731078211,WOE scorecard coefficient for NumSatisfactoryTrades
heloc,Scorecard,scorecard_woe_unweighted,4,PercentInstallTrades,0.5371567145248065,0.5371567145248065,WOE scorecard coefficient for PercentInstallTrades
heloc,Scorecard,scorecard_woe_unweighted,5,ExternalRiskEstimate,0.42417566629103026,0.42417566629103026,WOE scorecard coefficient for ExternalRiskEstimate
heloc,Scorecard,scorecard_woe_unweighted,6,recent_inquiry_pressure,0.40320219291591136,0.40320219291591136,WOE scorecard coefficient for recent_inquiry_pressure
heloc,Scorecard,scorecard_woe_unweighted,7,NumInstallTradesWBalance,0.38877380526203154,-0.38877380526203154,WOE scorecard coefficient for NumInstallTradesWBalance
heloc,Scorecard,scorecard_woe_unweighted,8,MaxDelq2PublicRecLast12M,0.38639379034073196,0.38639379034073196,WOE scorecard coefficient for MaxDelq2PublicRecLast12M
heloc,Scorecard,scorecard_woe_unweighted,9,NumRevolvingTradesWBalance,0.3422830494130913,0.3422830494130913,WOE scorecard coefficient for NumRevolvingTradesWBalance
heloc,Scorecard,scorecard_woe_unweighted,10,NumInqLast6Mexcl7days,0.33431409075078133,-0.33431409075078133,WOE scorecard coefficient for NumInqLast6Mexcl7days
heloc,Scorecard,scorecard_woe_unweighted,11,PercentTradesNeverDelq,0.3153986639412511,0.3153986639412511,WOE scorecard coefficient for PercentTradesNeverDelq
heloc,Scorecard,scorecard_woe_unweighted,12,NumTradesOpeninLast12M,0.3119412962888605,-0.3119412962888605,WOE scorecard coefficient for NumTradesOpeninLast12M
heloc,Scorecard,scorecard_woe_unweighted,13,NumInqLast6M,0.30662269286648736,0.30662269286648736,WOE scorecard coefficient for NumInqLast6M
heloc,Scorecard,scorecard_woe_unweighted,14,NumBank2NatlTradesWHighUtilization,0.24234102871450836,0.24234102871450836,WOE scorecard coefficient for NumBank2NatlTradesWHighUtilization
heloc,Scorecard,scorecard_woe_unweighted,15,credit_history_length_proxy,0.20281982583127817,0.20281982583127817,WOE scorecard coefficient for credit_history_length_proxy
heloc,Scorecard,scorecard_woe_unweighted,16,NetFractionRevolvingBurden,0.19128059241290826,0.19128059241290826,WOE scorecard coefficient for NetFractionRevolvingBurden
heloc,Scorecard,scorecard_woe_unweighted,17,revolving_burden_proxy,0.19128059241290826,0.19128059241290826,WOE scorecard coefficient for revolving_burden_proxy
heloc,Scorecard,scorecard_woe_unweighted,18,negative_trade_signal,0.16733398670783897,-0.16733398670783897,WOE scorecard coefficient for negative_trade_signal
heloc,Scorecard,scorecard_woe_unweighted,19,MSinceMostRecentDelq,0.12857812915237476,0.12857812915237476,WOE scorecard coefficient for MSinceMostRecentDelq
heloc,Scorecard,scorecard_woe_unweighted,20,trade_activity_ratio,0.10139572360809476,0.10139572360809476,WOE scorecard coefficient for trade_activity_ratio
heloc,Scorecard,scorecard_woe_unweighted,21,NumTrades90Ever2DerogPubRec,0.09920374199837469,-0.09920374199837469,WOE scorecard coefficient for NumTrades90Ever2DerogPubRec
heloc,Scorecard,scorecard_woe_unweighted,22,NumTotalTrades,0.09694561501490473,0.09694561501490473,WOE scorecard coefficient for NumTotalTrades
heloc,Scorecard,scorecard_woe_unweighted,23,MaxDelqEver,0.0837710576892646,0.0837710576892646,WOE scorecard coefficient for MaxDelqEver
heloc,Scorecard,scorecard_woe_unweighted,24,MSinceOldestTradeOpen,0.07024472490488344,-0.07024472490488344,WOE scorecard coefficient for MSinceOldestTradeOpen
heloc,Scorecard,scorecard_woe_unweighted,25,delinquency_intensity,0.05505303393764303,-0.05505303393764303,WOE scorecard coefficient for delinquency_intensity
heloc,Scorecard,scorecard_woe_unweighted,26,MSinceMostRecentTradeOpen,0.04595675807111348,0.04595675807111348,WOE scorecard coefficient for MSinceMostRecentTradeOpen
heloc,Scorecard,scorecard_woe_unweighted,27,NetFractionInstallBurden,0.03750536154921584,0.03750536154921584,WOE scorecard coefficient for NetFractionInstallBurden
heloc,Scorecard,scorecard_woe_unweighted,28,installment_burden_proxy,0.03750536154921584,0.03750536154921584,WOE scorecard coefficient for installment_burden_proxy
heloc,Scorecard,scorecard_woe_unweighted,29,NumTrades60Ever2DerogPubRec,0.035365336048068824,-0.035365336048068824,WOE scorecard coefficient for NumTrades60Ever2DerogPubRec
heloc,Scorecard,scorecard_woe_unweighted,30,PercentTradesWBalance,0.0031480167082177848,0.0031480167082177848,WOE scorecard coefficient for PercentTradesWBalance
heloc,Scorecard,scorecard_woe_unweighted,31,high_utilization_signal,0.0027022093758070935,-0.0027022093758070935,WOE scorecard coefficient for high_utilization_signal
