dataset,model_family,config_name,rank,term,importance,reason_code,coefficient
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,12,PAY_AMT6,238.0,Monotonic boosted feature importance: PAY_AMT6,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,13,BILL_AMT6,230.0,Monotonic boosted feature importance: BILL_AMT6,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,14,payment_volatility,226.0,Monotonic boosted feature importance: payment_volatility,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,15,PAY_AMT2,217.0,Monotonic boosted feature importance: PAY_AMT2,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,16,total_pay_amt,211.0,Monotonic boosted feature importance: total_pay_amt,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,17,BILL_AMT3,190.0,Monotonic boosted feature importance: BILL_AMT3,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,18,payment_to_bill_ratio,188.0,Monotonic boosted feature importance: payment_to_bill_ratio,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,19,max_pay_amt,179.0,Monotonic boosted feature importance: max_pay_amt,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,20,BILL_AMT4,169.0,Monotonic boosted feature importance: BILL_AMT4,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,21,max_bill_amt,154.0,Monotonic boosted feature importance: max_bill_amt,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,22,PAY_0,149.0,Monotonic boosted feature importance: PAY_0,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,23,BILL_AMT2,144.0,Monotonic boosted feature importance: BILL_AMT2,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,24,total_bill_amt,131.0,Monotonic boosted feature importance: total_bill_amt,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,25,recent_payment_intensity,127.0,Monotonic boosted feature importance: recent_payment_intensity,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,26,PAY_6,83.0,Monotonic boosted feature importance: PAY_6,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,27,EDUCATION_4,66.0,Monotonic boosted feature importance: EDUCATION_4,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,28,PAY_3,61.0,Monotonic boosted feature importance: PAY_3,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,29,SEX_1,52.0,Monotonic boosted feature importance: SEX_1,
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,30,avg_delay,50.0,Monotonic boosted feature importance: avg_delay,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,1,recent_delay,0.375738114118576,Monotonic boosted feature importance: recent_delay,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,2,max_delay,0.2472472786903381,Monotonic boosted feature importance: max_delay,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,3,severe_delay_count,0.0658944025635719,Monotonic boosted feature importance: severe_delay_count,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,4,PAY_0,0.0570675991475582,Monotonic boosted feature importance: PAY_0,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,5,delay_count,0.040092147886753,Monotonic boosted feature importance: delay_count,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,6,avg_delay,0.0226103253662586,Monotonic boosted feature importance: avg_delay,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,7,avg_pay_amt,0.0097914459183812,Monotonic boosted feature importance: avg_pay_amt,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,8,max_bill_amt,0.0084359655156731,Monotonic boosted feature importance: max_bill_amt,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,9,utilization_proxy,0.0083283251151442,Monotonic boosted feature importance: utilization_proxy,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,10,payment_to_bill_ratio,0.0077502983622252,Monotonic boosted feature importance: payment_to_bill_ratio,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,11,total_pay_amt,0.0073985438793897,Monotonic boosted feature importance: total_pay_amt,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,12,PAY_3,0.00729510653764,Monotonic boosted feature importance: PAY_3,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,13,bill_volatility,0.0067564253695309,Monotonic boosted feature importance: bill_volatility,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,14,max_pay_amt,0.0064169317483901,Monotonic boosted feature importance: max_pay_amt,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,15,LIMIT_BAL,0.0059759374707937,Monotonic boosted feature importance: LIMIT_BAL,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,16,total_bill_amt,0.0059260013513267,Monotonic boosted feature importance: total_bill_amt,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,17,BILL_AMT1,0.0058391820639371,Monotonic boosted feature importance: BILL_AMT1,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,18,recent_payment_intensity,0.0048648407682776,Monotonic boosted feature importance: recent_payment_intensity,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,19,BILL_AMT5,0.0048573026433587,Monotonic boosted feature importance: BILL_AMT5,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,20,PAY_AMT4,0.0048338137567043,Monotonic boosted feature importance: PAY_AMT4,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,21,PAY_AMT3,0.0047084684483706,Monotonic boosted feature importance: PAY_AMT3,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,22,PAY_AMT2,0.0045457775704562,Monotonic boosted feature importance: PAY_AMT2,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,23,bill_trend,0.0045267664827406,Monotonic boosted feature importance: bill_trend,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,24,PAY_AMT1,0.0044751218520104,Monotonic boosted feature importance: PAY_AMT1,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,25,PAY_AMT6,0.004439101088792,Monotonic boosted feature importance: PAY_AMT6,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,26,PAY_6,0.0044001340866088,Monotonic boosted feature importance: PAY_6,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,27,EDUCATION_4,0.0041551562026143,Monotonic boosted feature importance: EDUCATION_4,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,28,payment_volatility,0.00414535170421,Monotonic boosted feature importance: payment_volatility,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,29,MARRIAGE_2,0.0041394946165382,Monotonic boosted feature importance: MARRIAGE_2,
taiwan,Monotonic XGBoost,monotonic_xgboost_base,30,EDUCATION_2,0.0040781833231449,Monotonic boosted feature importance: EDUCATION_2,
