dataset,split,metric,metric_direction,winner_model_family,winner_model,winner_value,calibration_type,threshold,cost_scenario,use_for_operational_winner,selection_rule,notes
heloc,test,accuracy,higher_is_better,Old SCRE-Credit,SCRE-Credit,0.6460759493670886,weighted_sum_plus_isotonic,0.17,B_FN5_FP1,False,highest accuracy,Original/static SCRE-Credit before Pareto/optimized revision; HELOC reduced SHAP stability available from LightGBM-family protocol; no per-model HELOC faithfulness score in requested family leaderboard output
heloc,test,recall,higher_is_better,Monotonic LightGBM,monotonic_lightgbm,0.9873540856031128,sigmoid,0.18,B_FN5_FP1,True,highest recall,Monotonic constrained boosting model; no per-model SHAP stability score in current output; no per-model HELOC faithfulness score in requested family leaderboard output
heloc,test,f1,higher_is_better,Old SCRE-Credit,SCRE-Credit,0.7369213398569816,weighted_sum_plus_isotonic,0.17,B_FN5_FP1,True,highest f1,Original/static SCRE-Credit before Pareto/optimized revision; HELOC reduced SHAP stability available from LightGBM-family protocol; no per-model HELOC faithfulness score in requested family leaderboard output
heloc,test,roc_auc,higher_is_better,CatBoost,catboost,0.8040936153078122,isotonic,0.14,B_FN5_FP1,True,highest roc_auc,Boosting model; no per-model SHAP stability score in current output; no per-model HELOC faithfulness score in requested family leaderboard output
heloc,test,pr_auc,higher_is_better,CatBoost,catboost,0.8115982528808503,isotonic,0.14,B_FN5_FP1,True,highest pr_auc,Boosting model; no per-model SHAP stability score in current output; no per-model HELOC faithfulness score in requested family leaderboard output
heloc,test,brier,lower_is_better,CatBoost,catboost,0.1802440277917598,isotonic,0.14,B_FN5_FP1,True,lowest brier,Boosting model; no per-model SHAP stability score in current output; no per-model HELOC faithfulness score in requested family leaderboard output
heloc,test,ece,lower_is_better,CatBoost,catboost,0.0107832103485953,isotonic,0.14,B_FN5_FP1,True,lowest ece,Boosting model; no per-model SHAP stability score in current output; no per-model HELOC faithfulness score in requested family leaderboard output
heloc,test,expected_cost,lower_is_better,Scorecard / WOE,woe_scorecard_logistic_regression,892.0,sigmoid,0.16,B_FN5_FP1,True,lowest expected_cost,Custom WOE/scorecard-style logistic baseline; no per-model SHAP stability score in current output; no per-model HELOC faithfulness score in requested family leaderboard output
heloc,test,overall_operational,ordered_rule,Scorecard / WOE,woe_scorecard_logistic_regression,892.0,sigmoid,0.16,B_FN5_FP1,True,"lowest expected_cost under selected HELOC cost scenario; tie-break PR-AUC, ROC-AUC, Brier, ECE, recall/F1 balance; accuracy excluded",Custom WOE/scorecard-style logistic baseline; no per-model SHAP stability score in current output; no per-model HELOC faithfulness score in requested family leaderboard output
