dataset,split,system,cost_definition,policy_type,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,total_instance_dependent_cost,delta_vs_v2,cost_rank,high_exposure_miss_rate,comment
heloc,locked_test,SCRE-Optimized ranking threshold 0.50,heloc_revolving_burden_weighted,threshold_only,381,6,107,149,387,0,0.0,1270.0477931574824,501.1576129537739,2.0,0.015748031496062992,Not lower than V2 under this exposure definition.
heloc,locked_test,SCRE-Optimized ranking threshold 0.50,heloc_capped_hybrid,threshold_only,402,0,90,149,387,0,0.0,971.7441146718761,234.6897544373768,2.0,0.0,Not lower than V2 under this exposure definition.
heloc,validation,SCRE-Pareto ranking threshold 0.50,heloc_risk_exposure_proxy,threshold_only,408,0,85,233,275,0,0.0,1836.9621372610284,1110.9476739200138,3.0,0.0,Not lower than V2 under this exposure definition.
heloc,validation,SCRE-Pareto ranking threshold 0.50,heloc_revolving_burden_weighted,threshold_only,378,13,100,233,275,0,0.0,1855.381300600679,1140.070253329851,3.0,0.03439153439153439,Not lower than V2 under this exposure definition.
heloc,validation,SCRE-Pareto ranking threshold 0.50,heloc_capped_hybrid,threshold_only,402,3,88,233,275,0,0.0,1252.9686875723414,548.303585449973,3.0,0.007462686567164179,Not lower than V2 under this exposure definition.
heloc,locked_test,SCRE-Pareto ranking threshold 0.50,heloc_risk_exposure_proxy,threshold_only,409,2,84,235,291,0,0.0,1890.9839582094564,1125.6023372406685,4.0,0.004889975550122249,Not lower than V2 under this exposure definition.
heloc,locked_test,SCRE-Pareto ranking threshold 0.50,heloc_revolving_burden_weighted,threshold_only,381,13,98,235,291,0,0.0,1875.0526247061898,1106.1624445024813,4.0,0.03412073490813648,Not lower than V2 under this exposure definition.
heloc,locked_test,SCRE-Pareto ranking threshold 0.50,heloc_capped_hybrid,threshold_only,402,4,86,235,291,0,0.0,1280.3073165831292,543.2529563486299,4.0,0.009950248756218905,Not lower than V2 under this exposure definition.
heloc,validation,Scorecard benchmark threshold 0.50,heloc_risk_exposure_proxy,threshold_only,408,0,85,252,272,0,0.0,1991.302809447841,1265.2883461068263,6.0,0.0,Not lower than V2 under this exposure definition.
heloc,validation,Scorecard benchmark threshold 0.50,heloc_revolving_burden_weighted,threshold_only,378,20,95,252,272,0,0.0,2039.8721598328545,1324.5611125620267,6.0,0.05291005291005291,Not lower than V2 under this exposure definition.
heloc,validation,Scorecard benchmark threshold 0.50,heloc_capped_hybrid,threshold_only,402,8,84,252,272,0,0.0,1347.434993856139,642.7698917337706,6.0,0.01990049751243781,Not lower than V2 under this exposure definition.
heloc,locked_test,Scorecard benchmark threshold 0.50,heloc_risk_exposure_proxy,threshold_only,409,1,84,249,285,0,0.0,1983.0498190353928,1217.6681980666049,6.0,0.0024449877750611247,Not lower than V2 under this exposure definition.
heloc,locked_test,Scorecard benchmark threshold 0.50,heloc_revolving_burden_weighted,threshold_only,381,19,95,249,285,0,0.0,2000.22656045965,1231.3363802559415,6.0,0.049868766404199474,Not lower than V2 under this exposure definition.
heloc,locked_test,Scorecard benchmark threshold 0.50,heloc_capped_hybrid,threshold_only,402,7,85,249,285,0,0.0,1341.1552758990085,604.1009156645092,6.0,0.017412935323383085,Not lower than V2 under this exposure definition.
heloc,validation,CatBoost benchmark threshold 0.50,heloc_risk_exposure_proxy,threshold_only,408,0,84,242,275,0,0.0,1914.9227259119061,1188.9082625708916,5.0,0.0,Not lower than V2 under this exposure definition.
heloc,validation,CatBoost benchmark threshold 0.50,heloc_revolving_burden_weighted,threshold_only,378,14,98,242,275,0,0.0,1933.444110733873,1218.1330634630451,4.0,0.037037037037037035,Not lower than V2 under this exposure definition.
heloc,validation,CatBoost benchmark threshold 0.50,heloc_capped_hybrid,threshold_only,402,4,85,242,275,0,0.0,1297.6733673291558,593.0082652067873,4.0,0.009950248756218905,Not lower than V2 under this exposure definition.
heloc,locked_test,CatBoost benchmark threshold 0.50,heloc_risk_exposure_proxy,threshold_only,409,2,84,237,288,0,0.0,1907.419800022063,1142.0381790532751,5.0,0.004889975550122249,Not lower than V2 under this exposure definition.
heloc,locked_test,CatBoost benchmark threshold 0.50,heloc_revolving_burden_weighted,threshold_only,381,13,94,237,288,0,0.0,1899.4246539566466,1130.534473752938,5.0,0.03412073490813648,Not lower than V2 under this exposure definition.
heloc,locked_test,CatBoost benchmark threshold 0.50,heloc_capped_hybrid,threshold_only,402,4,84,237,288,0,0.0,1289.6688907957418,552.6145305612425,5.0,0.009950248756218905,Not lower than V2 under this exposure definition.
