dataset,split,system,policy_type,score_key,threshold,t_low,t_high,capacity_pct,source,cost_definition,base_fn_cost,base_fp_cost,review_friction_cost,mean_fn_cost,median_fn_cost,auto_fn_instance_cost,auto_fp_cost,review_friction_total,total_instance_dependent_cost,cost_rank,delta_vs_v2,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,high_exposure_cutoff_multiplier,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,test_set_used_for_selection,comment,v2_instance_dependent_cost
heloc,locked_test,HELOC capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,heloc_risk_exposure_proxy,5.0,1.0,0.5,9.423597706779775,9.48943435785984,5771.797176326677,0.0,197.5,5969.297176326677,8.0,5203.915555357889,680,0,395,0.2,2.012206265966957,409,124,0,False,Proxy-based sensitivity only; not observed bank loss.,765.381620968788
heloc,locked_test,HELOC capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,heloc_revolving_burden_weighted,5.0,1.0,0.5,9.874577385567648,10.49164272656046,5989.0833115696005,0.0,197.5,6186.5833115696005,8.0,5417.6931313658915,680,0,395,0.2,2.3568816923478715,381,152,0,False,Proxy-based sensitivity only; not observed bank loss.,768.8901802037085
heloc,locked_test,HELOC capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,heloc_capped_hybrid,5.0,1.0,0.5,5.359635018469484,5.472556314127521,3372.176097579256,0.0,197.5,3569.676097579256,8.0,2832.6217373447566,680,0,395,0.2,1.1582051112460916,402,140,0,False,Proxy-based sensitivity only; not observed bank loss.,737.0543602344993
heloc,validation,HELOC capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,heloc_risk_exposure_proxy,5.0,1.0,0.5,9.42382187972331,9.575221552216771,4921.167660174671,0.0,247.0,5168.167660174671,7.0,4442.153196833657,597,0,494,0.2502532928064843,2.02611771007897,408,87,0,False,Proxy-based sensitivity only; not observed bank loss.,726.0144633410146
heloc,validation,HELOC capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,heloc_revolving_burden_weighted,5.0,1.0,0.5,9.799200001627511,10.237007051449464,5076.516714546879,0.0,247.0,5323.516714546879,7.0,4608.205667276051,597,0,494,0.2502532928064843,2.356228780360407,378,122,0,False,Proxy-based sensitivity only; not observed bank loss.,715.3110472708279
heloc,validation,HELOC capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,heloc_capped_hybrid,5.0,1.0,0.5,5.344604376270163,5.46269427289344,2895.03687494431,0.0,247.0,3142.03687494431,7.0,2437.3717728219417,597,0,494,0.2502532928064843,1.1617635141443434,402,102,0,False,Proxy-based sensitivity only; not observed bank loss.,704.6651021223685
heloc,locked_test,HELOC capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,heloc_risk_exposure_proxy,5.0,1.0,0.5,9.423597706779775,9.48943435785984,4997.517573363273,0.0,247.0,5244.517573363273,7.0,4479.135952394485,605,0,494,0.250126582278481,2.012206265966957,409,79,0,False,Proxy-based sensitivity only; not observed bank loss.,765.381620968788
heloc,locked_test,HELOC capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,heloc_revolving_burden_weighted,5.0,1.0,0.5,9.874577385567648,10.49164272656046,5214.961478192739,0.0,247.0,5461.961478192739,7.0,4693.07129798903,605,0,494,0.250126582278481,2.3568816923478715,381,124,0,False,Proxy-based sensitivity only; not observed bank loss.,768.8901802037085
heloc,locked_test,HELOC capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,heloc_capped_hybrid,5.0,1.0,0.5,5.359635018469484,5.472556314127521,2949.995810311202,0.0,247.0,3196.995810311202,7.0,2459.941450076703,605,0,494,0.250126582278481,1.1582051112460916,402,106,0,False,Proxy-based sensitivity only; not observed bank loss.,737.0543602344993
heloc,validation,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,heloc_risk_exposure_proxy,5.0,1.0,0.0,9.42382187972331,9.575221552216771,994.333751081962,361.0,0.0,1355.333751081962,2.0,629.3192877409474,160,361,0,0.0,2.02611771007897,408,0,86,False,Proxy-based sensitivity only; not observed bank loss.,726.0144633410146
heloc,validation,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,heloc_revolving_burden_weighted,5.0,1.0,0.0,9.799200001627511,10.237007051449464,984.9928179681378,361.0,0.0,1345.9928179681378,2.0,630.68177069731,160,361,0,0.0,2.356228780360407,378,4,112,False,Proxy-based sensitivity only; not observed bank loss.,715.3110472708279
heloc,validation,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,heloc_capped_hybrid,5.0,1.0,0.0,5.344604376270163,5.46269427289344,635.86531381002,361.0,0.0,996.86531381002,2.0,292.2002116876515,160,361,0,0.0,1.1617635141443434,402,0,92,False,Proxy-based sensitivity only; not observed bank loss.,704.6651021223685
