dataset,split,system,policy_type,score_key,threshold,t_low,t_high,capacity_pct,source,cost_definition,base_fn_cost,base_fp_cost,review_friction_cost,mean_fn_cost,median_fn_cost,auto_fn_instance_cost,auto_fp_cost,review_friction_total,total_instance_dependent_cost,cost_rank,delta_vs_v2,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,high_exposure_cutoff_multiplier,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,test_set_used_for_selection,comment,v2_instance_dependent_cost
taiwan,locked_test,Taiwan recall candidate MR band,manual_review_band,catboost_isotonic,,0.125,0.215,,weakness closing recall candidate,taiwan_utilization_weighted,5.0,1.0,0.5,9.12661987136002,9.969447509123313,1404.85848255962,976.0,886.0,3266.85848255962,1.0,-261.64945260120476,168,976,1772,0.29533333333333334,2.3635958584401258,433,27,348,False,Proxy-based sensitivity only; not observed bank loss.,3528.5079351608247
taiwan,locked_test,Taiwan recall candidate MR band,manual_review_band,catboost_isotonic,,0.125,0.215,,weakness closing recall candidate,taiwan_capped_hybrid,5.0,1.0,0.5,4.697532813397957,4.590204189541513,904.5351130048407,976.0,886.0,2766.5351130048407,1.0,-1.9826737700195736,168,976,1772,0.29533333333333334,1.1375029395021086,242,58,113,False,Proxy-based sensitivity only; not observed bank loss.,2768.5177867748603
taiwan,validation,Taiwan capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,taiwan_limit_weighted,5.0,1.0,0.5,7.535162401889405,7.038677977490341,5228.178019485973,0.0,600.0,5828.178019485973,4.0,2075.2660003359647,625,0,1200,0.2,2.3803544431379136,217,136,0,False,Proxy-based sensitivity only; not observed bank loss.,3752.9120191500083
taiwan,validation,Taiwan capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,taiwan_bill_weighted,5.0,1.0,0.5,8.358928013464654,8.288327526132404,4997.958405923344,0.0,600.0,5597.958405923344,4.0,2040.7336672473857,625,0,1200,0.2,2.346798780487805,301,134,0,False,Proxy-based sensitivity only; not observed bank loss.,3557.224738675958
taiwan,validation,Taiwan capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,taiwan_utilization_weighted,5.0,1.0,0.5,9.305185495779373,9.935902878003226,5234.783300789541,0.0,600.0,5834.783300789541,4.0,2467.296926734018,625,0,1200,0.2,2.363379743611512,451,161,0,False,Proxy-based sensitivity only; not observed bank loss.,3367.4863740555224
taiwan,validation,Taiwan capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,taiwan_capped_hybrid,5.0,1.0,0.5,4.678818083070811,4.575517073053671,2982.7272850818636,0.0,600.0,3582.7272850818636,4.0,857.39993351667,625,0,1200,0.2,1.1326635462838694,237,125,0,False,Proxy-based sensitivity only; not observed bank loss.,2725.3273515651936
taiwan,locked_test,Taiwan capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,taiwan_limit_weighted,5.0,1.0,0.5,7.758168291819941,7.138503572929803,5538.265027322404,0.0,600.0,6138.265027322404,4.0,2343.039302227827,647,0,1200,0.2,2.362547288776797,265,160,0,False,Proxy-based sensitivity only; not observed bank loss.,3795.2257250945772
taiwan,locked_test,Taiwan capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,taiwan_bill_weighted,5.0,1.0,0.5,8.229495775169841,8.11035624074558,4939.451485062276,0.0,600.0,5539.451485062276,4.0,1898.5882762825531,647,0,1200,0.2,2.3468556745928053,312,129,0,False,Proxy-based sensitivity only; not observed bank loss.,3640.863208779723
taiwan,locked_test,Taiwan capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,taiwan_utilization_weighted,5.0,1.0,0.5,9.12661987136002,9.969447509123313,5223.308155817704,0.0,600.0,5823.308155817704,4.0,2294.800220656879,647,0,1200,0.2,2.3635958584401258,433,159,0,False,Proxy-based sensitivity only; not observed bank loss.,3528.5079351608247
taiwan,locked_test,Taiwan capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,taiwan_capped_hybrid,5.0,1.0,0.5,4.697532813397957,4.590204189541513,3066.0433024769363,0.0,600.0,3666.0433024769363,4.0,897.5255157020761,647,0,1200,0.2,1.1375029395021086,242,117,0,False,Proxy-based sensitivity only; not observed bank loss.,2768.5177867748603
taiwan,validation,Taiwan capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,taiwan_limit_weighted,5.0,1.0,0.5,7.535162401889405,7.038677977490341,4571.679195363682,0.0,750.0,5321.679195363682,3.0,1568.7671762136738,545,0,1500,0.25,2.3803544431379136,217,119,0,False,Proxy-based sensitivity only; not observed bank loss.,3752.9120191500083
taiwan,validation,Taiwan capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,taiwan_bill_weighted,5.0,1.0,0.5,8.358928013464654,8.288327526132404,4480.629355400697,0.0,750.0,5230.629355400697,3.0,1673.4046167247388,545,0,1500,0.25,2.346798780487805,301,120,0,False,Proxy-based sensitivity only; not observed bank loss.,3557.224738675958
taiwan,validation,Taiwan capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,taiwan_utilization_weighted,5.0,1.0,0.5,9.305185495779373,9.935902878003226,4658.092792257407,0.0,750.0,5408.092792257407,3.0,2040.606418201885,545,0,1500,0.25,2.363379743611512,451,142,0,False,Proxy-based sensitivity only; not observed bank loss.,3367.4863740555224
taiwan,validation,Taiwan capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,taiwan_capped_hybrid,5.0,1.0,0.5,4.678818083070811,4.575517073053671,2627.9617101528756,0.0,750.0,3377.9617101528756,3.0,652.6343585876821,545,0,1500,0.25,1.1326635462838694,237,113,0,False,Proxy-based sensitivity only; not observed bank loss.,2725.3273515651936
taiwan,locked_test,Taiwan capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,taiwan_limit_weighted,5.0,1.0,0.5,7.758168291819941,7.138503572929803,4805.956284153006,0.0,750.0,5555.956284153006,3.0,1760.7305590584288,549,0,1500,0.25,2.362547288776797,265,145,0,False,Proxy-based sensitivity only; not observed bank loss.,3795.2257250945772
taiwan,locked_test,Taiwan capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,taiwan_bill_weighted,5.0,1.0,0.5,8.229495775169841,8.11035624074558,4374.995427227594,0.0,750.0,5124.995427227594,3.0,1484.1322184478704,549,0,1500,0.25,2.3468556745928053,312,122,0,False,Proxy-based sensitivity only; not observed bank loss.,3640.863208779723
