dataset,split,system,cost_definition,policy_type,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,total_instance_dependent_cost,delta_vs_v2,cost_rank,high_exposure_miss_rate,comment
taiwan,validation,Taiwan capacity SCRE top25,taiwan_capped_hybrid,top_k_review,237,113,0,545,0,1500,0.25,3377.9617101528756,652.6343585876821,3.0,0.4767932489451477,Not lower than V2 under this exposure definition.
taiwan,locked_test,Taiwan capacity SCRE top25,taiwan_limit_weighted,top_k_review,265,145,0,549,0,1500,0.25,5555.956284153006,1760.7305590584288,3.0,0.5471698113207547,Not lower than V2 under this exposure definition.
taiwan,locked_test,Taiwan capacity SCRE top25,taiwan_bill_weighted,top_k_review,312,122,0,549,0,1500,0.25,5124.995427227594,1484.1322184478704,3.0,0.391025641025641,Not lower than V2 under this exposure definition.
taiwan,locked_test,Taiwan capacity SCRE top25,taiwan_utilization_weighted,top_k_review,433,136,0,549,0,1500,0.25,5265.953492319443,1737.4455571586186,3.0,0.3140877598152425,Not lower than V2 under this exposure definition.
taiwan,locked_test,Taiwan capacity SCRE top25,taiwan_capped_hybrid,top_k_review,242,111,0,549,0,1500,0.25,3409.6903422761197,641.1725555012595,3.0,0.45867768595041325,Not lower than V2 under this exposure definition.
taiwan,validation,SCRE-Optimized ranking threshold 0.50,taiwan_limit_weighted,threshold_only,217,171,22,852,213,0,0.0,7000.088862758273,3247.1768436082643,5.0,0.7880184331797235,Not lower than V2 under this exposure definition.
taiwan,validation,SCRE-Optimized ranking threshold 0.50,taiwan_bill_weighted,threshold_only,301,163,62,852,213,0,0.0,6751.605182926829,3194.380444250871,6.0,0.5415282392026578,Not lower than V2 under this exposure definition.
taiwan,validation,SCRE-Optimized ranking threshold 0.50,taiwan_utilization_weighted,threshold_only,451,229,100,852,213,0,0.0,7334.838229051702,3967.3518549961796,6.0,0.5077605321507761,Not lower than V2 under this exposure definition.
taiwan,validation,SCRE-Optimized ranking threshold 0.50,taiwan_capped_hybrid,threshold_only,237,143,40,852,213,0,0.0,4156.138809137021,1430.8114575718273,5.0,0.6033755274261603,Not lower than V2 under this exposure definition.
taiwan,locked_test,SCRE-Optimized ranking threshold 0.50,taiwan_limit_weighted,threshold_only,265,204,17,859,228,0,0.0,7356.247162673392,3561.021437578815,7.0,0.769811320754717,Not lower than V2 under this exposure definition.
taiwan,locked_test,SCRE-Optimized ranking threshold 0.50,taiwan_bill_weighted,threshold_only,312,159,64,859,228,0,0.0,6590.260256075255,2949.3970472955316,6.0,0.5096153846153846,Not lower than V2 under this exposure definition.
taiwan,locked_test,SCRE-Optimized ranking threshold 0.50,taiwan_utilization_weighted,threshold_only,433,220,123,859,228,0,0.0,7165.357209539166,3636.8492743783418,6.0,0.5080831408775982,Not lower than V2 under this exposure definition.
