dataset,status,requested_trials,minimum_prompt_trials,completed_trials,completed_trials_in_current_artifacts,cv_n_splits,cv_n_repeats,cv_total_folds,objective_primary,model_search_space_completed,best_model_type,best_trial_number,best_cv_pr_auc,validation_pr_auc,test_set_used,study_path,model_path
heloc,completed,50,50,50,50,5,3,15,PR-AUC,"catboost, lightgbm, xgboost",xgboost,27,0.7981834269638479,0.7967795364888599,False,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\tuned\heloc_optuna_study.joblib,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\tuned\heloc_optuna_best_xgboost.joblib
taiwan,completed,100,100,100,100,5,3,15,PR-AUC,"catboost, lightgbm, xgboost",catboost,52,0.5683900263317656,0.5624168294234547,False,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\tuned\taiwan_optuna_study.joblib,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\tuned\taiwan_optuna_best_catboost.joblib
