threshold,accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,model
0.5,0.8195,0.6680440771349863,0.3654860587792012,0.47247929858743304,0.9484271346030387,0.7810282288333741,0.5583380436785471,0.13440857445460236,4432,241,842,485,hist_gradient_boosting
0.5,0.813,0.6421636615811374,0.34890730972117556,0.4521484375,0.9447892146372779,0.763110194996961,0.5403959665010036,0.13857230394000658,4415,258,864,463,random_forest
0.5,0.8191666666666667,0.6671270718232044,0.36397889977392617,0.4709897610921502,0.9484271346030387,0.7609783858304477,0.530380827659217,0.13781285832169826,4432,241,844,483,logistic_regression
0.5,0.7506666666666667,0.45163136805953064,0.5945742275810098,0.5133376707872479,0.7949925101647763,0.7614507235927472,0.5269714275862533,0.18698980684723165,3715,958,538,789,logistic_regression_balanced
0.5,0.7306666666666667,0.3871975019516003,0.373775433308214,0.3803680981595092,0.8320136956986947,0.602767973467809,0.2828681870491513,0.2693496443755787,3888,785,831,496,decision_tree
