model,reliability_score,ensemble_weight,pr_auc_norm,roc_auc_norm,recall_norm,calibration_norm,cost_norm,stability_norm,faithfulness_norm
M3_random_forest,0.8779319866785515,0.14963374826225026,1.0,0.9433605469389299,0.9007092198581562,0.3938676156576254,0.9482758620689655,1.0,1.0
M10_class_weighted_lightgbm,0.8492932425466995,0.14475259266592092,0.839429653094656,0.8317968858907497,0.9680851063829788,0.40950008724472653,1.0,1.0,1.0
M4_xgboost,0.7244202578506018,0.12346938048058662,0.9843536736990837,1.0,0.07446808510638313,1.0,0.10919540229885061,1.0,1.0
M7_monotonic_xgboost,0.6596146078359204,0.11242397779859177,0.76601001082949,0.8647320156857106,0.0780141843971631,0.9850619756483104,0.11494252873563215,1.0,1.0
M9_smotenc_xgboost,0.6429467151612797,0.10958312076822525,0.5772215317140715,0.4785109490820692,0.4219858156028369,0.7874503285876213,0.49540229885057474,1.0,1.0
M5_lightgbm,0.6201381676431905,0.10569565737773948,0.7634547158484524,0.6748065045972268,0.049645390070922085,0.9746215558448401,0.08390804597701151,1.0,1.0
M8_monotonic_lightgbm,0.5966462703718389,0.10169172461775094,0.6245267549082284,0.7191907437375472,0.049645390070922085,0.9738044782181065,0.06896551724137934,1.0,1.0
M2_woe_scorecard_logistic,0.5576700521032613,0.09504866146353161,0.13320521498717589,0.2620324744986108,1.0,0.0,0.9448275862068966,1.0,1.0
M1_logistic_regression,0.3385444396520191,0.05770113656540315,0.0,0.0,0.0,0.9236295976801271,0.0,1.0,1.0
