rank_test_score,mean_test_score,std_test_score,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree,param_model__min_child_weight
1,0.5636237035732408,0.007076858327028127,200,5,0.02371603301759982,0.7662628982463199,0.8981036422155106,5
2,0.5601912549508293,0.007013348012015621,300,6,0.024512926322168022,0.8030847776695691,0.9127221182372132,4
3,0.5571829828394476,0.007354474682992287,300,6,0.03467236078827471,0.7517665763049294,0.7954562418017752,2
4,0.5550049232547432,0.005948468708536798,600,6,0.024646688973455958,0.7857167044804851,0.7889986300840507,5
5,0.5538720320567729,0.007036619432184164,200,5,0.0960571445127933,0.7890046601106091,0.8436350297118407,5
6,0.5538324825100059,0.005382304155541048,200,4,0.09725056264596475,0.7539915630550535,0.9872213843133333,2
7,0.5442341849494254,0.006755248849078234,600,5,0.05648559873736288,0.8785586096034029,0.8415904608234229,3
8,0.54196570788144,0.007579783738434716,600,5,0.06198197282067114,0.8230361621338045,0.7557656062603539,2
