dataset,model,model_role,split,calibration_method,threshold,threshold_source,cost_scenario,fn_cost,fp_cost,expected_cost,test_set_used_for_training_or_selection,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp
heloc,catboost,base_model,validation,isotonic,0.14,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,883.0,False,0.5932117527862208,0.5625698324022347,0.9805258033106135,0.7149449769258076,0.17317845828933473,0.4120751714556987,0.805058047295359,0.8013113512560703,0.17952711255341994,0.01618745666937957,1.0004931140295232,0.03252083625930518,164,783,20,1007
heloc,optuna_best_xgboost,base_model,validation,isotonic,0.22,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,884.0,False,0.6676798378926039,0.6182281708094327,0.9444985394352483,0.7473035439137135,0.36747624076029567,0.5891356148419945,0.8043100283887312,0.7943436963620043,0.17975685117005383,0.02231744572656133,0.9722064125377621,0.024252102932834398,348,599,57,970
heloc,random_forest,base_model,validation,sigmoid,0.2,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,894.0,False,0.6545086119554204,0.6076107298814722,0.9483933787731256,0.7406844106463878,0.3357972544878564,0.5643295958626282,0.799643007334184,0.7930550905413709,0.18185886110304855,0.022424868742018694,1.0014439680481477,0.03628053035798472,318,629,53,974
heloc,logistic_regression,base_model,validation,sigmoid,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,895.0,False,0.5790273556231003,0.5536692223439211,0.9844206426484907,0.7087276550998949,0.13938753959873285,0.3704267421623019,0.8024808522582974,0.7993308464156561,0.18124712764561654,0.02116383757780988,1.0258655336965552,0.0338523205547814,132,815,16,1011
heloc,class_weighted_logistic_regression,base_model,validation,sigmoid,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,898.0,False,0.5775075987841946,0.5527610716238381,0.9844206426484907,0.707983193277311,0.13621964097148892,0.36619315464178165,0.8024859932817106,0.7993772810257544,0.181243417585032,0.021837869499726333,1.0258103805813752,0.033562183959050584,129,818,16,1011
heloc,smotenc_xgboost,base_model,validation,sigmoid,0.18,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,901.0,False,0.6023302938196555,0.5689851767388826,0.9717624148003895,0.7177274361740381,0.2016895459345301,0.44271245769385464,0.8015215372893851,0.7961029501654121,0.18118353637482493,0.029466205017061823,1.0562345233875168,0.015568924157181934,191,756,29,998
heloc,xgboost,base_model,validation,isotonic,0.19,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,904.0,False,0.6271529888551165,0.5866587254318046,0.9591041869522883,0.7280118255728012,0.26715945089757126,0.5061953653874508,0.8006974312362413,0.7972930944304489,0.1813942508473573,0.021453092751598127,1.0278749870502697,0.021417395401778505,253,694,42,985
heloc,monotonic_xgboost,base_model,validation,isotonic,0.14,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,904.0,False,0.5785207700101317,0.5534832693362589,0.9824732229795521,0.7080701754385965,0.14044350580781415,0.37145926263528634,0.8010156605855214,0.7967358659451867,0.18136366437282356,0.0184011459784637,1.009233997034423,0.022968750047896357,133,814,18,1009
heloc,decision_tree,base_model,validation,isotonic,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,907.0,False,0.5749746707193516,0.5513100436681223,0.9834469328140214,0.7065407485134663,0.13199577613516367,0.3602927159748486,0.7877574753050941,0.7747784104429544,0.18775021838671596,0.03114076529755137,1.1140594937220296,0.014090394742673306,125,822,17,1010
heloc,monotonic_lightgbm,base_model,validation,sigmoid,0.18,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,917.0,False,0.5739614994934144,0.5508196721311476,0.9814995131450828,0.7056352817640882,0.13199577613516367,0.3599358137416593,0.7943405557857592,0.7905462931197653,0.18449235008966167,0.018457617980247393,1.1127778959735901,0.016260339860102883,125,822,19,1008
heloc,lightgbm,base_model,validation,sigmoid,0.19,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,920.0,False,0.574468085106383,0.5511767925561029,0.9805258033106135,0.7056762438682551,0.1341077085533263,0.3626238666433801,0.7923417258826879,0.7835529028407264,0.1852543797777011,0.02148344250265949,1.1250076910593743,0.015019839514964283,127,820,20,1007
heloc,class_weighted_lightgbm,base_model,validation,isotonic,0.21,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,926.0,False,0.6160081053698075,0.5790711346266901,0.9591041869522883,0.7221407624633431,0.24392819429778248,0.48368641955994013,0.7901583332390812,0.7818713267833157,0.18609081891436488,0.019666286593045774,1.0734049529943288,0.025875314848596218,231,716,42,985
heloc,majority_baseline,base_model,validation,isotonic,0.01,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,947.0,False,0.5202634245187436,0.5202634245187436,1.0,0.6844385204931689,0.0,0.0,0.5,0.5202634245187436,0.24958939362677315,0.0,0.006533750390108171,0.08056599420200466,0,947,0,1027
heloc,SCRE-Credit,scre_credit,validation,weighted_sum_plus_isotonic,0.17,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,884.0,False,0.6595744680851063,0.6114249843063403,0.9483933787731256,0.7435114503816794,0.34635691657866946,0.5731340213034696,0.8114360009418355,0.7980842433390413,0.17543595582085655,6.236919682726746e-17,0.9996407556220339,2.0472740708327305e-05,328,619,53,974
