model
M1_logistic_regression
M2_woe_scorecard_logistic
M3_random_forest
M4_xgboost
M5_lightgbm
M7_monotonic_xgboost
M8_monotonic_lightgbm
M9_smotenc_xgboost
M10_class_weighted_lightgbm
