dataset,model,scre_variant,setting_id,selected_final_setting,ensemble_weight,max_model_weight,weight_learning_split,test_set_used_for_weight_optimization,pareto_front_only,cost_scenario,objective_formula
heloc,catboost,SCRE-Optimized,C_calibration_heavy,False,0.3188079044748326,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,SCRE-Credit,SCRE-Optimized,C_calibration_heavy,False,0.34829412460037995,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,optuna_best_xgboost,SCRE-Optimized,C_calibration_heavy,False,0.06447079707254741,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,logistic_regression,SCRE-Optimized,C_calibration_heavy,False,0.003087486291279362,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,class_weighted_logistic_regression,SCRE-Optimized,C_calibration_heavy,False,0.00011580781699826026,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,smotenc_xgboost,SCRE-Optimized,C_calibration_heavy,False,4.5467961488000644e-05,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,xgboost,SCRE-Optimized,C_calibration_heavy,False,2.366678856156338e-06,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,monotonic_xgboost,SCRE-Optimized,C_calibration_heavy,False,0.007767717488033642,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,class_weighted_lightgbm,SCRE-Optimized,C_calibration_heavy,False,0.00018954142643709418,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,majority_baseline,SCRE-Optimized,C_calibration_heavy,False,0.006605634776562275,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,woe_scorecard_logistic_regression,SCRE-Optimized,D_balanced,False,0.2377512352752049,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,catboost,SCRE-Optimized,D_balanced,False,0.3989701782279614,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,SCRE-Credit,SCRE-Optimized,D_balanced,False,0.08273316810049922,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,optuna_best_xgboost,SCRE-Optimized,D_balanced,False,0.06694591171767228,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,logistic_regression,SCRE-Optimized,D_balanced,False,0.004944811389812869,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,class_weighted_logistic_regression,SCRE-Optimized,D_balanced,False,0.007275154210043058,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,smotenc_xgboost,SCRE-Optimized,D_balanced,False,0.03416261250526031,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,xgboost,SCRE-Optimized,D_balanced,False,0.09363155641116076,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,monotonic_xgboost,SCRE-Optimized,D_balanced,False,0.03398221398802859,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,class_weighted_lightgbm,SCRE-Optimized,D_balanced,False,0.0018680541024574508,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,majority_baseline,SCRE-Optimized,D_balanced,False,0.0377351040718992,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
