dataset,model,case_type,row_id,predicted_probability,threshold,rank,feature_rule,raw_feature,lime_weight,abs_lime_weight,lime_sign,explanation_png,explanation_html
taiwan,lightgbm,true_negative,28850,0.0008130096014987303,0.17,5,utilization_proxy <= 0.03,utilization_proxy,-0.03591061162041533,0.03591061162041533,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.html
taiwan,lightgbm,true_negative,28850,0.0008130096014987303,0.17,6,payment_to_bill_ratio > 0.61,payment_to_bill_ratio,-0.029277615038804848,0.029277615038804848,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.html
taiwan,lightgbm,true_negative,28850,0.0008130096014987303,0.17,7,total_pay_amt > 33373.00,total_pay_amt,-0.028296872941091678,0.028296872941091678,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.html
taiwan,lightgbm,true_negative,28850,0.0008130096014987303,0.17,8,PAY_AMT5 > 4003.00,PAY_AMT5,-0.026048314929243158,0.026048314929243158,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.html
taiwan,lightgbm,true_negative,28850,0.0008130096014987303,0.17,9,900.00 < bill_trend <= 19718.00,900.00,-0.024612397139008164,0.024612397139008164,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.html
taiwan,lightgbm,true_negative,28850,0.0008130096014987303,0.17,10,4155.57 < bill_volatility <= 13199.05,4155.57,-0.023712962495702997,0.023712962495702997,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_negative_row_28850.html
taiwan,lightgbm,false_positive,28747,0.9376229286610618,0.17,1,PAY_0 > 0.00,PAY_0,0.08192607166259479,0.08192607166259479,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.html
taiwan,lightgbm,false_positive,28747,0.9376229286610618,0.17,2,recent_delay > 0.00,recent_delay,0.07269230230860499,0.07269230230860499,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.html
taiwan,lightgbm,false_positive,28747,0.9376229286610618,0.17,3,payment_to_bill_ratio <= 0.04,payment_to_bill_ratio,0.05996653817447159,0.05996653817447159,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.html
taiwan,lightgbm,false_positive,28747,0.9376229286610618,0.17,4,delay_count > 1.00,delay_count,0.04193288091850585,0.04193288091850585,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.html
