dataset,selection_split,pareto_cost_scenario,model_display_name,model,model_role,calibration_type,threshold,expected_cost,pr_auc,roc_auc,recall,f1,brier,ece,precision,specificity,accuracy,tn,fp,fn,tp,is_pareto_front,dominated_by_count,dominated_by_models,domination_reason,pareto_higher_is_better,pareto_lower_is_better,test_set_used_for_pareto_selection,created_local
taiwan,validation,B_FN5_FP1,Scorecard / WOE,woe_scorecard_logistic_regression,base_model,isotonic,0.16,3316.0,0.5319763334520872,0.7734331698508209,0.7490580256217031,0.500503524672709,0.1361479847693398,0.0129179635051445,0.3758034026465028,0.6466937727369998,0.6693333333333333,3022,1651,333,994,False,2,Random Forest; Old SCRE-Credit,"dominated by: Random Forest (strictly better: pr_auc, roc_auc, recall, f1, expected_cost, brier, ece); Old SCRE-Credit (strictly better: pr_auc, roc_auc, recall, f1, expected_cost, brier, ece)","pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21
taiwan,validation,B_FN5_FP1,Decision Tree,decision_tree,base_model,isotonic,0.15,3340.0,0.54357279049524,0.7724535003711455,0.787490580256217,0.4858205485820548,0.1358702654354926,0.0083956886341033,0.3512605042016806,0.5869890862401027,0.6313333333333333,2743,1930,282,1045,False,2,CatBoost; Monotonic XGBoost,"dominated by: CatBoost (strictly better: pr_auc, roc_auc, recall, f1, expected_cost, brier, ece); Monotonic XGBoost (strictly better: pr_auc, roc_auc, recall, f1, expected_cost, brier, ece)","pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21
taiwan,validation,B_FN5_FP1,Logistic Regression,logistic_regression,base_model,isotonic,0.15,3344.0,0.5339671573499083,0.7694738537907403,0.7633760361718162,0.4924647544968401,0.1363942515469318,0.0124538670908096,0.3634732687477574,0.6203723518082602,0.652,2899,1774,314,1013,False,5,CatBoost; Monotonic XGBoost; Optuna Best CatBoost; Random Forest; Old SCRE-Credit,"dominated by: CatBoost (strictly better: pr_auc, roc_auc, recall, f1, expected_cost, brier, ece); Monotonic XGBoost (strictly better: pr_auc, roc_auc, recall, f1, expected_cost, brier, ece); Optuna Best CatBoost (strictly better: pr_auc, roc_auc, recall, f1, expected_cost, brier, ece); Random Forest (strictly better: pr_auc, roc_auc, recall, f1, expected_cost, brier, ece); Old SCRE-Credit (strictly better: pr_auc, roc_auc, recall, f1, expected_cost, brier, ece)","pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21
taiwan,validation,B_FN5_FP1,Class-weighted Logistic Regression,class_weighted_logistic_regression,base_model,isotonic,0.16,3380.0,0.5321636114534417,0.7697137317086031,0.7332328560663149,0.49769820971867,0.1365232021861493,0.0080289109180144,0.3766937669376693,0.6554675797132463,0.6726666666666666,3063,1610,354,973,False,1,Old SCRE-Credit,"dominated by: Old SCRE-Credit (strictly better: pr_auc, roc_auc, recall, f1, expected_cost, brier, ece)","pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21
