model,oof_roc_auc,oof_pr_auc,oof_brier_score,best_oof_threshold,best_oof_expected_cost,best_oof_precision,best_oof_recall,best_oof_f1,best_oof_fp,best_oof_fn
xgboost,0.784314843013352,0.5601757014460748,0.13384439954182376,0.15,16352.0,0.36124601082281116,0.7846594333936107,0.4947268408551069,9207,1429
hist_gradient_boosting,0.7852746832914715,0.557067649135809,0.13355004280011956,0.15,16411.0,0.3547063177016753,0.7944544906570223,0.4904414158798084,9591,1364
lightgbm,0.7794167145500015,0.5553622483578491,0.16684241151195817,0.35,16518.0,0.36763641626863514,0.7655213984327909,0.49672435709396695,8738,1556
logistic_regression_balanced,0.7713967493923513,0.5361332770578361,0.18527648340822664,0.4,17082.0,0.3864045864045864,0.7109704641350211,0.5006898015494003,7492,1918
