dataset,model,source_phase,model_family,calibration_method,calibration_fit_policy,split,train_rows,validation_rows,test_rows_reserved,test_set_used,calibration_cv_folds,resampling,monotonic_constraints,expected_cost,description,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,model_path
heloc,lightgbm,phase7_model_pool,boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1606.0,,0.5,0.7254305977710233,0.733847637415622,0.7409931840311588,0.7374031007751938,0.7085533262935586,0.7245917369844432,0.7916996120583732,0.7831491768575647,0.1855031136671201,0.02586281608767794,1.0738373045394272,0.020538878516267168,671,276,266,761,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\lightgbm_isotonic.joblib
heloc,class_weighted_lightgbm,phase7_model_pool,boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1622.0,,0.5,0.729483282674772,0.7423795476892822,0.7351509250243428,0.738747553816047,0.723336853220697,0.7292199645850301,0.7901583332390812,0.7818713267833157,0.18609081891436488,0.019666286593045774,1.0734049529943288,0.025875314848596218,685,262,272,755,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\class_weighted_lightgbm_isotonic.joblib
heloc,decision_tree,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1617.0,Shallow Decision Tree baseline with train-fitted preprocessing.,0.5,0.7137791286727457,0.7166979362101313,0.7439143135345667,0.7300525561395127,0.6810982048574445,0.7118136719087036,0.7877574753050941,0.7747784104429544,0.18775021838671596,0.03114076529755137,1.1140594937220296,0.014090394742673306,645,302,263,764,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\decision_tree_isotonic.joblib
heloc,majority_baseline,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,947.0,Most-frequent-class dummy baseline fit on the train split.,0.5,0.5202634245187436,0.5202634245187436,1.0,0.6844385204931689,0.0,0.0,0.5,0.5202634245187436,0.24958939362677315,0.0,0.006533750390108171,0.08056599420200466,0,947,0,1027,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\majority_baseline_isotonic.joblib
heloc,catboost,phase7_model_pool,boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1492.0,,0.5,0.7365754812563323,0.7389255419415646,0.7633885102239533,0.7509578544061303,0.7074973600844773,0.73491180130834,0.8049732204090403,0.8024469732579839,0.17993605015001618,0.024524712720446536,1.032400916309058,0.022864885798300608,670,277,243,784,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\catboost_sigmoid.joblib
heloc,optuna_best_xgboost,phase8_hyperparameter_optimization,tuned_boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1461.0,"Best Phase 8 Optuna model for heloc; trial=27, objective=PR-AUC.",0.5,0.7380952380952381,0.7378731343283582,0.7702044790652386,0.753692234397332,0.7032734952481521,0.7359785296107438,0.8043470437573068,0.7965085967487326,0.18022677894840783,0.02121354324874623,1.0128794879374263,0.021000900473605342,666,281,236,791,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\optuna_best_xgboost_sigmoid.joblib
heloc,woe_scorecard_logistic_regression,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1532.0,WOE / scorecard-style Logistic Regression fit only on the train split.,0.5,0.7345491388044579,0.7402101241642789,0.7546251217137293,0.7473481195756991,0.7127771911298838,0.7334027369809569,0.8034319415897484,0.7951238042055726,0.18037410383571081,0.02050886472454462,1.0306548397235327,0.013344603556416645,675,272,252,775,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\woe_scorecard_logistic_regression_sigmoid.joblib
heloc,smotenc_xgboost,phase7_model_pool,boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,SMOTENC train split only,False,1548.0,,0.5,0.7304964539007093,0.7354900095147479,0.7526777020447907,0.7439846005774784,0.706441393875396,0.7291931739748062,0.8015215372893851,0.7961029501654121,0.18118353637482493,0.029466205017061823,1.0562345233875168,0.015568924157181934,669,278,254,773,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\smotenc_xgboost_sigmoid.joblib
heloc,class_weighted_logistic_regression,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1546.0,Logistic Regression with class_weight='balanced'.,0.5,0.7375886524822695,0.7468477206595538,0.7497565725413826,0.7482993197278912,0.7243928194297783,0.7369655877103484,0.8024859932817106,0.7993772810257544,0.181243417585032,0.02183786949972633,1.0258103805813752,0.03356218395905064,686,261,257,770,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\class_weighted_logistic_regression_sigmoid.joblib
heloc,logistic_regression,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1546.0,Standard Logistic Regression with train-fitted preprocessing.,0.5,0.7375886524822695,0.7468477206595538,0.7497565725413826,0.7482993197278912,0.7243928194297783,0.7369655877103484,0.8024808522582974,0.7993308464156561,0.18124712764561654,0.02116383757780988,1.0258655336965552,0.033852320554781365,686,261,257,770,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\logistic_regression_sigmoid.joblib
heloc,monotonic_xgboost,phase7_model_pool,monotonic,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,True,1560.0,"{'ExternalRiskEstimate': -1, 'NumTrades60Ever2DerogPubRec': 1, 'NumTrades90Ever2DerogPubRec': 1, 'PercentTradesNeverDelq': -1, 'MSinceMostRecentDelq': -1, 'NumInqLast6M': 1, 'NumInqLast6Mexcl7days': 1, 'NetFractionRevolvingBurden': 1, 'NetFractionInstallBurden': 1, 'NumBank2NatlTradesWHighUtilization': 1, 'delinquency_intensity': 1, 'trade_activity_ratio': 1, 'recent_inquiry_pressure': 1, 'revolving_burden_proxy': 1, 'installment_burden_proxy': 1, 'credit_history_length_proxy': -1, 'negative_trade_signal': 1, 'high_utilization_signal': 1}",0.5,0.7264437689969605,0.7303689687795648,0.7517039922103214,0.7408829174664108,0.6990496304118268,0.7248988880759302,0.8011246502818824,0.7994226960532551,0.18155652042428538,0.02631032984981823,1.0468287912252305,0.014341374876530595,662,285,255,772,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\monotonic_xgboost_sigmoid.joblib
heloc,xgboost,phase7_model_pool,boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1514.0,,0.5,0.7335359675785208,0.7365439093484419,0.759493670886076,0.74784276126558,0.7053854276663146,0.7319397296552729,0.8006876632917561,0.7966295662720032,0.18165482452608495,0.019653667149482162,1.0627232421166877,0.014025507474704879,668,279,247,780,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\xgboost_sigmoid.joblib
heloc,random_forest,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1484.0,Random Forest baseline without hyperparameter tuning.,0.5,0.7345491388044579,0.734827264239029,0.7663096397273612,0.7502383222116301,0.7001055966209081,0.7324600108659021,0.799643007334184,0.7930550905413709,0.18185886110304855,0.02242486874201874,1.001443968048148,0.03628053035798466,663,284,240,787,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\random_forest_sigmoid.joblib
heloc,monotonic_lightgbm,phase7_model_pool,monotonic,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,True,1545.0,"{'ExternalRiskEstimate': -1, 'NumTrades60Ever2DerogPubRec': 1, 'NumTrades90Ever2DerogPubRec': 1, 'PercentTradesNeverDelq': -1, 'MSinceMostRecentDelq': -1, 'NumInqLast6M': 1, 'NumInqLast6Mexcl7days': 1, 'NetFractionRevolvingBurden': 1, 'NetFractionInstallBurden': 1, 'NumBank2NatlTradesWHighUtilization': 1, 'delinquency_intensity': 1, 'trade_activity_ratio': 1, 'recent_inquiry_pressure': 1, 'revolving_burden_proxy': 1, 'installment_burden_proxy': 1, 'credit_history_length_proxy': -1, 'negative_trade_signal': 1, 'high_utilization_signal': 1}",0.5,0.732016210739615,0.7375954198473282,0.7526777020447907,0.7450602409638554,0.7096092925026399,0.7308263074291433,0.7943405557857592,0.7905462931197653,0.18449235008966167,0.018457617980247393,1.1127778959735901,0.016260339860102883,672,275,254,773,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\monotonic_lightgbm_sigmoid.joblib
heloc,lightgbm,phase7_model_pool,boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1572.0,,0.5,0.7304964539007093,0.7382098171318575,0.7468354430379747,0.7424975798644724,0.7127771911298838,0.7296076132585583,0.7923417258826879,0.7835529028407264,0.1852543797777011,0.02148344250265949,1.1250076910593743,0.015019839514964283,675,272,260,767,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\lightgbm_sigmoid.joblib
heloc,class_weighted_lightgbm,phase7_model_pool,boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1608.0,,0.5,0.7264437689969605,0.7357212003872217,0.7400194741966893,0.7378640776699029,0.7117212249208026,0.7257324346069397,0.7902657806284181,0.7844211824282462,0.18615283251807177,0.02740435281666636,1.1155343610815853,0.016917994663433376,674,273,267,760,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\class_weighted_lightgbm_sigmoid.joblib
