model,reliability_score,ensemble_weight,pr_auc_norm,roc_auc_norm,recall_norm,calibration_norm,cost_norm,stability_norm,faithfulness_norm
M1_logistic_regression,0.9740988130271319,0.25786143542555856,0.9475052927056637,0.9289582669640037,1.0,0.96836009627599,1.0,1.0,1.0
M2_woe_scorecard_logistic,0.9171417565485361,0.24278388051555555,1.0,1.0,0.7272727272727273,1.0,0.7203389830508475,1.0,1.0
M5_monotonic_xgboost,0.7590752034006109,0.20094082748808095,0.7199604911649851,0.6811086333227125,0.7272727272727273,0.7571444252677487,0.6016949152542372,1.0,1.0
M3_xgboost,0.5984232641328302,0.15841337636148184,0.4477241945146694,0.5430073271742595,0.5000000000000021,0.6517753946973639,0.364406779661017,1.0,1.0
M5_monotonic_lightgbm,0.2944290074616285,0.07794064162653212,0.12163036988817143,0.24115960496973113,0.0,0.22619328492356372,0.0,1.0,1.0
M4_lightgbm,0.23443759630200278,0.06205983858279093,0.0,0.0,0.1363636363636343,0.0,0.09322033898305082,1.0,1.0
