threshold,accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,model,imbalance_strategy,training_seconds,selection_score
0.5,0.7683333333333333,0.48143783146729524,0.6156744536548606,0.5403439153439153,0.8116841429488552,0.7772630727821049,0.5552403877450245,0.16782584334793166,3793,880,510,817,lightgbm,no_resampling,0.5944400999997015,0.673936153737183
0.5,0.7506666666666667,0.45163136805953064,0.5945742275810098,0.5133376707872479,0.7949925101647763,0.7614507235927472,0.5269714275862533,0.18698980684723165,3715,958,538,789,logistic_regression_balanced,no_resampling,0.20004309999967518,0.652472732881481
0.5,0.8056666666666666,0.5754451733833177,0.46269781461944237,0.5129490392648287,0.9030601326770811,0.766674901803253,0.5343779729124719,0.1466085629941746,4220,453,713,614,xgboost,smotenc,2.5561515000008512,0.6436713958152112
0.5,0.8065,0.583,0.43933685003767897,0.5010743446497636,0.9107639631928097,0.7616481088508743,0.526998882316858,0.14545108793997122,4256,417,744,583,lightgbm,smotenc,2.72018879999996,0.6353716129063744
0.5,0.8178333333333333,0.6581081081081082,0.36699321778447624,0.471214320270924,0.9458591910977958,0.7804210756496741,0.5636680556487046,0.13470539167824133,4420,253,840,487,xgboost,no_resampling,0.6147613000011916,0.6330350515816487
0.5,0.801,0.5624413145539906,0.45139412207987945,0.5008361204013378,0.9002781938797346,0.7521052411752744,0.5202051182971521,0.14854792668717456,4207,466,728,599,random_forest,smotenc,4.874457599999005,0.6326446031486815
0.5,0.8195,0.6680440771349863,0.3654860587792012,0.47247929858743304,0.9484271346030387,0.7810282288333741,0.5583380436785471,0.13440857445460236,4432,241,842,485,hist_gradient_boosting,no_resampling,1.6432807000001048,0.6322956285028518
0.5,0.8023333333333333,0.5634563456345635,0.4717407686510927,0.5135356849876949,0.8962122833297668,0.7367427336342384,0.4994835007289878,0.16903561532217823,4188,485,701,626,logistic_regression,smotenc,2.6968100000012782,0.6281785568334888
0.5,0.8191666666666667,0.6671270718232044,0.36397889977392617,0.4709897610921502,0.9484271346030387,0.7609783858304477,0.530380827659217,0.13781285832169826,4432,241,844,483,logistic_regression,no_resampling,0.20485519999965618,0.6208264337361973
0.5,0.813,0.6421636615811374,0.34890730972117556,0.4521484375,0.9447892146372779,0.763110194996961,0.5403959665010036,0.13857230394000658,4415,258,864,463,random_forest,no_resampling,1.913665600000968,0.6170821606884033
