dataset,stability_scope,model_family,kendalls_w,n_seeds,n_features,metric_direction,interpretation,winner,threshold,calibration_type,cost_scenario
heloc,reduced,lightgbm,0.9908380952380952,50,8,higher_is_better,Kendall's W measures agreement among seed-specific SHAP rankings.,True,,not_applicable_explanation_stability,B_FN5_FP1
taiwan,full,lightgbm,0.9772513845205058,50,46,higher_is_better,Kendall's W measures agreement among seed-specific SHAP rankings.,True,,not_applicable_explanation_stability,B_FN5_FP1
