dataset,model,split,setting_id,selected_final_setting,calibration_type,threshold,threshold_source,cost_scenario,fn_cost,fp_cost,expected_cost,weight_learning_split,setting_selection_split,test_set_used_for_weight_optimization,test_set_used_for_setting_selection,test_set_used_for_threshold_selection,valid_for_model_selection,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp
heloc,SCRE-Optimized,validation,A_cost_heavy,False,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.16,validation_cost_min_FN5_FP1_for_setting,B_FN5_FP1,5.0,1.0,857.0,validation,validation,False,False,False,True,0.5982776089159068,0.5654362416107382,0.9844206426484907,0.7182948490230906,0.1795142555438226,0.420377852422098,0.8079108011873709,0.8047997976524119,0.1783890790784316,0.017761211381663974,1.0699980931118247,0.01929762740664372,170,777,16,1011
heloc,SCRE-Optimized,validation,B_pr_auc_heavy,True,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.22,validation_cost_min_FN5_FP1_for_setting,B_FN5_FP1,5.0,1.0,853.0,validation,validation,False,False,False,True,0.6043566362715299,0.5694130925507901,0.9824732229795521,0.720971775634155,0.19429778247096094,0.4369123122115294,0.8080125934509531,0.8056262624096607,0.18042972855361764,0.045400511475900955,1.3536984347681322,-0.0043887981789957845,184,763,18,1009
heloc,SCRE-Optimized,validation,C_calibration_heavy,False,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.16,validation_cost_min_FN5_FP1_for_setting,B_FN5_FP1,5.0,1.0,859.0,validation,validation,False,False,False,True,0.605369807497467,0.5702151755379389,0.9805258033106135,0.7210884353741497,0.19852164730728616,0.4411979121670036,0.8094181492521354,0.8067588171385798,0.17701531386991295,0.011014328296024205,1.0502241810191668,0.01302322957599244,188,759,20,1007
heloc,SCRE-Optimized,validation,D_balanced,False,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.17,validation_cost_min_FN5_FP1_for_setting,B_FN5_FP1,5.0,1.0,857.0,validation,validation,False,False,False,True,0.6023302938196555,0.5681306306306306,0.9824732229795521,0.7199429183018194,0.1900739176346357,0.4321371708877292,0.8076804833384572,0.8044950035938399,0.1785007169164101,0.019082808993229058,1.109510562302899,0.015560743935176764,180,767,18,1009
heloc,SCRE-Optimized,test,B_pr_auc_heavy,True,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.22,validation_cost_min_FN5_FP1_for_setting,B_FN5_FP1,5.0,1.0,900.0,validation,validation,False,False,False,False,0.590886075949367,0.5614525139664804,0.9776264591439688,0.7132718239886444,0.17106652587117213,0.40894885006011955,0.8054618516798903,0.8130412263027302,0.18266246307039458,0.046149261762113425,1.370432458090331,-0.036486973395982426,162,785,23,1005
