t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.1,0.5,736.5,79,847,1048,0.04002026342451875,0.42907801418439717,0.5309017223910841,8,273,71,775,244,603,0.7395038167938931,0.7546251217137293,0.9922103213242454,0.5709219858156028,True,True,True
0.1,0.45,741.0,79,764,1131,0.04002026342451875,0.38703140830800403,0.5729483282674772,8,319,71,812,207,557,0.717948717948718,0.7906523855890945,0.9922103213242454,0.6129685916919959,True,True,True
0.05,0.45,744.5,2,841,1131,0.0010131712259371835,0.4260385005065856,0.5729483282674772,1,319,1,812,214,627,0.717948717948718,0.7906523855890945,0.9990262901655307,0.5739614994934144,True,True,True
0.1,0.4,745.5,79,699,1196,0.04002026342451875,0.3541033434650456,0.6058763931104356,8,356,71,840,179,520,0.7023411371237458,0.8179162609542356,0.9922103213242454,0.6458966565349544,True,True,True
0.05,0.4,749.0,2,776,1196,0.0010131712259371835,0.39311043566362713,0.6058763931104356,1,356,1,840,186,590,0.7023411371237458,0.8179162609542356,0.9990262901655307,0.6068895643363729,True,True,True
0.1,0.35,753.5,79,611,1284,0.04002026342451875,0.30952380952380953,0.6504559270516718,8,408,71,876,143,468,0.6822429906542056,0.8529698149951315,0.9922103213242454,0.6904761904761905,True,True,True
0.05,0.35,757.0,2,688,1284,0.0010131712259371835,0.3485309017223911,0.6504559270516718,1,408,1,876,150,538,0.6822429906542056,0.8529698149951315,0.9990262901655307,0.6514690982776089,True,True,True
0.1,0.3,760.5,79,525,1370,0.04002026342451875,0.26595744680851063,0.6940222897669707,8,458,71,912,107,418,0.6656934306569343,0.8880233690360273,0.9922103213242454,0.7340425531914894,True,True,True
0.05,0.3,764.0,2,602,1370,0.0010131712259371835,0.3049645390070922,0.6940222897669707,1,458,1,912,114,488,0.6656934306569343,0.8880233690360273,0.9990262901655307,0.6950354609929078,True,True,True
0.1,0.25,782.0,79,416,1479,0.04002026342451875,0.21073961499493415,0.7492401215805471,8,534,71,945,74,342,0.6389452332657201,0.9201557935735151,0.9922103213242454,0.7892603850050659,True,True,True
0.05,0.25,785.5,2,493,1479,0.0010131712259371835,0.24974670719351572,0.7492401215805471,1,534,1,945,81,412,0.6389452332657201,0.9201557935735151,0.9990262901655307,0.7502532928064843,True,True,True
0.15,0.55,787.5,235,781,958,0.11904761904761904,0.3956433637284701,0.48530901722391084,34,227,201,731,262,519,0.7630480167014614,0.7117818889970788,0.9668938656280428,0.6043566362715299,True,True,True
0.15,0.5,788.5,235,691,1048,0.11904761904761904,0.35005065856129686,0.5309017223910841,34,273,201,775,218,473,0.7395038167938931,0.7546251217137293,0.9668938656280428,0.6499493414387031,True,True,True
0.15,0.45,793.0,235,608,1131,0.11904761904761904,0.3080040526849038,0.5729483282674772,34,319,201,812,181,427,0.717948717948718,0.7906523855890945,0.9668938656280428,0.6919959473150963,True,True,True
0.15,0.6,796.0,235,864,875,0.11904761904761904,0.4376899696048632,0.4432624113475177,34,194,201,681,312,552,0.7782857142857142,0.6630963972736125,0.9668938656280428,0.5623100303951368,True,True,True
0.15,0.4,797.5,235,543,1196,0.11904761904761904,0.2750759878419453,0.6058763931104356,34,356,201,840,153,390,0.7023411371237458,0.8179162609542356,0.9668938656280428,0.7249240121580547,True,True,True
0.15,0.35,805.5,235,455,1284,0.11904761904761904,0.23049645390070922,0.6504559270516718,34,408,201,876,117,338,0.6822429906542056,0.8529698149951315,0.9668938656280428,0.7695035460992907,True,True,True
0.15,0.3,812.5,235,369,1370,0.11904761904761904,0.18693009118541035,0.6940222897669707,34,458,201,912,81,288,0.6656934306569343,0.8880233690360273,0.9668938656280428,0.8130699088145896,True,True,True
0.1,0.2,819.5,79,299,1596,0.04002026342451875,0.1514690982776089,0.8085106382978723,8,630,71,966,53,246,0.6052631578947368,0.9406037000973709,0.9922103213242454,0.8485309017223911,True,True,True
0.05,0.2,823.0,2,376,1596,0.0010131712259371835,0.19047619047619047,0.8085106382978723,1,630,1,966,60,316,0.6052631578947368,0.9406037000973709,0.9990262901655307,0.8095238095238095,True,True,True
0.15,0.25,834.0,235,260,1479,0.11904761904761904,0.13171225937183384,0.7492401215805471,34,534,201,945,48,212,0.6389452332657201,0.9201557935735151,0.9668938656280428,0.8682877406281662,True,True,True
0.2,0.55,851.0,378,638,958,0.19148936170212766,0.3232016210739615,0.48530901722391084,61,227,317,731,235,403,0.7630480167014614,0.7117818889970788,0.9406037000973709,0.6767983789260384,True,True,True
