dataset,model,source_phase,model_family,calibration_method,calibration_fit_policy,split,train_rows,validation_rows,test_rows_reserved,test_set_used,calibration_cv_folds,resampling,monotonic_constraints,expected_cost,description,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,model_path
taiwan,woe_scorecard_logistic_regression,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4559.0,WOE / scorecard-style Logistic Regression fit only on the train split.,0.5,0.8175,0.6681159420289855,0.3474001507159005,0.4571145265245414,0.9509950781082817,0.5747832926111341,0.7734331698508209,0.5319763334520872,0.13614798476933984,0.012917963505144587,0.9734166707387212,-0.0072346775069435714,4444,229,866,461,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\woe_scorecard_logistic_regression_isotonic.joblib
taiwan,logistic_regression,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4500.0,Standard Logistic Regression with train-fitted preprocessing.,0.5,0.8193333333333334,0.6728307254623044,0.35644310474755087,0.4660098522167488,0.950781082816178,0.5821506343672889,0.7694738537907403,0.5339671573499083,0.13639425154693188,0.012453867090809624,0.9789531341868639,-0.002655354002254341,4443,230,854,473,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\logistic_regression_isotonic.joblib
taiwan,class_weighted_logistic_regression,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4527.0,Logistic Regression with class_weight='balanced'.,0.5,0.8188333333333333,0.6729106628242075,0.3519216277317257,0.46214745175655614,0.9514230686924887,0.5786418192593533,0.7697137317086031,0.5321636114534417,0.13652320218614938,0.008028910918014403,0.9839250839869199,0.0044663527965653795,4446,227,860,467,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\class_weighted_logistic_regression_isotonic.joblib
taiwan,majority_baseline,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,6635.0,Most-frequent-class dummy baseline fit on the train split.,0.5,0.7788333333333334,0.0,0.0,0.0,1.0,0.0,0.5,0.22116666666666668,0.17225197530864197,5.555555555555869e-05,0.6132708642128103,-0.48728056942318715,4673,0,1327,0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\majority_baseline_isotonic.joblib
taiwan,random_forest,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4459.0,Random Forest baseline without hyperparameter tuning.,0.5,0.8201666666666667,0.6731843575418994,0.3632253202712886,0.4718551150269212,0.9499251016477638,0.587398373576013,0.7879846884513981,0.5619800441539329,0.1338372304194006,0.02170936464632005,1.0356652258398271,0.0601528491155142,4439,234,845,482,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\random_forest_sigmoid.joblib
taiwan,xgboost,phase7_model_pool,boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4482.0,,0.5,0.821,0.6814921090387375,0.3579502637528259,0.46936758893280633,0.9524930451530066,0.5839050751066058,0.7868551255097709,0.5598358542785238,0.13397003525694007,0.020950174764626555,1.0442868417249862,0.06860709422179917,4451,222,852,475,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\xgboost_sigmoid.joblib
taiwan,catboost,phase7_model_pool,boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4475.0,,0.5,0.8208333333333333,0.6794871794871795,0.359457422758101,0.4701823558403154,0.9518510592766959,0.5849358329057722,0.7869291449815685,0.5637171402675798,0.13405916563827772,0.020630376737223302,1.0258523530279593,0.051147295330914666,4448,225,850,477,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\catboost_sigmoid.joblib
taiwan,monotonic_xgboost,phase7_model_pool,monotonic,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,True,4521.0,"{'PAY_0': 1, 'PAY_2': 1, 'PAY_3': 1, 'PAY_4': 1, 'PAY_5': 1, 'PAY_6': 1, 'delay_count': 1, 'max_delay': 1, 'avg_delay': 1, 'recent_delay': 1, 'severe_delay_count': 1, 'payment_to_bill_ratio': -1, 'utilization_proxy': 1, 'recent_payment_intensity': -1}",0.5,0.8191666666666667,0.6743515850144092,0.35267520723436324,0.4631370608609599,0.9516370639845924,0.5793261592166083,0.7875092060710158,0.5593355104534757,0.13410651514927513,0.020898738214539154,1.0460426315873574,0.07501542445007281,4447,226,859,468,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\monotonic_xgboost_sigmoid.joblib
taiwan,optuna_best_catboost,phase8_hyperparameter_optimization,tuned_boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4454.0,"Best Phase 8 Optuna model for taiwan; trial=52, objective=PR-AUC.",0.5,0.821,0.6779184247538678,0.3632253202712886,0.4730127576054956,0.9509950781082817,0.5877290973078496,0.7852281484924136,0.5618843814559511,0.13420471641661935,0.020044622973573508,1.0135473984434067,0.03551650233389525,4444,229,845,482,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\optuna_best_catboost_sigmoid.joblib
taiwan,class_weighted_lightgbm,phase7_model_pool,boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4551.0,,0.5,0.8195,0.6804733727810651,0.346646571213263,0.45931103344982527,0.9537770169056281,0.5749987240093236,0.7834726452898217,0.5538608240012813,0.13478551772219452,0.020107387821419555,1.1201318668342688,0.14414803424912154,4457,216,867,460,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\class_weighted_lightgbm_sigmoid.joblib
taiwan,lightgbm,phase7_model_pool,boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4669.0,,0.5,0.8171666666666667,0.6802507836990596,0.32705350414468726,0.44173027989821884,0.9563449604108709,0.5592637753989503,0.7838362921501786,0.5579018562249545,0.13486876626106326,0.016377857848588175,1.1148924819286063,0.1512732785708553,4469,204,893,434,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\lightgbm_sigmoid.joblib
taiwan,monotonic_lightgbm,phase7_model_pool,monotonic,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,True,4622.0,"{'PAY_0': 1, 'PAY_2': 1, 'PAY_3': 1, 'PAY_4': 1, 'PAY_5': 1, 'PAY_6': 1, 'delay_count': 1, 'max_delay': 1, 'avg_delay': 1, 'recent_delay': 1, 'severe_delay_count': 1, 'payment_to_bill_ratio': -1, 'utilization_proxy': 1, 'recent_payment_intensity': -1}",0.5,0.819,0.6868217054263566,0.333835719668425,0.44929006085192696,0.9567729509950781,0.5651592577802513,0.7819782260193442,0.5530583657121196,0.13490778747728271,0.01755706134598704,1.105190785265149,0.1480448195500544,4471,202,884,443,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\monotonic_lightgbm_sigmoid.joblib
taiwan,smotenc_xgboost,phase7_model_pool,boosting,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,SMOTENC train split only,False,4551.0,,0.5,0.8195,0.6804733727810651,0.346646571213263,0.45931103344982527,0.9537770169056281,0.5749987240093236,0.7793136862970929,0.5438907456996119,0.13595661912746781,0.014312512779194443,1.0716007693576612,0.09423257747558289,4457,216,867,460,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\smotenc_xgboost_sigmoid.joblib
