fn_cost,fp_cost,threshold,expected_cost,precision,recall,f1,fp,fn
1.0,1.0,0.65,1084.0,0.6877897990726429,0.33534287867370005,0.4508611955420466,202,882
1.0,1.0,0.6,1087.0,0.6621621621621622,0.36925395629238883,0.4741170778906628,250,837
1.0,1.0,0.7,1095.0,0.7156133828996283,0.2901281085154484,0.4128686327077748,153,942
1.0,1.0,0.55,1096.0,0.6347724620770129,0.40994724943481536,0.4981684981684982,313,783
1.0,1.0,0.5,1126.0,0.5972894482090997,0.46495855312735496,0.5228813559322034,416,710
1.0,1.0,0.75,1129.0,0.745049504950495,0.22682743029389602,0.34777585210860773,103,1026
1.0,1.0,0.45,1181.0,0.5590614886731392,0.520723436322532,0.5392118611002731,545,636
1.0,1.0,0.8,1189.0,0.7738095238095238,0.146948003014318,0.24699176694110198,57,1132
1.0,1.0,0.4,1251.0,0.5262793914246197,0.573474001507159,0.5488640461593941,685,566
1.0,1.0,0.85,1261.0,0.8928571428571429,0.05651846269781462,0.10630758327427356,9,1252
1.0,1.0,0.9,1313.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
1.0,1.0,0.95,1327.0,0.0,0.0,0.0,0,1327
1.0,1.0,0.35,1392.0,0.4807806031933767,0.6126601356443104,0.5387673956262425,878,514
1.0,1.0,0.3,1622.0,0.42766061794997545,0.6571213262999246,0.5181224004753416,1167,455
1.0,1.0,0.25,1993.0,0.37309451219512196,0.7377543330821401,0.495570741584409,1645,348
1.0,1.0,0.2,2534.0,0.3248185776487663,0.8432554634513941,0.46898575020955574,2326,208
1.0,1.0,0.15,3268.0,0.2790803551104029,0.9238884702336096,0.4286713286713287,3167,101
1.0,1.0,0.1,4028.0,0.2444654683065279,0.9736247174076865,0.39080459770114945,3993,35
1.0,1.0,0.05,4599.0,0.22364864864864864,0.9977392614920875,0.3653925762384435,4596,3
2.0,1.0,0.4,1817.0,0.5262793914246197,0.573474001507159,0.5488640461593941,685,566
2.0,1.0,0.45,1817.0,0.5590614886731392,0.520723436322532,0.5392118611002731,545,636
2.0,1.0,0.5,1836.0,0.5972894482090997,0.46495855312735496,0.5228813559322034,416,710
2.0,1.0,0.55,1879.0,0.6347724620770129,0.40994724943481536,0.4981684981684982,313,783
2.0,1.0,0.35,1906.0,0.4807806031933767,0.6126601356443104,0.5387673956262425,878,514
2.0,1.0,0.6,1924.0,0.6621621621621622,0.36925395629238883,0.4741170778906628,250,837
2.0,1.0,0.65,1966.0,0.6877897990726429,0.33534287867370005,0.4508611955420466,202,882
2.0,1.0,0.7,2037.0,0.7156133828996283,0.2901281085154484,0.4128686327077748,153,942
2.0,1.0,0.3,2077.0,0.42766061794997545,0.6571213262999246,0.5181224004753416,1167,455
2.0,1.0,0.75,2155.0,0.745049504950495,0.22682743029389602,0.34777585210860773,103,1026
2.0,1.0,0.8,2321.0,0.7738095238095238,0.146948003014318,0.24699176694110198,57,1132
2.0,1.0,0.25,2341.0,0.37309451219512196,0.7377543330821401,0.495570741584409,1645,348
2.0,1.0,0.85,2513.0,0.8928571428571429,0.05651846269781462,0.10630758327427356,9,1252
2.0,1.0,0.9,2624.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
2.0,1.0,0.95,2654.0,0.0,0.0,0.0,0,1327
2.0,1.0,0.2,2742.0,0.3248185776487663,0.8432554634513941,0.46898575020955574,2326,208
2.0,1.0,0.15,3369.0,0.2790803551104029,0.9238884702336096,0.4286713286713287,3167,101
2.0,1.0,0.1,4063.0,0.2444654683065279,0.9736247174076865,0.39080459770114945,3993,35
2.0,1.0,0.05,4602.0,0.22364864864864864,0.9977392614920875,0.3653925762384435,4596,3
3.0,1.0,0.4,2383.0,0.5262793914246197,0.573474001507159,0.5488640461593941,685,566
3.0,1.0,0.35,2420.0,0.4807806031933767,0.6126601356443104,0.5387673956262425,878,514
3.0,1.0,0.45,2453.0,0.5590614886731392,0.520723436322532,0.5392118611002731,545,636
3.0,1.0,0.3,2532.0,0.42766061794997545,0.6571213262999246,0.5181224004753416,1167,455
3.0,1.0,0.5,2546.0,0.5972894482090997,0.46495855312735496,0.5228813559322034,416,710
3.0,1.0,0.55,2662.0,0.6347724620770129,0.40994724943481536,0.4981684981684982,313,783
3.0,1.0,0.25,2689.0,0.37309451219512196,0.7377543330821401,0.495570741584409,1645,348
3.0,1.0,0.6,2761.0,0.6621621621621622,0.36925395629238883,0.4741170778906628,250,837
3.0,1.0,0.65,2848.0,0.6877897990726429,0.33534287867370005,0.4508611955420466,202,882
3.0,1.0,0.2,2950.0,0.3248185776487663,0.8432554634513941,0.46898575020955574,2326,208
3.0,1.0,0.7,2979.0,0.7156133828996283,0.2901281085154484,0.4128686327077748,153,942
3.0,1.0,0.75,3181.0,0.745049504950495,0.22682743029389602,0.34777585210860773,103,1026
3.0,1.0,0.8,3453.0,0.7738095238095238,0.146948003014318,0.24699176694110198,57,1132
3.0,1.0,0.15,3470.0,0.2790803551104029,0.9238884702336096,0.4286713286713287,3167,101
3.0,1.0,0.85,3765.0,0.8928571428571429,0.05651846269781462,0.10630758327427356,9,1252
3.0,1.0,0.9,3935.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
3.0,1.0,0.95,3981.0,0.0,0.0,0.0,0,1327
3.0,1.0,0.1,4098.0,0.2444654683065279,0.9736247174076865,0.39080459770114945,3993,35
3.0,1.0,0.05,4605.0,0.22364864864864864,0.9977392614920875,0.3653925762384435,4596,3
5.0,1.0,0.2,3366.0,0.3248185776487663,0.8432554634513941,0.46898575020955574,2326,208
5.0,1.0,0.25,3385.0,0.37309451219512196,0.7377543330821401,0.495570741584409,1645,348
5.0,1.0,0.3,3442.0,0.42766061794997545,0.6571213262999246,0.5181224004753416,1167,455
5.0,1.0,0.35,3448.0,0.4807806031933767,0.6126601356443104,0.5387673956262425,878,514
5.0,1.0,0.4,3515.0,0.5262793914246197,0.573474001507159,0.5488640461593941,685,566
5.0,1.0,0.15,3672.0,0.2790803551104029,0.9238884702336096,0.4286713286713287,3167,101
5.0,1.0,0.45,3725.0,0.5590614886731392,0.520723436322532,0.5392118611002731,545,636
5.0,1.0,0.5,3966.0,0.5972894482090997,0.46495855312735496,0.5228813559322034,416,710
5.0,1.0,0.1,4168.0,0.2444654683065279,0.9736247174076865,0.39080459770114945,3993,35
5.0,1.0,0.55,4228.0,0.6347724620770129,0.40994724943481536,0.4981684981684982,313,783
5.0,1.0,0.6,4435.0,0.6621621621621622,0.36925395629238883,0.4741170778906628,250,837
5.0,1.0,0.05,4611.0,0.22364864864864864,0.9977392614920875,0.3653925762384435,4596,3
5.0,1.0,0.65,4612.0,0.6877897990726429,0.33534287867370005,0.4508611955420466,202,882
5.0,1.0,0.7,4863.0,0.7156133828996283,0.2901281085154484,0.4128686327077748,153,942
5.0,1.0,0.75,5233.0,0.745049504950495,0.22682743029389602,0.34777585210860773,103,1026
5.0,1.0,0.8,5717.0,0.7738095238095238,0.146948003014318,0.24699176694110198,57,1132
5.0,1.0,0.85,6269.0,0.8928571428571429,0.05651846269781462,0.10630758327427356,9,1252
5.0,1.0,0.9,6557.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
5.0,1.0,0.95,6635.0,0.0,0.0,0.0,0,1327
10.0,1.0,0.15,4177.0,0.2790803551104029,0.9238884702336096,0.4286713286713287,3167,101
10.0,1.0,0.1,4343.0,0.2444654683065279,0.9736247174076865,0.39080459770114945,3993,35
10.0,1.0,0.2,4406.0,0.3248185776487663,0.8432554634513941,0.46898575020955574,2326,208
10.0,1.0,0.05,4626.0,0.22364864864864864,0.9977392614920875,0.3653925762384435,4596,3
10.0,1.0,0.25,5125.0,0.37309451219512196,0.7377543330821401,0.495570741584409,1645,348
10.0,1.0,0.3,5717.0,0.42766061794997545,0.6571213262999246,0.5181224004753416,1167,455
10.0,1.0,0.35,6018.0,0.4807806031933767,0.6126601356443104,0.5387673956262425,878,514
10.0,1.0,0.4,6345.0,0.5262793914246197,0.573474001507159,0.5488640461593941,685,566
10.0,1.0,0.45,6905.0,0.5590614886731392,0.520723436322532,0.5392118611002731,545,636
10.0,1.0,0.5,7516.0,0.5972894482090997,0.46495855312735496,0.5228813559322034,416,710
10.0,1.0,0.55,8143.0,0.6347724620770129,0.40994724943481536,0.4981684981684982,313,783
10.0,1.0,0.6,8620.0,0.6621621621621622,0.36925395629238883,0.4741170778906628,250,837
10.0,1.0,0.65,9022.0,0.6877897990726429,0.33534287867370005,0.4508611955420466,202,882
10.0,1.0,0.7,9573.0,0.7156133828996283,0.2901281085154484,0.4128686327077748,153,942
10.0,1.0,0.75,10363.0,0.745049504950495,0.22682743029389602,0.34777585210860773,103,1026
10.0,1.0,0.8,11377.0,0.7738095238095238,0.146948003014318,0.24699176694110198,57,1132
10.0,1.0,0.85,12529.0,0.8928571428571429,0.05651846269781462,0.10630758327427356,9,1252
10.0,1.0,0.9,13112.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
10.0,1.0,0.95,13270.0,0.0,0.0,0.0,0,1327
