dataset,model,split,calibration_type,threshold,threshold_source,cost_scenario,fn_cost,fp_cost,expected_cost,weight_learning_split,test_set_used_for_weight_learning,test_set_used_for_threshold_selection,valid_for_model_selection,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp
taiwan,SCRE-Pareto,validation,weighted_sum_of_calibrated_pareto_front_probabilities,0.16,validation_cost_min_FN5_FP1,B_FN5_FP1,5.0,1.0,3180.0,validation,False,False,True,0.658,0.37122557726465366,0.787490580256217,0.5045871559633027,0.6212283329766745,0.6994365306497823,0.7888404277261138,0.5623071097352275,0.1330030219690503,0.009965217966327631,1.1031783730643796,0.13139251603479676,2903,1770,282,1045
taiwan,SCRE-Pareto,test,weighted_sum_of_calibrated_pareto_front_probabilities,0.16,validation_cost_min_FN5_FP1,B_FN5_FP1,5.0,1.0,3307.0,validation,False,False,False,0.6448333333333334,0.3599303135888502,0.7784476262245666,0.4922563736001906,0.606890648405735,0.6873373150275871,0.7838847515211484,0.5661401114278397,0.13401665754848427,0.011268758169309702,1.0704023690816111,0.07601533362375783,2836,1837,294,1033
