audit_timestamp_local,source_type,source_file,sheet_name,result_theme,row_count,column_count,column_names,empty_columns,empty_column_count,missing_winner_column,missing_direction_column,duplicate_row_count,has_duplicate_rows,has_dataset_column,has_model_column,has_metric_column,has_threshold_column,has_cost_scenario_column,has_winner_column,has_direction_column,read_status,read_error
2026-04-29 14:50:46,csv_file,outputs/tables/ablation_faithfulness_details.csv,,faithfulness;ablation,100,15,ablation_id | test_type | step | feature | feature_set | n_features | roc_auc_drop | pr_auc_drop | probability_shift | recall_change | cost_change | perturbed_roc_auc | perturbed_pr_auc | perturbed_recall | perturbed_expected_cost,,0,missing_winner_column,missing_direction_column,0,False,False,False,False,False,False,False,False,PASS,
2026-04-29 14:50:46,csv_file,outputs/tables/ablation_results.csv,,model_result;threshold;shap_stability;faithfulness;ablation,10,38,dataset | ablation_id | ablation_name | description | model_role | n_base_models | selected_models | threshold | threshold_source | test_set_used_for_training_or_selection | validation_roc_auc | validation_pr_auc | validation_recall | validation_f1 | validation_brier | validation_ece | validation_expected_cost | roc_auc | pr_auc | recall | f1 | brier | ece | expected_cost | accuracy | precision | specificity | tn | fp | fn | tp | component_weights | shap_stability | shap_stability_source | faithfulness_raw_topk_pr_auc_drop | faithfulness_score | faithfulness_score_source | feature_scope,,0,missing_winner_column,missing_direction_column,0,False,True,False,False,True,False,False,False,PASS,
2026-04-29 14:50:46,csv_file,outputs/tables/ablation_shap_rank_correlations.csv,,shap_stability;ablation,2450,14,dataset | stability_scope | model_family | seed_a | seed_b | spearman_rho | spearman_p_value | kendall_tau | kendall_p_value | kendalls_w | top5_overlap_count | top5_overlap_rate | top10_overlap_count | top10_overlap_rate,,0,missing_winner_column,missing_direction_column,0,False,True,False,False,False,False,False,False,PASS,
2026-04-29 14:50:46,csv_file,outputs/tables/ablation_shap_stability_seed_results.csv,,model_result;shap_stability;ablation,3750,13,dataset | stability_scope | model_family | seed_index | random_seed | feature | mean_abs_shap | mean_shap | rank | shap_sign | raw_feature | in_top_5 | in_top_10,,0,missing_winner_column,missing_direction_column,0,False,True,False,False,False,False,False,False,PASS,
2026-04-29 14:50:46,csv_file,outputs/tables/ablation_shap_topk_frequency.csv,,shap_stability;ablation,75,15,dataset | stability_scope | model_family | feature | raw_feature | mean_rank | median_rank | rank_std | min_rank | max_rank | top5_count | top5_frequency | top10_count | top10_frequency | mean_abs_shap,,0,missing_winner_column,missing_direction_column,0,False,True,False,False,False,False,False,False,PASS,
2026-04-29 14:50:46,csv_file,outputs/tables/background_sensitivity_results.csv,,model_result;shap_stability;background_sensitivity,240,25,dataset | model | result_type | background | selection_policy | feature | raw_feature | mean_abs_shap | mean_shap | background_size | rank | is_top_10 | background_a | background_b | top_k | top_k_overlap_count | top_k_overlap_rate | top_k_jaccard | spearman_rho | spearman_p_value | kendall_tau | kendall_p_value | mean_abs_shap_drift | median_abs_shap_drift | mean_relative_shap_drift,,0,missing_winner_column,missing_direction_column,0,False,True,True,False,False,False,False,False,PASS,
2026-04-29 14:50:46,csv_file,outputs/tables/baseline_model_comparison.csv,,model_result;threshold,5,14,threshold | accuracy | precision | recall | f1 | specificity | roc_auc | pr_auc | brier_score | tn | fp | fn | tp | model,,0,missing_winner_column,missing_direction_column,0,False,False,True,False,True,False,False,False,PASS,
2026-04-29 14:50:46,csv_file,outputs/tables/baseline_results_heloc.csv,,model_result;calibration;threshold,12,28,dataset | model | split | train_rows | validation_rows | test_rows_reserved | test_set_used | resampling | preprocessing_fit_scope | model_path | description | threshold | accuracy | precision | recall | f1 | specificity | g_mean | roc_auc | pr_auc | brier_score | ece | calibration_slope | calibration_intercept | tn | fp | fn | tp,,0,missing_winner_column,missing_direction_column,0,False,True,True,False,True,False,False,False,PASS,
2026-04-29 14:50:46,csv_file,outputs/tables/baseline_results_taiwan.csv,,model_result;calibration;threshold,12,28,dataset | model | split | train_rows | validation_rows | test_rows_reserved | test_set_used | resampling | preprocessing_fit_scope | model_path | description | threshold | accuracy | precision | recall | f1 | specificity | g_mean | roc_auc | pr_auc | brier_score | ece | calibration_slope | calibration_intercept | tn | fp | fn | tp,,0,missing_winner_column,missing_direction_column,0,False,True,True,False,True,False,False,False,PASS,
2026-04-29 14:50:46,csv_file,outputs/tables/best_params.csv,,other_table,2,23,dataset | best_model_type | best_trial_number | best_cv_pr_auc | best_cv_roc_auc | best_cv_recall | best_cv_brier_score | best_cv_fn_weighted_cost | validation_pr_auc | validation_roc_auc | validation_recall | validation_brier_score | validation_fn_weighted_cost | best_params_json | model_path | n_trials | cv_n_splits | cv_n_repeats | cv_total_folds | objective_primary | objective_secondary | test_set_used | study_path,,0,,,0,False,True,False,False,False,False,False,False,PASS,
