model,reliability_score,ensemble_weight,pr_auc_norm,roc_auc_norm,recall_norm,calibration_norm,cost_norm,stability_norm,faithfulness_norm
M3_random_forest,0.8486566446150345,0.1546507332201498,0.830296541017894,0.9428471577009286,0.8882521489971349,0.4028666121794835,0.9833496571988247,1.0,1.0
M4_xgboost,0.7285216751934308,0.13275853308913094,1.0,1.0,0.07163323782234966,1.0,0.11851126346718899,1.0,1.0
M10_class_weighted_lightgbm,0.7002777301866687,0.12761163789654487,0.48345185925056666,0.4497387420407927,0.9054441260744988,0.3784945256922382,0.9569049951028403,1.0,1.0
M7_monotonic_xgboost,0.6869988104122188,0.12519181983169983,0.9222346512061114,0.9240689755107985,0.03724928366762186,0.9930106318081123,0.06268364348677768,1.0,1.0
M8_monotonic_lightgbm,0.5762663808881552,0.10501304491040864,0.6469348485726891,0.5134294262553587,0.06303724928366772,0.9636174172344852,0.10577864838393736,1.0,1.0
M5_lightgbm,0.5391311259466032,0.0982458859640089,0.5080521839310184,0.5339550107827516,0.03724928366762186,0.9554599147090644,0.056807051909892214,1.0,1.0
M9_smotenc_xgboost,0.5374249716575163,0.09793497340182225,0.19760345563292495,0.306519941696429,0.4097421203438396,0.7682973269383861,0.5014691478942214,1.0,1.0
M2_woe_scorecard_logistic,0.5268004637009136,0.09599886890535977,0.0,0.17866975800609097,1.0,0.0,1.0,1.0,1.0
M1_logistic_regression,0.34349168345515746,0.06259450278087485,0.023239596384354504,0.0,0.0,0.9256250945219107,0.0,1.0,1.0
