dataset,study_name,trial_number,state,objective,primary_metric_pr_auc,cv_n_splits,cv_n_repeats,cv_total_folds,metric_pr_auc,metric_roc_auc,metric_recall,metric_brier_score,metric_fn_weighted_cost,metric_fn,metric_fp,metric_tp,metric_tn,metric_pr_auc_std,param_model_type,param_lgbm_n_estimators,param_lgbm_learning_rate,param_lgbm_num_leaves,param_lgbm_max_depth,param_lgbm_min_child_samples,param_lgbm_subsample,param_lgbm_colsample_bytree,param_lgbm_reg_alpha,param_lgbm_reg_lambda,param_lgbm_class_weight,param_cat_iterations,param_cat_depth,param_cat_learning_rate,param_cat_l2_leaf_reg,param_cat_random_strength,param_cat_bagging_temperature,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_learning_rate,param_xgb_subsample,param_xgb_colsample_bytree,param_xgb_min_child_weight,param_xgb_reg_alpha,param_xgb_reg_lambda
taiwan,taiwan_pr_auc_optuna,0,COMPLETE,mean_cv_pr_auc,0.5630863371975113,5,3,15,0.5630863371975113,0.7871481990413643,0.3647220838613814,0.13297067363802847,2663.3333333333335,505.93333333333334,133.66666666666666,290.46666666666664,2669.9333333333334,0.014006250823875667,lightgbm,450.0,0.015257808482051183,27.0,3.0,123.0,0.8603902541101232,0.897825402228616,1.5103023509898926e-08,14.846065326863522,,,,,,,,,,,,,,,
taiwan,taiwan_pr_auc_optuna,1,COMPLETE,mean_cv_pr_auc,0.5669626258147125,5,3,15,0.5669626258147125,0.7878053234283446,0.3681552892021799,0.13264216189696315,2653.133333333333,503.2,137.13333333333333,293.2,2666.4666666666667,0.011345509880643591,catboost,,,,,,,,,,,300.0,5.0,0.022004527434741072,4.777437867054348,0.17258215396625,0.5842892970704363,,,,,,,,
taiwan,taiwan_pr_auc_optuna,2,COMPLETE,mean_cv_pr_auc,0.5645466804933112,5,3,15,0.5645466804933112,0.7875115582860275,0.3724237036289772,0.13287186172404122,2639.733333333333,499.8,140.73333333333332,296.6,2662.866666666667,0.011558174544116891,catboost,,,,,,,,,,,200.0,5.0,0.049743185797885274,0.5934530307791968,1.0769622478263126,0.34104824737458306,,,,,,,,
taiwan,taiwan_pr_auc_optuna,3,COMPLETE,mean_cv_pr_auc,0.5652394762957974,5,3,15,0.5652394762957974,0.7866891179137295,0.36355134097925856,0.13297602677713125,2667.8,506.8666666666667,133.46666666666667,289.53333333333336,2670.133333333333,0.011350586850209945,catboost,,,,,,,,,,,400.0,4.0,0.01302780710309028,6.239536949187832,0.5595074635794796,0.24407646968955765,,,,,,,,
taiwan,taiwan_pr_auc_optuna,4,COMPLETE,mean_cv_pr_auc,0.5664472156620292,5,3,15,0.5664472156620292,0.7876288255463054,0.3655593946310389,0.13282278327428115,2662.4,505.26666666666665,136.06666666666666,291.1333333333333,2667.5333333333333,0.011714200128996172,catboost,,,,,,,,,,,200.0,6.0,0.02325951592241212,3.4052591913244687,0.8488762161408708,0.3697089110510541,,,,,,,,
taiwan,taiwan_pr_auc_optuna,5,COMPLETE,mean_cv_pr_auc,0.5258884918141081,5,3,15,0.5258884918141081,0.7618638364227605,0.3788693572420866,0.1420382896135934,2655.133333333333,494.6666666666667,181.8,301.73333333333335,2621.8,0.014638312913601353,xgboost,,,,,,,,,,,,,,,,,550.0,4.0,0.12139707695554378,0.6809723757181718,0.7185940018467009,1.0,6.761433621262241e-06,0.0469583341176048
taiwan,taiwan_pr_auc_optuna,6,COMPLETE,mean_cv_pr_auc,0.5564425654784547,5,3,15,0.5564425654784547,0.7805239051549123,0.3734288338387883,0.1346968115832275,2642.133333333333,499.0,147.13333333333333,297.4,2656.4666666666667,0.009632055616872113,lightgbm,300.0,0.043477055106943,26.0,9.0,19.0,0.9954104278101811,0.9202856692538302,5.35330210833913e-07,0.0010562112558846718,,,,,,,,,,,,,,,
taiwan,taiwan_pr_auc_optuna,7,COMPLETE,mean_cv_pr_auc,0.5611865309892122,5,3,15,0.5611865309892122,0.7833104632065347,0.6202917557255117,0.17296810177889155,2045.0666666666666,302.4,533.0666666666667,494.0,2270.5333333333333,0.012149821821541253,lightgbm,300.0,0.01368587560046799,84.0,7.0,53.0,0.6722454226001083,0.7588438126004817,6.741553171725276e-06,1.3742256741813768,balanced,,,,,,,,,,,,,,
taiwan,taiwan_pr_auc_optuna,8,COMPLETE,mean_cv_pr_auc,0.5565461691660936,5,3,15,0.5565461691660936,0.7830298455681892,0.3749359511904987,0.1342572156789684,2638.0,497.8,149.0,298.6,2654.6,0.011387064351801443,catboost,,,,,,,,,,,400.0,5.0,0.08067291714160006,3.0907236344562734,0.7728716861851781,0.8550820367170993,,,,,,,,
taiwan,taiwan_pr_auc_optuna,9,COMPLETE,mean_cv_pr_auc,0.5490507777436371,5,3,15,0.5490507777436371,0.7762137403655206,0.37259057731148426,0.13648130448607987,2653.133333333333,499.6666666666667,154.8,296.73333333333335,2648.8,0.011937194659769624,lightgbm,500.0,0.02342671108635554,56.0,10.0,42.0,0.7936340230624704,0.914442898490067,9.779313723532946e-07,0.0021433490423168255,,,,,,,,,,,,,,,
