metric,mean,lower,upper
roc_auc,0.7858904510576138,0.7716702581229913,0.7984205248359005
pr_auc,0.5662134178767462,0.5530768744588422,0.5732715475179712
brier_score,0.13874412406826095,0.13602756715637823,0.1436739650652431
