t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.2,0.6,2047.5,2091,2115,594,0.435625,0.440625,0.12375,158,200,1933,394,510,1605,0.6632996632996633,0.3709981167608286,0.8512241054613936,0.559375,True,True,True
0.2,0.5,2052.0,2091,1916,793,0.435625,0.39916666666666667,0.16520833333333335,158,304,1933,489,415,1501,0.6166456494325346,0.4604519774011299,0.8512241054613936,0.6008333333333333,True,True,True
0.2,0.55,2053.0,2091,2032,677,0.435625,0.42333333333333334,0.14104166666666668,158,247,1933,430,474,1558,0.6351550960118169,0.4048964218455744,0.8512241054613936,0.5766666666666667,True,True,True
0.2,0.45,2071.0,2091,1744,965,0.435625,0.36333333333333334,0.20104166666666667,158,409,1933,556,348,1396,0.5761658031088083,0.5235404896421846,0.8512241054613936,0.6366666666666667,True,True,True
0.2,0.4,2117.0,2091,1586,1123,0.435625,0.3304166666666667,0.23395833333333332,158,534,1933,589,315,1271,0.5244879786286732,0.5546139359698682,0.8512241054613936,0.6695833333333333,True,True,True
0.2,0.35,2168.0,2091,1370,1339,0.435625,0.28541666666666665,0.2789583333333333,158,693,1933,646,258,1112,0.48244958924570575,0.608286252354049,0.8512241054613936,0.7145833333333333,True,True,True
0.15,0.35,2208.5,1360,2101,1339,0.2833333333333333,0.4377083333333333,0.2789583333333333,93,693,1267,646,323,1778,0.48244958924570575,0.608286252354049,0.9124293785310734,0.5622916666666666,True,True,True
0.2,0.3,2245.5,2091,1087,1622,0.435625,0.22645833333333334,0.33791666666666664,158,912,1933,710,194,893,0.43773119605425403,0.6685499058380414,0.8512241054613936,0.7735416666666667,True,True,True
0.25,0.6,2255.5,2735,1471,594,0.5697916666666667,0.30645833333333333,0.12375,264,200,2471,394,404,1067,0.6632996632996633,0.3709981167608286,0.751412429378531,0.6935416666666666,True,True,True
0.25,0.65,2258.5,2735,1559,506,0.5697916666666667,0.32479166666666665,0.10541666666666667,264,159,2471,347,451,1108,0.6857707509881423,0.3267419962335217,0.751412429378531,0.6752083333333333,True,True,True
0.25,0.5,2260.0,2735,1272,793,0.5697916666666667,0.265,0.16520833333333335,264,304,2471,489,309,963,0.6166456494325346,0.4604519774011299,0.751412429378531,0.735,True,True,True
0.25,0.55,2261.0,2735,1388,677,0.5697916666666667,0.2891666666666667,0.14104166666666668,264,247,2471,430,368,1020,0.6351550960118169,0.4048964218455744,0.751412429378531,0.7108333333333333,True,True,True
0.25,0.7,2263.5,2735,1647,418,0.5697916666666667,0.343125,0.08708333333333333,264,120,2471,298,500,1147,0.7129186602870813,0.2806026365348399,0.751412429378531,0.656875,True,True,True
0.25,0.75,2274.5,2735,1755,310,0.5697916666666667,0.365625,0.06458333333333334,264,77,2471,233,565,1190,0.7516129032258064,0.2193973634651601,0.751412429378531,0.634375,True,True,True
0.25,0.45,2279.0,2735,1100,965,0.5697916666666667,0.22916666666666666,0.20104166666666667,264,409,2471,556,242,858,0.5761658031088083,0.5235404896421846,0.751412429378531,0.7708333333333334,True,True,True
0.15,0.3,2286.0,1360,1818,1622,0.2833333333333333,0.37875,0.33791666666666664,93,912,1267,710,259,1559,0.43773119605425403,0.6685499058380414,0.9124293785310734,0.62125,True,True,True
0.25,0.8,2302.0,2735,1860,205,0.5697916666666667,0.3875,0.042708333333333334,264,52,2471,153,645,1215,0.7463414634146341,0.1440677966101695,0.751412429378531,0.6125,True,True,True
0.25,0.4,2325.0,2735,942,1123,0.5697916666666667,0.19625,0.23395833333333332,264,534,2471,589,209,733,0.5244879786286732,0.5546139359698682,0.751412429378531,0.80375,True,True,True
0.25,0.85,2332.0,2735,1996,69,0.5697916666666667,0.41583333333333333,0.014375,264,14,2471,55,743,1253,0.7971014492753623,0.051789077212806026,0.751412429378531,0.5841666666666666,True,True,True
0.25,0.9,2350.0,2735,2060,5,0.5697916666666667,0.42916666666666664,0.0010416666666666667,264,0,2471,5,793,1267,1.0,0.004708097928436911,0.751412429378531,0.5708333333333333,True,True,True
0.25,0.95,2352.5,2735,2065,0,0.5697916666666667,0.43020833333333336,0.0,264,0,2471,0,798,1267,0.0,0.0,0.751412429378531,0.5697916666666667,True,True,True
0.25,0.35,2376.0,2735,726,1339,0.5697916666666667,0.15125,0.2789583333333333,264,693,2471,646,152,574,0.48244958924570575,0.608286252354049,0.751412429378531,0.84875,True,True,True
0.2,0.25,2379.0,2091,644,2065,0.435625,0.13416666666666666,0.43020833333333336,158,1267,1933,798,106,538,0.3864406779661017,0.751412429378531,0.8512241054613936,0.8658333333333333,True,True,True
0.15,0.25,2419.5,1360,1375,2065,0.2833333333333333,0.2864583333333333,0.43020833333333336,93,1267,1267,798,171,1204,0.3864406779661017,0.751412429378531,0.9124293785310734,0.7135416666666666,True,True,True
0.25,0.3,2453.5,2735,443,1622,0.5697916666666667,0.09229166666666666,0.33791666666666664,264,912,2471,710,88,355,0.43773119605425403,0.6685499058380414,0.751412429378531,0.9077083333333333,True,True,True
0.1,0.25,2489.5,650,2085,2065,0.13541666666666666,0.434375,0.43020833333333336,36,1267,614,798,228,1857,0.3864406779661017,0.751412429378531,0.9661016949152542,0.565625,True,True,True
0.15,0.2,2635.5,1360,731,2709,0.2833333333333333,0.15229166666666666,0.564375,93,1805,1267,904,65,666,0.33370247323735697,0.8512241054613936,0.9124293785310734,0.8477083333333333,True,True,True
0.1,0.2,2705.5,650,1441,2709,0.13541666666666666,0.30020833333333335,0.564375,36,1805,614,904,122,1319,0.33370247323735697,0.8512241054613936,0.9661016949152542,0.6997916666666667,True,True,True
0.05,0.2,2835.5,80,2011,2709,0.016666666666666666,0.4189583333333333,0.564375,5,1805,75,904,153,1858,0.33370247323735697,0.8512241054613936,0.995291902071563,0.5810416666666667,True,True,True
