dataset,model,model_role,split,calibration_method,threshold,threshold_source,cost_scenario,fn_cost,fp_cost,expected_cost,test_set_used_for_training_or_selection,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,canonical_model,calibration_type,selection_split,weight_selection_split,valid_for_model_selection,expected_cost_direction,winner_expected_cost,roc_auc_direction,winner_roc_auc,pr_auc_direction,winner_pr_auc,recall_direction,winner_recall,f1_direction,winner_f1,brier_score_direction,winner_brier_score,ece_direction,winner_ece,winner
heloc,woe_scorecard_logistic_regression,base_model,validation,sigmoid,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,871.0,False,0.5871327254305978,0.5584343991179713,0.9863680623174296,0.7131291798662442,0.1541710665258711,0.389960787970451,0.8034319415897484,0.7951238042055726,0.1803741038357108,0.0205088647245446,1.030654839723533,0.0133446035564166,146,801,14,1013,Scorecard,sigmoid,validation,not_applicable_base_model,True,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,True,higher_is_better,False,lower_is_better,False,lower_is_better,False,True
heloc,SCRE-Credit,scre_credit,validation,weighted_sum_plus_isotonic,0.17,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,884.0,False,0.6595744680851063,0.6114249843063403,0.9483933787731256,0.7435114503816794,0.3463569165786694,0.5731340213034696,0.8114360009418355,0.7980842433390413,0.1754359558208565,6.236919682726746e-17,0.999640755622034,2.0472740708327305e-05,328,619,53,974,SCRE-Static,weighted_sum_plus_isotonic,validation,validation_static_metric_weighting,True,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,True,lower_is_better,True,lower_is_better,True,True
heloc,SCRE-Pareto,scre_pareto,validation,,0.12,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,866.0,False,0.5957446808510638,0.5639307649357901,0.9834469328140214,0.716820440028389,0.17529039070749736,0.4151972989953809,0.811466847082315,0.8010391232347522,0.1761038961857976,5.4460123228589e-17,1.0000006812352054,-9.292858437564378e-08,166,781,17,1010,SCRE-Pareto,weighted_sum_plus_isotonic,validation,validation,True,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,lower_is_better,False,lower_is_better,True,True
heloc,SCRE-Optimized,scre_optimized,validation,,0.11,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,855.0,False,0.6033434650455927,0.5687711386696731,0.9824732229795521,0.720456979650125,0.1921858500527983,0.4345313009582137,0.8125140735515939,0.8001376782180745,0.1754542918856796,2.009959237210817e-17,1.000000585377339,-6.759046789880978e-08,182,765,18,1009,SCRE-Optimized,weighted_sum_plus_isotonic,validation,validation,True,lower_is_better,True,higher_is_better,True,higher_is_better,False,higher_is_better,False,higher_is_better,False,lower_is_better,False,lower_is_better,True,True
taiwan,catboost,base_model,test,isotonic,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3247.0,False,0.6275,0.3514397905759162,0.8093443858327054,0.4900752908966461,0.5758613310507169,0.6826932951948823,0.7853434511554537,0.5639167825429635,0.133690712785661,0.0077638887959482,0.9754392982027132,-0.0274951865674517,2691,1982,253,1074,CatBoost,isotonic,validation,not_applicable_base_model,False,lower_is_better,True,higher_is_better,True,higher_is_better,True,higher_is_better,False,higher_is_better,False,lower_is_better,True,lower_is_better,True,True
taiwan,xgboost,base_model,test,isotonic,0.14,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3283.0,False,0.5975,0.3355501813784764,0.8364732479276563,0.4789644012944983,0.529638347956345,0.6656037177946665,0.7826485134584009,0.5624784540120215,0.1343163230559995,0.0095047983326949,0.9886483587938176,-0.0091005828944853,2475,2198,217,1110,XGBoost,isotonic,validation,not_applicable_base_model,False,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,True,higher_is_better,False,lower_is_better,False,lower_is_better,False,True
taiwan,lightgbm,base_model,test,isotonic,0.17,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3332.0,False,0.6693333333333333,0.3754266211604095,0.746043707611153,0.4994954591321897,0.647549753905414,0.6950542563471465,0.7779753690935001,0.5552375587431584,0.1356135837556778,0.0084868821264251,1.059547573141843,0.0661043432066207,3026,1647,337,990,LightGBM,isotonic,validation,not_applicable_base_model,False,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,True,lower_is_better,False,lower_is_better,False,True
taiwan,woe_scorecard_logistic_regression,base_model,test,isotonic,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3395.0,False,0.6628333333333334,0.3693693693693693,0.7415222305953278,0.4931094963668254,0.6404879092659962,0.6891560223550683,0.772310218670291,0.5428529752936853,0.1369802354742906,0.013838796992413,0.9538816900915116,-0.0543621031523815,2993,1680,343,984,Scorecard,isotonic,validation,not_applicable_base_model,False,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,lower_is_better,False,lower_is_better,False,False
taiwan,SCRE-Credit,scre_credit,test,weighted_sum_plus_isotonic,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3370.0,False,0.6543333333333333,0.3643298220123501,0.7558402411454408,0.4916666666666666,0.625508238818746,0.6875931195607042,0.78157176397432,0.5444404951784547,0.1344745846625019,0.016134514337013,0.9172643581924976,-0.1057804030409447,2923,1750,324,1003,SCRE-Static,weighted_sum_plus_isotonic,validation,validation_static_metric_weighting,False,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,lower_is_better,False,lower_is_better,False,False
taiwan,SCRE-Pareto,scre_pareto,test,,0.13,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3274.0,False,0.6143333333333333,0.3438785194558684,0.8191409193669932,0.48440285204991085,0.5561737641771881,0.6749701389809056,0.7830772297237042,0.5464402303169529,0.13441714263864854,0.01723276126650501,0.9076576296615826,-0.11605422552196548,2599,2074,240,1087,SCRE-Pareto,weighted_sum_plus_isotonic,validation,validation,False,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,lower_is_better,False,lower_is_better,False,False
taiwan,SCRE-Optimized,scre_optimized,test,,0.12,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3275.0,False,0.6308333333333334,0.35258964143426297,0.8003014318010551,0.48951371283705924,0.5827091803980312,0.6828931039307423,0.7836299568251999,0.5462240098891603,0.13442624906194636,0.01357839606669314,0.9103471215744876,-0.11151612641977432,2723,1950,265,1062,SCRE-Optimized,weighted_sum_plus_isotonic,validation,validation,False,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,lower_is_better,False,lower_is_better,False,False
taiwan,catboost,base_model,validation,isotonic,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3173.0,False,0.6331666666666667,0.356344510190664,0.8168801808590807,0.4962233920805676,0.5809972180612026,0.6889158965856848,0.7862745000016933,0.5600762638181987,0.1334909014662533,0.0058542408872619,0.9921044624882048,0.0121509492254093,2715,1958,243,1084,CatBoost,isotonic,validation,not_applicable_base_model,True,lower_is_better,False,higher_is_better,False,higher_is_better,True,higher_is_better,False,higher_is_better,False,lower_is_better,False,lower_is_better,False,True
taiwan,xgboost,base_model,validation,isotonic,0.14,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3233.0,False,0.6005,0.338173018753781,0.8425018839487566,0.4826246492553421,0.5317783008773806,0.6693461140040046,0.7868731869059393,0.5597109861331215,0.1333922712879752,0.0078343090036521,1.0116673796418547,0.0330270993469724,2485,2188,209,1118,XGBoost,isotonic,validation,not_applicable_base_model,True,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,True,higher_is_better,False,lower_is_better,False,lower_is_better,False,True
taiwan,lightgbm,base_model,validation,isotonic,0.17,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3205.0,False,0.6805,0.3865384615384615,0.7573474001507159,0.5118411000763942,0.6586775090947999,0.7062915113823018,0.7840167448493977,0.5562193442422032,0.134470607805421,0.0140478133051794,1.066820520696398,0.0956019773835417,3078,1595,322,1005,LightGBM,isotonic,validation,not_applicable_base_model,True,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,True,lower_is_better,False,lower_is_better,False,True
taiwan,woe_scorecard_logistic_regression,base_model,validation,isotonic,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3316.0,False,0.6693333333333333,0.3758034026465028,0.7490580256217031,0.500503524672709,0.6466937727369998,0.6959965234023999,0.7734331698508209,0.5319763334520872,0.1361479847693398,0.0129179635051445,0.9734166707387212,-0.0072346775069435,3022,1651,333,994,Scorecard,isotonic,validation,not_applicable_base_model,True,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,lower_is_better,False,lower_is_better,False,False
taiwan,SCRE-Credit,scre_credit,validation,weighted_sum_plus_isotonic,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3155.0,False,0.6675,0.3781911013858497,0.7814619442351168,0.5097075448513149,0.6351380269634068,0.7045113181549889,0.7908969273211031,0.5549628435566555,0.1316487089023069,2.2694808995045908e-17,0.9998115295295052,-0.000295431871573,2968,1705,290,1037,SCRE-Static,weighted_sum_plus_isotonic,validation,validation_static_metric_weighting,True,lower_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,lower_is_better,True,lower_is_better,True,True
taiwan,SCRE-Pareto,scre_pareto,validation,,0.13,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3154.0,False,0.6223333333333333,0.35090504922197524,0.8327053504144687,0.4937444146559428,0.5625936229402954,0.684452131219886,0.7917500863963661,0.5558911071248206,0.13181267489635232,6.448545401364451e-18,0.9998090981896831,-0.00027671675826020786,2629,2044,222,1105,SCRE-Pareto,weighted_sum_plus_isotonic,validation,validation,True,lower_is_better,False,higher_is_better,True,higher_is_better,False,higher_is_better,False,higher_is_better,False,lower_is_better,False,lower_is_better,True,True
taiwan,SCRE-Optimized,scre_optimized,validation,,0.12,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3112.0,False,0.6426666666666667,0.3632407097422163,0.8176337603617182,0.5030134445989801,0.5929809544190028,0.6963054269388469,0.7913193543502405,0.5532305952475053,0.13172358838939358,1.656082678399192e-17,0.9998256401574539,-0.0002648232588182307,2771,1902,242,1085,SCRE-Optimized,weighted_sum_plus_isotonic,validation,validation,True,lower_is_better,True,higher_is_better,False,higher_is_better,False,higher_is_better,False,higher_is_better,False,lower_is_better,False,lower_is_better,True,True
