dataset,model,split,calibration_type,threshold,threshold_source,cost_scenario,fn_cost,fp_cost,expected_cost,weight_learning_split,test_set_used_for_weight_learning,test_set_used_for_threshold_selection,valid_for_model_selection,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp
heloc,SCRE-Pareto,validation,weighted_sum_of_calibrated_pareto_front_probabilities,0.19,validation_cost_min_FN5_FP1,B_FN5_FP1,5.0,1.0,888.0,validation,False,False,True,0.6129685916919959,0.5760555234239445,0.9698149951314509,0.7227866473149492,0.22597676874340022,0.4681406400631136,0.8073195834948471,0.8038380684518663,0.17861619058012362,0.01966255129421319,1.1149495436876902,0.01668111480258869,214,733,31,996
heloc,SCRE-Pareto,test,weighted_sum_of_calibrated_pareto_front_probabilities,0.19,validation_cost_min_FN5_FP1,B_FN5_FP1,5.0,1.0,904.0,validation,False,False,False,0.6070886075949367,0.5724137931034483,0.9688715953307393,0.7196531791907514,0.21436114044350582,0.4557284499769749,0.8055450552430572,0.8104075742041918,0.1800724974745671,0.027694455803018363,1.1383085969450186,-0.014332503835626105,203,744,32,996
