threshold,accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,operating_point,expected_cost_fn5_fp1,g_mean,ks_statistic
0.5,0.8188333333333333,0.6652892561983471,0.36397889977392617,0.4705309303458354,0.9479991440188316,0.7829640234727195,0.5625493828532917,0.13404987515046196,4430,243,844,483,default_050,4463,0.587411002132747,0.43752796895891055
0.15,0.6416666666666667,0.35834767641996557,0.7844762622456669,0.4919659735349716,0.6011127755189386,0.7829640234727195,0.5625493828532917,0.13404987515046196,2809,1864,286,1041,cost_sensitive_015,3294,0.6867013203185324,0.43752796895891055
