fn_cost,fp_cost,threshold,expected_cost,precision,recall,f1,fp,fn
1.0,1.0,0.55,523.0,0.7584442169907881,0.7208171206225681,0.7391521197007481,236,287
1.0,1.0,0.5,527.0,0.735653809971778,0.7607003891050583,0.7479674796747967,281,246
1.0,1.0,0.4,536.0,0.6983870967741935,0.8424124513618677,0.763668430335097,374,162
1.0,1.0,0.45,538.0,0.7134146341463414,0.796692607003891,0.7527573529411765,329,209
1.0,1.0,0.6,538.0,0.7777777777777778,0.6673151750972762,0.7183246073298429,196,342
1.0,1.0,0.65,562.0,0.8057742782152231,0.5972762645914397,0.6860335195530727,148,414
1.0,1.0,0.35,565.0,0.6731488406881077,0.8754863813229572,0.7610993657505285,437,128
1.0,1.0,0.3,596.0,0.6508379888268156,0.9066147859922179,0.7577235772357723,500,96
1.0,1.0,0.7,606.0,0.8317610062893082,0.5145914396887159,0.6358173076923077,107,499
1.0,1.0,0.25,647.0,0.6254114549045424,0.9241245136186771,0.745975657636435,569,78
1.0,1.0,0.75,665.0,0.8565815324165029,0.42412451361867703,0.5673389720234222,73,592
1.0,1.0,0.2,703.0,0.599024984765387,0.9562256809338522,0.7366054702135632,658,45
1.0,1.0,0.8,742.0,0.8803191489361702,0.3219844357976654,0.47150997150997154,45,697
1.0,1.0,0.15,811.0,0.5605806811836963,0.9766536964980544,0.7123093295494857,787,24
1.0,1.0,0.85,836.0,0.9,0.21011673151750973,0.34069400630914826,24,812
1.0,1.0,0.1,902.0,0.5328467153284672,0.9941634241245136,0.6938221317040054,896,6
1.0,1.0,0.9,942.0,0.9479166666666666,0.08852140077821012,0.1619217081850534,5,937
1.0,1.0,0.05,946.0,0.5207700101317123,1.0,0.6848767488341105,946,0
1.0,1.0,0.95,1021.0,1.0,0.006809338521400778,0.01352657004830918,0,1021
2.0,1.0,0.3,692.0,0.6508379888268156,0.9066147859922179,0.7577235772357723,500,96
2.0,1.0,0.35,693.0,0.6731488406881077,0.8754863813229572,0.7610993657505285,437,128
2.0,1.0,0.4,698.0,0.6983870967741935,0.8424124513618677,0.763668430335097,374,162
2.0,1.0,0.25,725.0,0.6254114549045424,0.9241245136186771,0.745975657636435,569,78
2.0,1.0,0.45,747.0,0.7134146341463414,0.796692607003891,0.7527573529411765,329,209
2.0,1.0,0.2,748.0,0.599024984765387,0.9562256809338522,0.7366054702135632,658,45
2.0,1.0,0.5,773.0,0.735653809971778,0.7607003891050583,0.7479674796747967,281,246
2.0,1.0,0.55,810.0,0.7584442169907881,0.7208171206225681,0.7391521197007481,236,287
2.0,1.0,0.15,835.0,0.5605806811836963,0.9766536964980544,0.7123093295494857,787,24
2.0,1.0,0.6,880.0,0.7777777777777778,0.6673151750972762,0.7183246073298429,196,342
2.0,1.0,0.1,908.0,0.5328467153284672,0.9941634241245136,0.6938221317040054,896,6
2.0,1.0,0.05,946.0,0.5207700101317123,1.0,0.6848767488341105,946,0
2.0,1.0,0.65,976.0,0.8057742782152231,0.5972762645914397,0.6860335195530727,148,414
2.0,1.0,0.7,1105.0,0.8317610062893082,0.5145914396887159,0.6358173076923077,107,499
2.0,1.0,0.75,1257.0,0.8565815324165029,0.42412451361867703,0.5673389720234222,73,592
2.0,1.0,0.8,1439.0,0.8803191489361702,0.3219844357976654,0.47150997150997154,45,697
2.0,1.0,0.85,1648.0,0.9,0.21011673151750973,0.34069400630914826,24,812
2.0,1.0,0.9,1879.0,0.9479166666666666,0.08852140077821012,0.1619217081850534,5,937
2.0,1.0,0.95,2042.0,1.0,0.006809338521400778,0.01352657004830918,0,1021
3.0,1.0,0.3,788.0,0.6508379888268156,0.9066147859922179,0.7577235772357723,500,96
3.0,1.0,0.2,793.0,0.599024984765387,0.9562256809338522,0.7366054702135632,658,45
3.0,1.0,0.25,803.0,0.6254114549045424,0.9241245136186771,0.745975657636435,569,78
3.0,1.0,0.35,821.0,0.6731488406881077,0.8754863813229572,0.7610993657505285,437,128
3.0,1.0,0.15,859.0,0.5605806811836963,0.9766536964980544,0.7123093295494857,787,24
3.0,1.0,0.4,860.0,0.6983870967741935,0.8424124513618677,0.763668430335097,374,162
3.0,1.0,0.1,914.0,0.5328467153284672,0.9941634241245136,0.6938221317040054,896,6
3.0,1.0,0.05,946.0,0.5207700101317123,1.0,0.6848767488341105,946,0
3.0,1.0,0.45,956.0,0.7134146341463414,0.796692607003891,0.7527573529411765,329,209
3.0,1.0,0.5,1019.0,0.735653809971778,0.7607003891050583,0.7479674796747967,281,246
3.0,1.0,0.55,1097.0,0.7584442169907881,0.7208171206225681,0.7391521197007481,236,287
3.0,1.0,0.6,1222.0,0.7777777777777778,0.6673151750972762,0.7183246073298429,196,342
3.0,1.0,0.65,1390.0,0.8057742782152231,0.5972762645914397,0.6860335195530727,148,414
3.0,1.0,0.7,1604.0,0.8317610062893082,0.5145914396887159,0.6358173076923077,107,499
3.0,1.0,0.75,1849.0,0.8565815324165029,0.42412451361867703,0.5673389720234222,73,592
3.0,1.0,0.8,2136.0,0.8803191489361702,0.3219844357976654,0.47150997150997154,45,697
3.0,1.0,0.85,2460.0,0.9,0.21011673151750973,0.34069400630914826,24,812
3.0,1.0,0.9,2816.0,0.9479166666666666,0.08852140077821012,0.1619217081850534,5,937
3.0,1.0,0.95,3063.0,1.0,0.006809338521400778,0.01352657004830918,0,1021
5.0,1.0,0.2,883.0,0.599024984765387,0.9562256809338522,0.7366054702135632,658,45
5.0,1.0,0.15,907.0,0.5605806811836963,0.9766536964980544,0.7123093295494857,787,24
5.0,1.0,0.1,926.0,0.5328467153284672,0.9941634241245136,0.6938221317040054,896,6
5.0,1.0,0.05,946.0,0.5207700101317123,1.0,0.6848767488341105,946,0
5.0,1.0,0.25,959.0,0.6254114549045424,0.9241245136186771,0.745975657636435,569,78
5.0,1.0,0.3,980.0,0.6508379888268156,0.9066147859922179,0.7577235772357723,500,96
