comparison_row,dataset,model,n_seeds,direct_model_specific,all_features_kendalls_w,top5_kendalls_w,top10_kendalls_w,mid_importance_kendalls_w,source,source_url,doi_url,comparison_note,status,available_lightgbm_all_features_w,available_lightgbm_top5_w,available_lightgbm_top10_w,available_lightgbm_mid_w,available_taiwan_lightgbm_top5_w,available_heloc_lightgbm_top5_w
Lin & Wang 2025,UCI Taiwan credit card default,XGBoost,100.0,True,0.9775,0.93,,0.34,"Lin and Wang 2025, SHAP Stability in Credit Risk Management",https://arxiv.org/abs/2508.01851,https://doi.org/10.3390/risks13120238,Reference uses 100 XGBoost models on UCI Taiwan with mostly raw/one-hot features. The top-5 W=0.93 and mid-importance W=0.34 values are used as the literature benchmark.,literature_reference,,,,,,
Our Taiwan final model,taiwan,Best CatBoost,,False,,,,,Current project outputs,,,Final operational model is not the LightGBM stability model. Direct CatBoost/operational-model SHAP stability is not available in current artifacts.,direct_model_specific_w_not_available,0.9772513845205058,0.8928,0.9491103030303031,0.10578285714285714,,
Our HELOC final model,heloc,Best Scorecard,,False,,,,,Current project outputs,,,Final HELOC model is not the LightGBM stability model. Direct Scorecard SHAP seed-rank stability is not available.,direct_model_specific_w_not_available,0.9949714285714286,1.0,0.9949714285714286,,,
Our SCRE-Pareto,taiwan_and_heloc,SCRE-Pareto,,False,,,,,Current project outputs,,,SCRE-Pareto ensemble-specific SHAP stability was not computed. Current LightGBM W can only be cited as supporting context.,ensemble_specific_w_not_available,,,,,0.8928,1.0
Our SCRE-Optimized,taiwan_and_heloc,SCRE-Optimized,,False,,,,,Current project outputs,,,SCRE-Optimized ensemble-specific SHAP stability was not computed. Current LightGBM W can only be cited as supporting context.,ensemble_specific_w_not_available,,,,,0.8928,1.0
