dataset,model,source_phase,model_family,selected_calibration_method,model_path,pr_auc,roc_auc,recall,calibration_error,brier_score,ece,expected_cost,base_selected_threshold,cost_scenario,stability_score,faithfulness_score,stability_metric_source,faithfulness_metric_source,pr_auc_norm,roc_auc_norm,recall_norm,stability_score_norm,faithfulness_score_norm,calibration_error_norm,expected_cost_norm,reliability_score,ensemble_weight
taiwan,logistic_regression,phase6_baseline,baseline,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\logistic_regression_isotonic.joblib,0.5339671573499083,0.7694738537907403,0.3564431047475508,0.1363942515469318,0.1363942515469318,0.0124538670908096,3344.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9229614425565629,0.9369952200544078,0.9792960662525879,1.0,1.0,0.9227482469408399,0.886,0.9433482184984878,0.07384489107567718
taiwan,class_weighted_logistic_regression,phase6_baseline,baseline,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\class_weighted_logistic_regression_isotonic.joblib,0.5321636114534417,0.7697137317086031,0.3519216277317257,0.1365232021861493,0.1365232021861493,0.0080289109180144,3380.0,0.16,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.91763982903005,0.9378293064018299,0.9668737060041409,1.0,1.0,0.9194298830349048,0.862,0.9364479001221413,0.07330473713368972
taiwan,decision_tree,phase6_baseline,baseline,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\decision_tree_isotonic.joblib,0.54357279049524,0.7724535003711455,0.3006782215523738,0.1358702654354926,0.1358702654354926,0.0083956886341033,3340.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9513042018825457,0.9473558341326076,0.8260869565217392,1.0,1.0,0.9362322948677239,0.8886666666666667,0.9300121032048196,0.07280094573087005
taiwan,majority_baseline,phase6_baseline,baseline,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\majority_baseline_isotonic.joblib,0.2211666666666666,0.5,0.0,0.1722519753086419,0.1722519753086419,5.555555555555869e-05,4673.0,0.01,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.01565591361230637
heloc,woe_scorecard_logistic_regression,phase6_baseline,baseline,sigmoid,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\woe_scorecard_logistic_regression_sigmoid.joblib,0.7951238042055726,0.8034319415897484,0.7546251217137293,0.1803741038357108,0.1803741038357108,0.0205088647245446,871.0,0.16,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9779840146044531,0.9946695203748019,0.07352941176470583,1.0,1.0,0.9879108805863157,1.0,0.8540132748297641,0.08075475970521281
heloc,catboost,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\catboost_isotonic.joblib,0.8013113512560703,0.805058047295359,0.7643622200584226,0.1795271125534199,0.1795271125534199,0.0161874566693795,883.0,0.14,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,1.0,1.0,0.11029411764705874,1.0,1.0,1.0,0.8421052631578947,0.8428599071207429,0.07970010686105716
heloc,optuna_best_xgboost,phase8_hyperparameter_optimization,tuned_boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\optuna_best_xgboost_isotonic.joblib,0.7943436963620043,0.8043100283887312,0.7663096397273612,0.1797568511700538,0.1797568511700538,0.0223174457265613,884.0,0.22,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9752083035268994,0.9975479456671944,0.11764705882352924,1.0,1.0,0.9967209372416328,0.8289473684210527,0.8361711572283912,0.07906762443226494
heloc,random_forest,phase6_baseline,baseline,sigmoid,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\random_forest_sigmoid.joblib,0.7930550905413709,0.799643007334184,0.7663096397273612,0.1818588611030485,0.1818588611030485,0.0224248687420187,894.0,0.2,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9706232996964397,0.9822491489433416,0.11764705882352924,1.0,1.0,0.9667189175986532,0.6973684210526316,0.8087221919020113,0.07647207391283024
heloc,logistic_regression,phase6_baseline,baseline,sigmoid,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\logistic_regression_sigmoid.joblib,0.7993308464156561,0.8024808522582974,0.7497565725413826,0.1812471276456165,0.1812471276456165,0.0211638375778098,895.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9929531419661912,0.991551788061613,0.05514705882352916,1.0,1.0,0.975450198511296,0.6842105263157895,0.8045445641500724,0.07607704103080284
heloc,class_weighted_logistic_regression,phase6_baseline,baseline,sigmoid,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\class_weighted_logistic_regression_sigmoid.joblib,0.7993772810257544,0.8024859932817106,0.7497565725413826,0.181243417585032,0.181243417585032,0.0218378694997263,898.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.993118361509482,0.9915686406687112,0.05514705882352916,1.0,1.0,0.9755031522622681,0.6447368421052632,0.7986670263808621,0.07552126612167687
heloc,smotenc_xgboost,phase7_model_pool,boosting,sigmoid,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\smotenc_xgboost_sigmoid.joblib,0.7961029501654121,0.8015215372893851,0.7526777020447907,0.1811835363748249,0.1811835363748249,0.0294662050170618,901.0,0.18,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9814679255914736,0.988407091577067,0.06617647058823532,1.0,1.0,0.9763578376834354,0.6052631578947368,0.7917242687798158,0.07486476494272763
heloc,xgboost,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\xgboost_isotonic.joblib,0.7972930944304489,0.8006974312362413,0.7555988315481986,0.1813942508473573,0.1813942508473573,0.0214530927515981,904.0,0.19,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9857025921796714,0.9857056186592063,0.07720588235294108,1.0,1.0,0.9733503068222608,0.5657894736842105,0.787448210663727,0.07446042457024443
heloc,monotonic_xgboost,phase7_model_pool,monotonic,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\monotonic_xgboost_isotonic.joblib,0.7967358659451867,0.8010156605855214,0.7458617332035054,0.1813636643728235,0.1813636643728235,0.0184011459784637,904.0,0.14,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9837199108209045,0.9867487950385924,0.04044117647058816,1.0,1.0,0.9737868680370144,0.5657894736842105,0.7817589291487416,0.0739224510103726
heloc,monotonic_lightgbm,phase7_model_pool,monotonic,sigmoid,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\monotonic_lightgbm_sigmoid.joblib,0.7905462931197653,0.7943405557857592,0.7526777020447907,0.1844923500896616,0.1844923500896616,0.0184576179802473,917.0,0.18,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9616967174912973,0.9648673699821364,0.06617647058823532,1.0,1.0,0.9291310893654284,0.39473684210526316,0.7455761093044189,0.07050103473020092
heloc,decision_tree,phase6_baseline,baseline,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\decision_tree_isotonic.joblib,0.7747784104429544,0.7877574753050941,0.7439143135345667,0.1877502183867159,0.1877502183867159,0.0311407652975513,907.0,0.16,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9055928249635721,0.94328760659274,0.03308823529411766,1.0,1.0,0.8826314857678321,0.5263157894736843,0.7389170325619705,0.06987135816890604
heloc,lightgbm,phase7_model_pool,boosting,sigmoid,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\lightgbm_sigmoid.joblib,0.7835529028407264,0.7923417258826879,0.7468354430379747,0.1852543797777011,0.1852543797777011,0.0214834425026594,920.0,0.19,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.936813451636164,0.9583150763423097,0.044117647058823414,1.0,1.0,0.9182546280746283,0.35526315789473684,0.7287552667328075,0.06891047034444187
heloc,class_weighted_lightgbm,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\class_weighted_lightgbm_isotonic.joblib,0.7818713267833157,0.7901583332390812,0.7351509250243428,0.1860908189143648,0.1860908189143648,0.0196662865930457,926.0,0.21,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9308302156915619,0.9511577741076545,0.0,1.0,1.0,0.9063161195954657,0.2763157894736842,0.706234495614833,0.0667809256246942
heloc,majority_baseline,phase6_baseline,baseline,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\majority_baseline_isotonic.joblib,0.5202634245187436,0.5,1.0,0.2495893936267731,0.2495893936267731,0.0,947.0,0.01,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.35,0.03309569854456719
