fn_cost,fp_cost,threshold,expected_cost,precision,recall,f1,fp,fn
1.0,1.0,0.65,1085.0,0.6884735202492211,0.33308214016578747,0.4489588623666836,200,885
1.0,1.0,0.6,1092.0,0.6598639455782312,0.3654860587792012,0.47041707080504364,250,842
1.0,1.0,0.7,1094.0,0.7169459962756052,0.2901281085154484,0.4130901287553648,152,942
1.0,1.0,0.55,1098.0,0.6329849012775842,0.4107008289374529,0.49817184643510054,316,782
1.0,1.0,0.5,1112.0,0.6069651741293532,0.45968349660889224,0.5231560891938251,395,717
1.0,1.0,0.75,1132.0,0.743142144638404,0.22456669178598343,0.3449074074074074,103,1029
1.0,1.0,0.45,1163.0,0.5673234811165846,0.520723436322532,0.5430255402750491,527,636
1.0,1.0,0.8,1188.0,0.7813765182186235,0.14544084400904295,0.24523506988564167,54,1134
1.0,1.0,0.4,1237.0,0.5316901408450704,0.5689525244913338,0.549690571532581,665,572
1.0,1.0,0.85,1264.0,0.8888888888888888,0.05425772418990203,0.10227272727272728,9,1255
1.0,1.0,0.9,1313.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
1.0,1.0,0.95,1327.0,0.0,0.0,0.0,0,1327
1.0,1.0,0.35,1364.0,0.4888888888888889,0.613413715146948,0.5441176470588235,851,513
1.0,1.0,0.3,1599.0,0.4328726554787759,0.6608892238131123,0.5231136295854458,1149,450
1.0,1.0,0.25,1962.0,0.37793156478277584,0.7407686510926903,0.5005091649694501,1618,344
1.0,1.0,0.2,2501.0,0.3281615925058548,0.8447626224566692,0.47269660552393,2295,206
1.0,1.0,0.15,3211.0,0.2823475046210721,0.9208741522230596,0.432183908045977,3106,105
1.0,1.0,0.1,4003.0,0.2454337899543379,0.9721175584024114,0.391918578155856,3966,37
1.0,1.0,0.05,4597.0,0.22381756756756757,0.9984928409947249,0.3656685525044846,4595,2
2.0,1.0,0.45,1799.0,0.5673234811165846,0.520723436322532,0.5430255402750491,527,636
2.0,1.0,0.4,1809.0,0.5316901408450704,0.5689525244913338,0.549690571532581,665,572
2.0,1.0,0.5,1829.0,0.6069651741293532,0.45968349660889224,0.5231560891938251,395,717
2.0,1.0,0.35,1877.0,0.4888888888888889,0.613413715146948,0.5441176470588235,851,513
2.0,1.0,0.55,1880.0,0.6329849012775842,0.4107008289374529,0.49817184643510054,316,782
2.0,1.0,0.6,1934.0,0.6598639455782312,0.3654860587792012,0.47041707080504364,250,842
2.0,1.0,0.65,1970.0,0.6884735202492211,0.33308214016578747,0.4489588623666836,200,885
2.0,1.0,0.7,2036.0,0.7169459962756052,0.2901281085154484,0.4130901287553648,152,942
2.0,1.0,0.3,2049.0,0.4328726554787759,0.6608892238131123,0.5231136295854458,1149,450
2.0,1.0,0.75,2161.0,0.743142144638404,0.22456669178598343,0.3449074074074074,103,1029
2.0,1.0,0.25,2306.0,0.37793156478277584,0.7407686510926903,0.5005091649694501,1618,344
2.0,1.0,0.8,2322.0,0.7813765182186235,0.14544084400904295,0.24523506988564167,54,1134
2.0,1.0,0.85,2519.0,0.8888888888888888,0.05425772418990203,0.10227272727272728,9,1255
