dataset,model_role,model,policy_type,calibration_type,model_train_rows,calibration_val_rows,policy_val_rows,test_rows,canonical_test_unchanged,test_set_used_for_calibration_or_policy_selection,fn_cost,fp_cost,review_cost,status,separation_applied,reason,selected_threshold,selected_t_low_policy_val,selected_t_high_policy_val,calibration_val_roc_auc,calibration_val_pr_auc,calibration_val_brier,calibration_val_ece,policy_val_roc_auc,policy_val_pr_auc,policy_val_brier,policy_val_ece,policy_val_manual_review_rate,policy_val_high_risk_precision,policy_val_high_risk_recall,policy_val_low_risk_default_rate,policy_val_review_adjusted_cost,test_roc_auc,test_pr_auc,test_brier,test_ece,test_manual_review_rate,test_high_risk_precision,test_high_risk_recall,test_low_risk_default_rate,test_review_adjusted_cost,test_fp_high_risk,test_fn_low_risk,test_manual_review_count
taiwan,final_selected_model,Best CatBoost,manual_review_band,isotonic,16800,3600,3600,6000,True,False,5.0,1.0,0.5,separated_policy_evaluated,True,"Model fit on model_train, calibrator fit on calibration_val, manual-review band selected on policy_val, and test evaluated once.",,0.11,0.21,0.8048651494119716,0.5781492464271186,0.12715751572775882,2.6953747875621854e-17,0.7834415479680857,0.5467667496791948,0.13352868096098458,0.020543505721050532,0.29444444444444445,0.45340501792114696,0.635678391959799,0.0800561797752809,1710.0,0.7809226825495144,0.5320942214137483,0.13604107759797485,0.01849761289014308,0.30183333333333334,0.45925526173772263,0.6412961567445365,0.07748287671232877,2812.5,1002.0,181.0,1811.0
taiwan,scorecard_benchmark,Best Scorecard,manual_review_band,isotonic,16800,3600,3600,6000,True,False,5.0,1.0,0.5,separated_policy_evaluated,True,"Model fit on model_train, calibrator fit on calibration_val, manual-review band selected on policy_val, and test evaluated once.",,0.13,0.24,0.7941990366120544,0.557518381896482,0.1298316322392055,3.4316685295878973e-17,0.7756578900207171,0.5284309833341918,0.13515401540285527,0.009707105006949575,0.27805555555555556,0.505720823798627,0.5552763819095478,0.09391304347826086,1742.5,0.7685029731154506,0.5164567906284141,0.13812396151552753,0.016211709152918717,0.2853333333333333,0.514726507713885,0.5531273549359458,0.09154437456324249,2858.0,692.0,262.0,1712.0
taiwan,scre_policy,SCRE-Pareto,manual_review_band,weighted_sum_of_calibrated_pareto_front_probabilities,16800,3600,3600,6000,True,False,5.0,1.0,0.5,not_recomputed,False,"SCRE policy depends on previously optimized ensemble weights and calibrated base-model probabilities; full separation would require re-running the SCRE ensemble optimization stack. Documented as caveat, not used to replace locked policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
