dataset,system,row_type,feature_group,feature,fp_mean,tp_mean,tn_mean,fn_mean,smd_fp_vs_tp,smd_fp_vs_tn,smd_fp_vs_fn,abs_smd_fp_vs_tp,abs_smd_fp_vs_tn,abs_smd_fp_vs_fn,fp_closer_to_feature,fp_group_size,tp_group_size,tn_group_size,fn_group_size
heloc,Best SCRE policy,feature,heloc_risk,ExternalRiskEstimate,71.56985294117646,66.29904559915164,83.6774193548387,83.6547619047619,0.7221745156464716,-1.9860103136499918,-1.996465656840439,0.7221745156464716,1.9860103136499918,1.996465656840439,TP-like risky profile,544.0,944.0,403.0,84.0
heloc,Best SCRE policy,feature,heloc_risk,NetFractionRevolvingBurden,33.2546468401487,47.530744336569576,10.186104218362283,13.238095238095235,-0.5364135203081994,1.1997179011220966,0.9780291325100547,0.5364135203081994,1.1997179011220966,0.9780291325100547,TP-like risky profile,544.0,944.0,403.0,84.0
heloc,Best SCRE policy,feature,heloc_risk,PercentTradesNeverDelq,92.24448529411764,88.78601694915254,99.08684863523573,99.32142857142856,0.283481026171133,-0.9038746098260559,-0.9387585687384292,0.283481026171133,0.9038746098260559,0.9387585687384292,TP-like risky profile,544.0,944.0,403.0,84.0
heloc,Best SCRE policy,feature,heloc_risk,delinquency_intensity,1.3496139705882353,2.239258474576271,0.1803473945409429,0.2805952380952381,-0.26116951910566105,0.5889771231673059,0.5302751695064529,0.26116951910566105,0.5889771231673059,0.5302751695064529,TP-like risky profile,544.0,944.0,403.0,84.0
heloc,Best SCRE policy,feature,heloc_risk,revolving_burden_proxy,33.2546468401487,47.530744336569576,10.186104218362283,13.238095238095235,-0.5364135203081994,1.1997179011220966,0.9780291325100547,0.5364135203081994,1.1997179011220966,0.9780291325100547,TP-like risky profile,544.0,944.0,403.0,84.0
heloc,Best SCRE policy,feature,heloc_risk,credit_history_length_proxy,191.43014705882356,166.35381355932202,251.24069478908189,240.28571428571428,0.27226946714367867,-0.6300516428916053,-0.5410285700193489,0.27226946714367867,0.6300516428916053,0.5410285700193489,TP-like risky profile,544.0,944.0,403.0,84.0
heloc,Best SCRE policy,feature,heloc_risk,negative_trade_signal,0.6415441176470589,0.7213983050847458,0.2133995037220843,0.1904761904761904,-0.17190150380244454,0.9589602747315255,1.0261598916504229,0.17190150380244454,0.9589602747315255,1.0261598916504229,TP-like risky profile,544.0,944.0,403.0,84.0
heloc,Best SCRE policy,feature,heloc_risk,high_utilization_signal,0.5,0.686084142394822,0.1712158808933002,0.2023809523809523,-0.3854769411070679,0.741966974259143,0.6542790285023147,0.3854769411070679,0.741966974259143,0.6542790285023147,TP-like risky profile,544.0,944.0,403.0,84.0
heloc,Best SCRE policy,feature,heloc_risk,NumBank2NatlTradesWHighUtilization,1.0292397660818713,1.5353881278538812,0.2065491183879093,0.253012048192771,-0.32383152347897215,0.7807791786485895,0.7240368693788418,0.32383152347897215,0.7807791786485895,0.7240368693788418,TP-like risky profile,544.0,944.0,403.0,84.0
heloc,Best SCRE policy,feature,heloc_risk,NumTrades60Ever2DerogPubRec,0.5735294117647058,0.9067796610169492,0.0769230769230769,0.1071428571428571,-0.25117525908857224,0.613914694047625,0.5733011777207283,0.25117525908857224,0.613914694047625,0.5733011777207283,TP-like risky profile,544.0,944.0,403.0,84.0
heloc,Best SCRE policy,feature,heloc_risk,NumTrades90Ever2DerogPubRec,0.3492647058823529,0.6101694915254238,0.0471464019851116,0.0833333333333333,-0.24639365407359162,0.5031179904477868,0.4334915106043738,0.24639365407359162,0.5031179904477868,0.4334915106043738,TP-like risky profile,544.0,944.0,403.0,84.0
