dataset,system,row_type,feature_group,feature,fp_mean,tp_mean,tn_mean,fn_mean,smd_fp_vs_tp,smd_fp_vs_tn,smd_fp_vs_fn,abs_smd_fp_vs_tp,abs_smd_fp_vs_tn,abs_smd_fp_vs_fn,fp_closer_to_feature,fp_group_size,tp_group_size,tn_group_size,fn_group_size
taiwan,Best SCRE policy,feature,payment_delay,PAY_0,0.6916565900846433,1.3168927250308262,-0.4100364014560582,-0.436046511627907,-0.4855784813429632,1.0897436123431017,1.1129478141765579,0.4855784813429632,1.0897436123431017,1.1129478141765579,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best SCRE policy,feature,payment_delay,PAY_2,0.4776299879081015,1.0345252774352651,-0.4607384295371814,-0.4980620155038759,-0.34644062670171166,0.7360170672236134,0.7627630938628458,0.34644062670171166,0.7360170672236134,0.7627630938628458,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best SCRE policy,feature,payment_delay,PAY_3,0.3893591293833132,0.8668310727496917,-0.4547581903276131,-0.4961240310077519,-0.2933374053291642,0.6583746841520223,0.6801850283190893,0.2933374053291642,0.6583746841520223,0.6801850283190893,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best SCRE policy,feature,payment_delay,PAY_4,0.2224909310761789,0.7324290998766955,-0.4703588143525741,-0.5368217054263565,-0.30205781670443177,0.5492424648482364,0.597662355110341,0.30205781670443177,0.5492424648482364,0.597662355110341,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best SCRE policy,feature,payment_delay,PAY_5,0.0181378476420798,0.6732429099876696,-0.4638585543421737,-0.5329457364341085,-0.3967851162990358,0.39737198359274817,0.4523442732241102,0.3967851162990358,0.39737198359274817,0.4523442732241102,Mixed / borderline profile,827.0,811.0,3846.0,516.0
taiwan,Best SCRE policy,feature,payment_delay,PAY_6,-0.026602176541717,0.5413070283600493,-0.4729589183567342,-0.563953488372093,-0.3471518802164075,0.36310188194695003,0.43405015783309125,0.3471518802164075,0.36310188194695003,0.43405015783309125,Mixed / borderline profile,827.0,811.0,3846.0,516.0
taiwan,Best SCRE policy,feature,payment_delay,delay_count,2.2623941958887546,3.1381011097410605,0.125585023400936,0.1356589147286821,-0.4606878617112331,1.6847157955662608,1.6696158329155608,0.4606878617112331,1.6847157955662608,1.6696158329155608,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best SCRE policy,feature,payment_delay,severe_delay_count,1.865779927448609,2.8927250308261407,0.0884035361414456,0.0930232558139534,-0.5312923824894645,1.4096887485309655,1.4014840526567458,0.5312923824894645,1.4096887485309655,1.4014840526567458,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best SCRE policy,feature,payment_delay,max_delay,1.8101571946795647,2.18865598027127,0.1830473218928757,0.1957364341085271,-0.34648861784711255,2.006883846322034,1.9811571265857781,0.34648861784711255,2.006883846322034,1.9811571265857781,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best SCRE policy,feature,payment_delay,avg_delay,0.7486900443369608,1.150020550760378,0.0357080949904662,0.0381136950904392,-0.4638613407361127,1.3545576250683524,1.3469252506652787,0.4638613407361127,1.3545576250683524,1.3469252506652787,TP-like risky profile,827.0,811.0,3846.0,516.0
