dataset,model,top_5_capture,top_10_capture,top_15_capture,top_20_capture,top_25_capture,top_30_capture,precision_at_20,lift_at_20,net_value_vs_random_at_20,test_set_used_for_selection
heloc,SCRE-Optimized probability ranking,0.09250243427458617,0.18208373904576436,0.2638753651411879,0.33982473222979553,0.4186952288218111,0.49951314508276534,0.8835443037974684,1.6982633453711808,717.4797365754812,False
heloc,Best EBM/monotonic model: EBM,0.08471275559883155,0.1694255111976631,0.25705939629990265,0.33787731256085685,0.4079844206426485,0.4810126582278481,0.8784810126582279,1.6885311772028646,707.4797365754812,False
heloc,SCRE-Pareto probability ranking,0.08860759493670886,0.17429406037000975,0.25705939629990265,0.3339824732229795,0.41382667964946446,0.48977604673807207,0.8683544303797468,1.6690668408662321,687.4797365754812,False
heloc,Best Scorecard probability ranking,0.08568646543330087,0.16455696202531644,0.25024342745861733,0.3281402142161636,0.4089581304771178,0.48490749756572543,0.8531645569620253,1.6398703363612834,657.4797365754812,False
heloc,V2 final locked policy ranking,0.08568646543330087,0.16455696202531644,0.25024342745861733,0.3281402142161636,0.4089581304771178,0.48490749756572543,0.8531645569620253,1.6398703363612834,657.4797365754812,False
heloc,Best CatBoost probability ranking,0.0866601752677702,0.1694255111976631,0.25316455696202533,0.32716650438169426,0.40993184031158714,0.4819863680623174,0.850632911392405,1.6350042522771253,652.4797365754812,False
heloc,Best literature reproduction model,0.0866601752677702,0.1694255111976631,0.25316455696202533,0.32716650438169426,0.40993184031158714,0.4819863680623174,0.850632911392405,1.6350042522771253,652.4797365754812,False
taiwan,SCRE-Optimized probability ranking,0.17935192162773173,0.32102486812358705,0.43632253202712884,0.5290128108515448,0.5892991710625471,0.6473247927656368,0.585,2.6450640542577237,2183.0,False
taiwan,SCRE-Pareto probability ranking,0.1785983421250942,0.3180105501130369,0.43632253202712884,0.5259984928409948,0.5892991710625471,0.6510926902788244,0.5816666666666667,2.6299924642049737,2163.0,False
taiwan,Best EBM/monotonic model: Monotonic LightGBM,0.17483044461190655,0.3165033911077619,0.42803315749811605,0.5199698568198945,0.5795026375282593,0.6375282592313489,0.575,2.5998492840994722,2123.0,False
taiwan,Best CatBoost probability ranking,0.1733232856066315,0.3142426525998493,0.42803315749811605,0.517709118311982,0.5810097965335342,0.6322532027128862,0.5725,2.5885455915599094,2108.0,False
taiwan,Best literature reproduction model,0.17709118311981914,0.3172569706103994,0.4272795779954785,0.517709118311982,0.5802562170308968,0.6390354182366239,0.5725,2.5885455915599094,2108.0,False
taiwan,V2 final locked policy ranking,0.1733232856066315,0.3142426525998493,0.42803315749811605,0.517709118311982,0.5810097965335342,0.6322532027128862,0.5725,2.5885455915599094,2108.0,False
taiwan,Best Scorecard probability ranking,0.15825169555388094,0.31348907309721175,0.4310474755086662,0.5079125847776941,0.5599095704596835,0.6224566691785983,0.5616666666666666,2.53956292388847,2043.0,False
