system,feature,fp_vs_tp_smd,fp_vs_tn_smd,similarity_score,closer_to,interpretation
Best manual-review high-risk bucket,high_utilization_signal,0.3854769411070679,0.7419669742591429,0.356490033152075,TP,positive score means FP is closer to TP than TN
Best manual-review high-risk bucket,__overall__,0.31297922129015426,0.7860569488915649,0.4730777276014106,TP,mean across analyzed features
Best SCRE policy,ExternalRiskEstimate,0.7221745156464716,1.9860103136499918,1.2638357980035202,TP,positive score means FP is closer to TP than TN
Best SCRE policy,NumTrades60Ever2DerogPubRec,0.25117525908857224,0.613914694047625,0.36273943495905275,TP,positive score means FP is closer to TP than TN
Best SCRE policy,NumTrades90Ever2DerogPubRec,0.24639365407359162,0.5031179904477868,0.25672433637419523,TP,positive score means FP is closer to TP than TN
Best SCRE policy,PercentTradesNeverDelq,0.2834810261711342,0.903874609826054,0.6203935836549199,TP,positive score means FP is closer to TP than TN
Best SCRE policy,NetFractionRevolvingBurden,0.5364135203081994,1.1997179011220966,0.6633043808138972,TP,positive score means FP is closer to TP than TN
Best SCRE policy,NumBank2NatlTradesWHighUtilization,0.3238315234789722,0.7807791786485895,0.4569476551696173,TP,positive score means FP is closer to TP than TN
Best SCRE policy,delinquency_intensity,0.26116951910566105,0.5889771231673059,0.32780760406164483,TP,positive score means FP is closer to TP than TN
Best SCRE policy,trade_activity_ratio,0.04325518087059049,0.20078991531875096,0.15753473444816046,TP,positive score means FP is closer to TP than TN
Best SCRE policy,recent_inquiry_pressure,0.22310317076838415,0.4878698574173155,0.2647666866489313,TP,positive score means FP is closer to TP than TN
Best SCRE policy,revolving_burden_proxy,0.5364135203081994,1.1997179011220966,0.6633043808138972,TP,positive score means FP is closer to TP than TN
Best SCRE policy,installment_burden_proxy,0.12465029618919246,0.2090489078320222,0.08439861164282975,TP,positive score means FP is closer to TP than TN
Best SCRE policy,credit_history_length_proxy,0.2722694671436784,0.6300516428916056,0.35778217574792726,TP,positive score means FP is closer to TP than TN
Best SCRE policy,negative_trade_signal,0.1719015038024445,0.9589602747315251,0.7870587709290806,TP,positive score means FP is closer to TP than TN
Best SCRE policy,high_utilization_signal,0.3854769411070679,0.7419669742591429,0.356490033152075,TP,positive score means FP is closer to TP than TN
Best SCRE policy,__overall__,0.31297922129015426,0.7860569488915649,0.4730777276014106,TP,mean across analyzed features
Best Scorecard policy,ExternalRiskEstimate,0.7055482914717174,2.0690910710396038,1.3635427795678865,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,NumTrades60Ever2DerogPubRec,0.24363824798631117,0.6249958016470087,0.38135755366069757,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,NumTrades90Ever2DerogPubRec,0.23377194943500346,0.5369552918559178,0.3031833424209144,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,PercentTradesNeverDelq,0.2804253804299943,0.8841090317855366,0.6036836513555423,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,NetFractionRevolvingBurden,0.5272437716816295,1.2373551092207475,0.710111337539118,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,NumBank2NatlTradesWHighUtilization,0.30199074790444175,0.8480150625343476,0.5460243146299057,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,delinquency_intensity,0.2502578042734828,0.6138445528272534,0.36358674855377054,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,trade_activity_ratio,0.050795459726619724,0.18144233517688696,0.13064687545026724,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,recent_inquiry_pressure,0.23379152609360127,0.4797088118935382,0.24591728579993694,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,revolving_burden_proxy,0.5272437716816295,1.2373551092207475,0.710111337539118,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,installment_burden_proxy,0.12435540882024179,0.21678515331590167,0.09242974449565988,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,credit_history_length_proxy,0.28998569401051055,0.5799524193419096,0.289966725331399,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,negative_trade_signal,0.17370190183455045,0.9127570043988426,0.7390551025642921,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,high_utilization_signal,0.36485827243977714,0.8028554946397877,0.4379972222000105,TP,positive score means FP is closer to TP than TN
Best Scorecard policy,__overall__,0.30768630198496505,0.8018015892070022,0.4941152872220371,TP,mean across analyzed features
