dataset,model_family,variant_name,imbalance_strategy,experimental,calibration_type,threshold_policy,selection_split,test_set_used_for_calibration_or_threshold_selection,train_rows,validation_rows,test_rows,validation_roc_auc,validation_pr_auc,validation_brier,validation_ece,probability_calibration_comment,selected_threshold_validation,validation_precision,validation_recall,validation_specificity,validation_f1,validation_expected_cost_FN5_FP1,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,test_ece,test_tn,test_fp,test_fn,test_tp,test_expected_cost_FN5_FP1,baseline_catboost_reference_variant,baseline_catboost_precision,baseline_catboost_recall,baseline_catboost_fp,baseline_catboost_cost,delta_fp_vs_baseline_catboost,delta_precision_vs_baseline_catboost,delta_recall_vs_baseline_catboost,delta_cost_vs_baseline_catboost,operational_comment,meets_precision_0_40,meets_specificity_0_60,meets_recall_0_55,selection_score_group,best_scope
heloc,CatBoost,catboost_class_weight_pos_1.5,custom class_weights positive_weight=1.5,False,uncalibrated,default_0_50,validation,False,5922,1974,1975,0.803838082439395,0.8008350763133891,0.18465099424730055,0.06184464524412645,Reference uncalibrated probability.,0.5,0.6992543496271748,0.8218111002921129,0.6166842661034847,0.7555953446732319,1278.0,0.7230379746835442,0.6925540432345877,0.8414396887159533,0.5945089757127772,0.7597716293368467,0.8020648864528165,0.8112803354465676,0.18687015635972434,0.06809220396212914,563,384,163,865,1199.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,-437,0.14020944127166513,-0.14396887159533078,303.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.,True,True,True,3,best_overall_dataset
taiwan,XGBoost,xgboost_scale_pos_weight_3,scale_pos_weight=3,False,isotonic,precision_0_40,validation,False,18000,6000,6000,0.7913641853157302,0.5554038085342196,0.1319302191024469,1.0824674490095277e-17,Calibration improves validation Brier and ECE.,0.215,0.411839863713799,0.7287113790504898,0.7044725016049647,0.5262585034013605,3181.0,0.6953333333333334,0.3944374209860936,0.7053504144687265,0.6924887652471645,0.505945945945946,0.780587095358205,0.5465286863289036,0.13489375116769894,0.014963750178354416,3236,1437,391,936,3392.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-415,0.03283797252004739,-0.08515448379804069,150.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.,True,True,True,3,best_overall_dataset
heloc,CatBoost,catboost_class_weight_pos_1.5,custom class_weights positive_weight=1.5,False,uncalibrated,default_0_50,validation,False,5922,1974,1975,0.803838082439395,0.8008350763133891,0.18465099424730055,0.06184464524412645,Reference uncalibrated probability.,0.5,0.6992543496271748,0.8218111002921129,0.6166842661034847,0.7555953446732319,1278.0,0.7230379746835442,0.6925540432345877,0.8414396887159533,0.5945089757127772,0.7597716293368467,0.8020648864528165,0.8112803354465676,0.18687015635972434,0.06809220396212914,563,384,163,865,1199.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,-437,0.14020944127166513,-0.14396887159533078,303.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.,True,True,True,3,best_per_dataset_model_family
heloc,LightGBM,lightgbm_is_unbalance,is_unbalance=True,False,isotonic,default_0_50,validation,False,5922,1974,1975,0.7873986318708492,0.7739342622501088,0.18657070243894947,4.639989844558025e-18,Calibration improves validation Brier and ECE.,0.5,0.7010050251256281,0.8149951314508277,0.6230200633579726,0.7537145429986493,1307.0,0.7073417721518988,0.6802884615384616,0.8258754863813229,0.5786694825765576,0.7460456942003515,0.7781053418741962,0.7721526107990646,0.19158470039594486,0.01743462566535837,548,399,179,849,1294.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,-422,0.127943859575539,-0.1595330739299612,398.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.,True,True,True,3,best_per_dataset_model_family
heloc,XGBoost,xgboost_sample_weight_pos_1.5,sample_weight positive class=1.5,False,uncalibrated,default_0_50,validation,False,5922,1974,1975,0.7944536583008506,0.7917662713506011,0.18852623597703036,0.058552138043120275,Reference uncalibrated probability.,0.5,0.6968174204355109,0.810126582278481,0.617740232312566,0.7492120666366501,1337.0,0.7270886075949367,0.7005742411812962,0.830739299610895,0.614572333685322,0.7601246105919003,0.795389084514276,0.7993501612837668,0.18899980912354483,0.06712011205621914,582,365,174,854,1235.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,-456,0.14822963921837362,-0.1546692607003891,339.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.,True,True,True,3,best_per_dataset_model_family
taiwan,CatBoost,catboost_class_weight_pos_5,custom class_weights positive_weight=5,False,isotonic,precision_0_40,validation,False,18000,6000,6000,0.7903851608859179,0.5470281135043794,0.13219035295032577,1.7705744278136612e-17,Calibration improves validation Brier and ECE.,0.19,0.43767840152235965,0.693293142426526,0.7470575647335759,0.5365995917177019,3217.0,0.7173333333333334,0.4145437702640111,0.6744536548605878,0.7295099507810828,0.5134825014343086,0.7805588744266918,0.5381823869655036,0.13527914948730346,0.01724131432169772,3409,1264,432,895,3424.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-588,0.05294432179796493,-0.11605124340617934,182.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.,True,True,True,3,best_per_dataset_model_family
taiwan,LightGBM,lightgbm_scale_pos_weight_3,scale_pos_weight=3,False,isotonic,precision_0_40,validation,False,18000,6000,6000,0.7829525738376484,0.5420894093583195,0.13363985968961925,8.37293197738139e-18,Calibration improves validation Brier and ECE.,0.215,0.40804106073567153,0.718914845516202,0.703830515728654,0.5206002728512961,3249.0,0.6995,0.3994082840236686,0.7121326299924642,0.6959126899208218,0.511779041429732,0.775103203946544,0.5307309733650738,0.13668598771141857,0.00969137963885889,3252,1421,382,945,3331.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-431,0.03780883555762243,-0.07837226827430299,89.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.,True,True,True,3,best_per_dataset_model_family
taiwan,XGBoost,xgboost_scale_pos_weight_3,scale_pos_weight=3,False,isotonic,precision_0_40,validation,False,18000,6000,6000,0.7913641853157302,0.5554038085342196,0.1319302191024469,1.0824674490095277e-17,Calibration improves validation Brier and ECE.,0.215,0.411839863713799,0.7287113790504898,0.7044725016049647,0.5262585034013605,3181.0,0.6953333333333334,0.3944374209860936,0.7053504144687265,0.6924887652471645,0.505945945945946,0.780587095358205,0.5465286863289036,0.13489375116769894,0.014963750178354416,3236,1437,391,936,3392.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-415,0.03283797252004739,-0.08515448379804069,150.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.,True,True,True,3,best_per_dataset_model_family
