dataset,system,fp_count,fp_pay0_delayed_rate,fp_delay_count_ge_2_rate,fp_high_utilization_rate,fp_low_payment_to_bill_rate,fp_mean_PAY_0,fp_mean_delay_count,fp_mean_utilization_proxy,fp_median_payment_to_bill_ratio
taiwan,Old Best CatBoost cost-threshold,1982,0.31987891019172554,0.27093844601412714,0.24470232088799193,0.5590312815338042,0.08123107971745712,1.1528758829465187,0.41519537939077367,0.0759467089804888
taiwan,Best precision-constrained CatBoost,1273,0.46818538884524746,0.41162608012568735,0.25058915946582877,0.5923016496465043,0.3401413982717989,1.678711704634721,0.40874658900249505,0.0703971474725188
taiwan,Best manual-review high-risk bucket,827,0.6311970979443773,0.5683192261185006,0.2781136638452237,0.6771463119709794,0.6916565900846433,2.2623941958887546,0.45007534739889055,0.0541288283737268
taiwan,Best SCRE policy,827,0.6311970979443773,0.5683192261185006,0.2781136638452237,0.6771463119709794,0.6916565900846433,2.2623941958887546,0.45007534739889055,0.0541288283737268
taiwan,Best Scorecard policy,948,0.6054852320675106,0.5274261603375527,0.29535864978902954,0.6824894514767933,0.6424050632911392,2.1392405063291138,0.4599045210929628,0.0540159922006475
