dataset,system,model_family,policy_type,threshold_or_band,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier,ece,tn,fp,fn,tp,expected_cost_FN5_FP1,expected_cost_revised_policy,manual_review_rate,auto_decision_rate,net_benefit_useful_range,eligible_basic,eligible_strict,fp_profile_comment,operational_rank,final_comment,manual_review_practical,automatic_decision_suitable,ranking_bucket
taiwan,CatBoost manual review band,CatBoost,manual_review_band:C_manual_review_rate_0_30,t_low=0.14; t_high=0.28,0.7926666666666666,0.5287595287595288,0.5749811605124341,0.8544832013695699,0.5509025270758124,0.7853434511554537,0.5639167825429635,0.133690712785661,0.0077638887959482,3993,680,564,763,3500.0,1820.0,0.2951666666666667,0.7048333333333333,0.03-0.80,False,True,FP profile not directly profiled for this exact policy; related FP analysis suggests risk-like false positives.,1,Bounded manual-review policy; best practical CatBoost option if review capacity exists.,True,False,0
taiwan,CatBoost revised cost matrix policy,CatBoost,cost_matrix:FN5_FP2,threshold=0.305,0.7985,0.5439642324888226,0.5501130369253956,0.8690348812326129,0.5470213563132259,0.7853434511554537,0.5639167825429635,0.133690712785661,0.0077638887959482,4061,612,597,730,3597.0,4209.0,,1.0,0.03-0.80,False,True,FP profile not directly profiled for this exact policy; related FP analysis suggests risk-like false positives.,2,"FN=5, FP=2 sensitivity policy; more conservative than old FN=5, FP=1.",True,False,1
taiwan,Best training-level imbalance variant,LightGBM,imbalance_training:uncalibrated:precision_0_40,threshold=0.315,0.7008333333333333,0.4011824324324324,0.7159005275056518,0.6965546757971325,0.5142083897158322,0.7767228435217078,0.5520374225312856,0.151482967934668,0.1004888056528262,3255,1418,377,950,3303.0,3303.0,,1.0,not available,True,False,FP profile not directly profiled for this system.,3,"Retrained imbalance-strategy candidate; useful binary alternative, but not final winner.",True,True,2
taiwan,CatBoost precision-constrained threshold,CatBoost,precision_constraint:B_min_precision_0_40,threshold=0.180,0.7188333333333333,0.4176578225068618,0.6880180859080633,0.7275839931521506,0.5197836606888699,0.7853434511554537,0.5639167825429635,0.133690712785661,0.0077638887959482,3400,1273,414,913,3343.0,3343.0,,1.0,0.03-0.80,True,False,FP profile not directly profiled for this exact policy; related FP analysis suggests risk-like false positives.,4,Precision-constrained binary policy; improves FP control versus old threshold.,True,True,2
taiwan,Best SCRE policy,SCRE-Credit,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.24,0.7761666666666667,0.4951159951159951,0.6111529766390355,0.8230258934303445,0.5470489038785835,0.7846896124879075,0.5669357617133086,0.1337668360698752,0.0106719812128829,3846,827,516,811,3407.0,832.0,0.7178333333333333,0.2821666666666667,"0.01, 0.03-0.04, 0.06-0.80",True,True,FP closer to TP than alternative group; looks risky=True; similarity_score=0.446.,5,"Best reliability-aware framework policy; use as research framework, not a blanket automatic-rejection model.",False,False,3
taiwan,Best eligible model/policy,SCRE-Credit,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.24,0.7761666666666667,0.4951159951159951,0.6111529766390355,0.8230258934303445,0.5470489038785835,0.7846896124879075,0.5669357617133086,0.1337668360698752,0.0106719812128829,3846,827,516,811,3407.0,832.0,0.7178333333333333,0.2821666666666667,"0.01, 0.03-0.04, 0.06-0.80",True,True,FP profile not directly profiled for this exact policy; related FP analysis suggests risk-like false positives.,6,Eligibility winner by committee criteria; check manual-review workload before operational use.,False,False,3
taiwan,Best Scorecard policy,Scorecard,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.24,0.7565,0.4619750283768445,0.613413715146948,0.7971324630858121,0.5270314017481386,0.772310218670291,0.5428529752936853,0.1369802354742906,0.013838796992413,3725,948,513,814,3513.0,958.0,0.6945,0.3055,0.03-0.80,True,True,FP closer to TP than alternative group; looks risky=True; similarity_score=0.427.,7,Best interpretable benchmark; valuable for validation even when not the operational winner.,False,False,3
taiwan,Old CatBoost cost threshold,CatBoost,current_threshold:cost_optimal_current,threshold=0.150,0.6275,0.3514397905759162,0.8093443858327054,0.5758613310507169,0.4900752908966461,0.7853434511554537,0.5639167825429635,0.133690712785661,0.0077638887959482,2691,1982,253,1074,3247.0,3247.0,,1.0,0.03-0.80,False,False,FP profile not directly profiled for this exact policy; related FP analysis suggests risk-like false positives.,8,Old cost-minimizing binary policy; high recall but too many false positives for automatic rejection.,True,False,5
