loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc
0.7019769549369812,0.5612806081771851,0.5278739929199219,0.637049674987793,0.7295344471931458,0.7509501576423645
0.623873233795166,0.7258827686309814,0.7366089820861816,0.5825690627098083,0.7706292271614075,0.7975606322288513
0.5894206762313843,0.7546631097793579,0.7655465006828308,0.552053689956665,0.7813854813575745,0.808296799659729
0.5700343251228333,0.7716497182846069,0.7784429788589478,0.538038969039917,0.7853876948356628,0.812684178352356
0.5627750754356384,0.7822725176811218,0.7828772664070129,0.5318508148193359,0.7888343334197998,0.8161671757698059
0.5582323670387268,0.7824922800064087,0.7884826064109802,0.5285098552703857,0.7914866209030151,0.8189922571182251
0.5513514280319214,0.7899527549743652,0.7939196228981018,0.5255051851272583,0.7936872243881226,0.8207477331161499
0.5502780079841614,0.7925093770027161,0.7953803539276123,0.5242718458175659,0.7943000197410583,0.8220841288566589
0.5497355461120605,0.7907971739768982,0.7953773736953735,0.5236864686012268,0.7970980405807495,0.8226709365844727
0.5455581545829773,0.7948979139328003,0.8000931739807129,0.5224198698997498,0.7977211475372314,0.8229528665542603
0.5504577159881592,0.7891279458999634,0.7953460812568665,0.5220928192138672,0.7969544529914856,0.8232501149177551
0.5458131432533264,0.7960018515586853,0.800445020198822,0.5227048993110657,0.7967514991760254,0.8229960799217224
0.5436845421791077,0.7956598997116089,0.8016746640205383,0.5206989645957947,0.7978541851043701,0.8237810730934143
0.5392725467681885,0.8036602139472961,0.8047232627868652,0.5197510123252869,0.799064576625824,0.823986828327179
0.5400494337081909,0.8003196120262146,0.803747296333313,0.5205512642860413,0.7974092364311218,0.8235423564910889
0.5352768898010254,0.8030195832252502,0.8092455267906189,0.5202794671058655,0.7980583310127258,0.8234330415725708
0.5360099673271179,0.805757462978363,0.8083822727203369,0.5196537375450134,0.7982083559036255,0.8235193490982056
0.5319352149963379,0.8120518326759338,0.811882734298706,0.5197191834449768,0.7975471019744873,0.8233821988105774
0.5348760485649109,0.8058992624282837,0.8089533448219299,0.5185642242431641,0.7981159687042236,0.8235321044921875
0.5316973924636841,0.8105760812759399,0.8115730881690979,0.5199657082557678,0.7974487543106079,0.8231052756309509
0.533145010471344,0.8063896894454956,0.8102254271507263,0.5195066332817078,0.7969658374786377,0.8234279751777649
0.5315689444541931,0.8104775547981262,0.8119298815727234,0.5193414688110352,0.7969890832901001,0.823410153388977
0.5316510200500488,0.8094691038131714,0.8119149208068848,0.5196098685264587,0.7988161444664001,0.8232957720756531
0.5262711048126221,0.8147332072257996,0.816545844078064,0.5200384855270386,0.7985775470733643,0.8227826952934265
