dataset,split,model,capacity_pct,review_count,defaults_captured,total_defaults,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,nondefaults_reviewed,false_alarm_count,cost_saved_vs_random_review,cost_saved_vs_no_review,review_cost,net_value,average_risk_score_reviewed,average_risk_score_not_reviewed,candidate_note,test_set_used_for_selection
heloc,validation,Best CatBoost probability ranking,0.25,494,421.0,1027,0.40993184031158714,0.8522267206477733,0.40993184031158714,1.6380677181681642,73.0,73.0,819.9493414387032,1858.0,247.0,1858.0,0.8406846420148185,0.40550952186623795,,False
heloc,validation,Best CatBoost probability ranking,0.3,593,495.0,1027,0.4819863680623174,0.8347386172006745,0.4819863680623174,1.6044537783389792,98.0,98.0,932.418946301925,2178.5,296.5,2178.5,0.8253060929422792,0.38091657668543166,,False
heloc,validation,Best CatBoost probability ranking,0.4,790,636.0,1027,0.6192794547224927,0.8050632911392405,0.6192794547224927,1.5474147387622792,154.0,154.0,1124.9594731509626,2785.0,395.0,2785.0,0.7898976175875694,0.3306023544114635,,False
heloc,validation,Best Scorecard probability ranking,0.05,99,88.0,1027,0.08568646543330087,0.8888888888888888,0.08568646543330087,1.7085361895488478,11.0,11.0,182.4696048632219,390.5,49.5,390.5,0.9251097095550185,0.4961171058020134,,False
heloc,validation,Best Scorecard probability ranking,0.1,198,169.0,1027,0.16455696202531644,0.8535353535353535,0.16455696202531644,1.6405830456463368,29.0,29.0,329.9392097264438,746.0,99.0,746.0,0.8999273406201084,0.47501116057541704,,False
heloc,validation,Best Scorecard probability ranking,0.15,297,257.0,1027,0.25024342745861733,0.8653198653198653,0.25024342745861733,1.6632340936138406,40.0,40.0,512.4088145896657,1136.5,148.5,1136.5,0.8793238287677712,0.4535755858561085,,False
heloc,validation,Best Scorecard probability ranking,0.2,395,337.0,1027,0.3281402142161636,0.8531645569620253,0.3281402142161636,1.6398703363612834,58.0,58.0,657.4797365754813,1487.5,197.5,1487.5,0.860324004163988,0.43190465673207523,,False
heloc,validation,Best Scorecard probability ranking,0.25,494,420.0,1027,0.4089581304771178,0.8502024291497976,0.4089581304771178,1.6341768209753658,74.0,74.0,814.9493414387032,1853.0,247.0,1853.0,0.8424296810405819,0.4092197109396449,,False
heloc,validation,Best Scorecard probability ranking,0.3,593,498.0,1027,0.48490749756572543,0.8397976391231029,0.48490749756572543,1.6141777406319429,95.0,95.0,947.418946301925,2193.5,296.5,2193.5,0.8240658606513533,0.3860495143073638,,False
heloc,validation,Best Scorecard probability ranking,0.4,790,627.0,1027,0.6105160662122687,0.7936708860759494,0.6105160662122687,1.5255173603835679,163.0,163.0,1079.9594731509626,2740.0,395.0,2740.0,0.7856037933096435,0.3388331401267768,,False
