dataset,split,model,capacity_pct,review_count,defaults_captured,total_defaults,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,nondefaults_reviewed,false_alarm_count,cost_saved_vs_random_review,cost_saved_vs_no_review,review_cost,net_value,average_risk_score_reviewed,average_risk_score_not_reviewed,candidate_note,test_set_used_for_selection
taiwan,validation,Best CatBoost probability ranking,0.4,2400,959.0,1327,0.7226827430293896,0.39958333333333335,0.7226827430293896,1.806706857573474,1441.0,1441.0,2141.0,3595.0,1200.0,3595.0,0.39440380591378604,0.10103599482256355,,False
taiwan,validation,Best Scorecard probability ranking,0.05,300,210.0,1327,0.15825169555388094,0.7,0.15825169555388094,3.1650339110776184,90.0,90.0,718.25,900.0,150.0,900.0,0.7683037618470349,0.18938070569667398,,False
taiwan,validation,Best Scorecard probability ranking,0.1,600,416.0,1327,0.31348907309721175,0.6933333333333334,0.31348907309721175,3.1348907309721175,184.0,184.0,1416.5,1780.0,300.0,1780.0,0.6942778089198135,0.16544341956912292,,False
taiwan,validation,Best Scorecard probability ranking,0.15,900,572.0,1327,0.4310474755086662,0.6355555555555555,0.4310474755086662,2.8736498367244407,328.0,328.0,1864.75,2410.0,450.0,2410.0,0.6156868928736089,0.1482044994978243,,False
taiwan,validation,Best Scorecard probability ranking,0.2,1200,674.0,1327,0.5079125847776941,0.5616666666666666,0.5079125847776941,2.53956292388847,526.0,526.0,2043.0,2770.0,600.0,2770.0,0.549303238869882,0.1355827634127695,,False
taiwan,validation,Best Scorecard probability ranking,0.25,1500,743.0,1327,0.5599095704596835,0.49533333333333335,0.5599095704596835,2.239638281838734,757.0,757.0,2056.25,2965.0,750.0,2965.0,0.4970150697368417,0.1254307880933088,,False
taiwan,validation,Best Scorecard probability ranking,0.3,1800,826.0,1327,0.6224566691785983,0.4588888888888889,0.6224566691785983,2.074855563928661,974.0,974.0,2139.5,3230.0,900.0,3230.0,0.45407933969974057,0.1172900808489569,,False
taiwan,validation,Best Scorecard probability ranking,0.4,2400,955.0,1327,0.7196684250188395,0.39791666666666664,0.7196684250188395,1.7991710625470985,1445.0,1445.0,2121.0,3575.0,1200.0,3575.0,0.3873951935076487,0.10561463516855418,,False
taiwan,validation,Best literature reproduction model,0.05,300,235.0,1327,0.17709118311981914,0.7833333333333333,0.17709118311981914,3.5418236623963826,65.0,65.0,843.25,1025.0,150.0,1025.0,0.7673221353027555,0.18956898972977562,Best literature reproduction: XGBoost no resampling proxy,False
taiwan,validation,Best literature reproduction model,0.1,600,421.0,1327,0.3172569706103994,0.7016666666666667,0.3172569706103994,3.1725697061039937,179.0,179.0,1441.5,1805.0,300.0,1805.0,0.6902689746022225,0.1660330550535582,Best literature reproduction: XGBoost no resampling proxy,False
taiwan,validation,Best literature reproduction model,0.15,900,567.0,1327,0.4272795779954785,0.63,0.4272795779954785,2.8485305199698567,333.0,333.0,1839.75,2385.0,450.0,2385.0,0.6211373697386849,0.14739534299720225,Best literature reproduction: XGBoost no resampling proxy,False
taiwan,validation,Best literature reproduction model,0.2,1200,687.0,1327,0.517709118311982,0.5725,0.517709118311982,2.5885455915599094,513.0,513.0,2108.0,2835.0,600.0,2835.0,0.5570894957209627,0.1337984348302901,Best literature reproduction: XGBoost no resampling proxy,False
taiwan,validation,Best literature reproduction model,0.25,1500,770.0,1327,0.5802562170308968,0.5133333333333333,0.5802562170308968,2.3210248681235868,730.0,730.0,2191.25,3100.0,750.0,3100.0,0.5030128861930635,0.12360456728021164,Best literature reproduction: XGBoost no resampling proxy,False
taiwan,validation,Best literature reproduction model,0.3,1800,848.0,1327,0.6390354182366239,0.4711111111111111,0.6390354182366239,2.1301180607887464,952.0,952.0,2249.5,3340.0,900.0,3340.0,0.4572885875183124,0.11610010107561561,Best literature reproduction: XGBoost no resampling proxy,False
taiwan,validation,Best literature reproduction model,0.4,2400,964.0,1327,0.7264506405425772,0.40166666666666667,0.7264506405425772,1.816126601356443,1436.0,1436.0,2166.0,3620.0,1200.0,3620.0,0.3906182800854246,0.10368222495709133,Best literature reproduction: XGBoost no resampling proxy,False
taiwan,validation,SCRE-Optimized probability ranking,0.05,300,238.0,1327,0.17935192162773173,0.7933333333333333,0.17935192162773173,3.5870384325546345,62.0,62.0,858.25,1040.0,150.0,1040.0,0.7459144133615668,0.195509714719467,weights renormalized over available components,False
taiwan,validation,SCRE-Optimized probability ranking,0.1,600,426.0,1327,0.32102486812358705,0.71,0.32102486812358705,3.21024868123587,174.0,174.0,1466.5,1830.0,300.0,1830.0,0.6817422162761037,0.17206192002662402,weights renormalized over available components,False
taiwan,validation,SCRE-Optimized probability ranking,0.15,900,579.0,1327,0.43632253202712884,0.6433333333333333,0.43632253202712884,2.9088168801808587,321.0,321.0,1899.75,2445.0,450.0,2445.0,0.6126695016895782,0.15427002870368853,weights renormalized over available components,False
taiwan,validation,SCRE-Optimized probability ranking,0.2,1200,702.0,1327,0.5290128108515448,0.585,0.5290128108515448,2.6450640542577237,498.0,498.0,2183.0,2910.0,600.0,2910.0,0.5524161128514341,0.14068340885160643,weights renormalized over available components,False
taiwan,validation,SCRE-Optimized probability ranking,0.25,1500,782.0,1327,0.5892991710625471,0.5213333333333333,0.5892991710625471,2.357196684250188,718.0,718.0,2251.25,3160.0,750.0,3160.0,0.5021659333982943,0.1299846217359979,weights renormalized over available components,False
taiwan,validation,SCRE-Optimized probability ranking,0.3,1800,859.0,1327,0.6473247927656368,0.4772222222222222,0.6473247927656368,2.157749309218789,941.0,941.0,2304.5,3395.0,900.0,3395.0,0.4590737895304766,0.12186830398918427,weights renormalized over available components,False
