dataset,config_name,config_display_name,model_family,literature_group,threshold_policy,selected_threshold_validation,validation_pr_auc,validation_roc_auc,validation_brier,validation_ece,validation_precision,validation_recall,validation_specificity,validation_f1,validation_expected_cost,selection_metric_primary,threshold_selection_metric,test_set_used_for_selection
taiwan,xgboost_no_resampling,XGBoost + no resampling,XGBoost,B_XGBoost_resampling,cost_optimal_FN5_FP1,0.155,0.5641987527596979,0.7888973533765378,0.1328521944348284,0.0052402091512146086,0.37490882567469,0.774679728711379,0.6332120693344746,0.505283853526665,3209.0,validation PR-AUC,validation expected cost among feasible policies,False
heloc,catboost_balanced,CatBoost Balanced,CatBoost,D_CatBoost_class_strategy,cost_optimal_FN5_FP1,0.145,0.7992643209241905,0.8033352903495794,0.1806693357260532,0.026507345989835573,0.5739678899082569,0.9746835443037974,0.21541710665258712,0.7224828581739444,873.0,validation PR-AUC,validation expected cost among feasible policies,False
